,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
0,500406.Timp4,bisque4,adipose,,NO,Timp4,,1,SIGNED
1,10003836692.Gstm2-ps1,bisque4,adipose,,NO,Gstm2-ps1,,1,SIGNED
2,1011212.Gstm1,bisque4,adipose,,NO,Gstm1,,1,SIGNED
3,10003837398.Gm4845,bisque4,adipose,,NO,Gm4845,,1,SIGNED
4,519342.Trappc6b,bisque4,adipose,,NO,Trappc6b,,1,SIGNED
5,10002912861.Sfrp5,bisque4,adipose,,NO,Sfrp5,,1,SIGNED
6,10002926264.Gm18553,bisque4,adipose,,NO,Gm18553,,1,SIGNED
7,500661.Amy1,bisque4,adipose,,NO,Amy1,,1,SIGNED
8,10004034974.Sec31b,bisque4,adipose,,NO,Sec31b,,1,SIGNED
9,10002678194.Abca8a,bisque4,adipose,,NO,Abca8a,,1,SIGNED
10,518324.Agbl3,bisque4,adipose,,NO,Agbl3,,1,SIGNED
11,507533.Sncg,bisque4,adipose,,NO,Sncg,,1,SIGNED
12,10004034781.Rab34,bisque4,adipose,,NO,Rab34,,1,SIGNED
13,10002912347.Xxylt1,bisque4,adipose,,NO,Xxylt1,,1,SIGNED
14,10002906409.Peg3,bisque4,adipose,,NO,Peg3,,1,SIGNED
15,10004036162.Las1l,bisque4,adipose,,NO,Las1l,,1,SIGNED
16,516960.Sfxn1,bisque4,adipose,,NO,Sfxn1,,1,SIGNED
17,510364.Adm,bisque4,adipose,,NO,Adm,,1,SIGNED
18,501638.Dock8,bisque4,adipose,,NO,Dock8,,1,SIGNED
19,509622.Slc43a3,bisque4,adipose,,NO,Slc43a3,,1,SIGNED
20,506309.Slc43a1,bisque4,adipose,,NO,Slc43a1,,1,SIGNED
21,10002913450.Ptges,bisque4,adipose,,NO,Ptges,,1,SIGNED
22,10002900004.Gabrr2,bisque4,adipose,,NO,Gabrr2,,1,SIGNED
23,499940.Tsr2,bisque4,adipose,,NO,Tsr2,,1,SIGNED
24,10002897768.Tmem41a,bisque4,adipose,,NO,Tmem41a,,1,SIGNED
25,10002929516.Cfap77,bisque4,adipose,,NO,Cfap77,,1,SIGNED
26,10004034410.Ophn1,bisque4,adipose,,NO,Ophn1,,1,SIGNED
27,10002903245.Nfia,black,adipose,,NO,Nfia,,1,SIGNED
28,10003838865.Gm18798,black,adipose,,NO,Gm18798,,1,SIGNED
29,1012416.Cnga1,black,adipose,,NO,Cnga1,,1,SIGNED
30,500325.4930562A09Rik,black,adipose,,NO,4930562A09Rik,,1,SIGNED
31,498524.4930459L07Rik,black,adipose,,NO,4930459L07Rik,,1,SIGNED
32,10003840489.Gm40578,black,adipose,,NO,Gm40578,,1,SIGNED
33,10003838620.Ripply2,black,adipose,,NO,Ripply2,,1,SIGNED
34,10004037721.Olfr1132,black,adipose,,NO,Olfr1132,,1,SIGNED
35,10002943402.Olfr225,black,adipose,,NO,Olfr225,,1,SIGNED
36,10004037812.Gm7580,black,adipose,,NO,Gm7580,,1,SIGNED
