"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0003402","planar cell polarity pathway involved in axis elongation",0,0,11.0191609316137,6,0.166666666666667,0.408248290463863,1,"Sfrp5","bisque4","adipose"
"GO:0004364","glutathione transferase activity",0,0,10.9345536000449,24,0.0833333333333333,0.28232985128664,2,"Gstm1, Ptges","bisque4","adipose"
"GO:0006686","sphingomyelin biosynthetic process",0,0,8.96105869452936,9,0.111111111111111,0.333333333333333,1,"Abca8a","bisque4","adipose"
"GO:0015175","neutral L-amino acid transmembrane transporter activity",0,0,8.49291407997956,39,0.0512820512820513,0.223455865030959,2,"Sfxn1, Slc43a1","bisque4","adipose"
"GO:0015180","L-alanine transmembrane transporter activity",0,0,8.96105869452936,9,0.111111111111111,0.333333333333333,1,"Sfxn1","bisque4","adipose"
"GO:0015190","L-leucine transmembrane transporter activity",0,0,11.0191609316137,6,0.166666666666667,0.408248290463863,1,"Slc43a1","bisque4","adipose"
"GO:0015658","branched-chain amino acid transmembrane transporter activity",0,0,8.96105869452936,9,0.111111111111111,0.333333333333333,1,"Slc43a1","bisque4","adipose"
"GO:0015803","branched-chain amino acid transport",0,0,8.48980589795061,10,0.1,0.316227766016838,1,"Slc43a1","bisque4","adipose"
"GO:0015808","L-alanine transport",0,0,8.96105869452936,9,0.111111111111111,0.333333333333333,1,"Sfxn1","bisque4","adipose"
"GO:0015820","leucine transport",0,0,8.96105869452936,9,0.111111111111111,0.333333333333333,1,"Slc43a1","bisque4","adipose"
"GO:0016151","nickel cation binding",0,0,11.0191609316137,6,0.166666666666667,0.408248290463863,1,"Gstm1","bisque4","adipose"
"GO:0016266","O-glycan processing",0,0,10.1881363692465,7,0.142857142857143,0.377964473009227,1,"Xxylt1","bisque4","adipose"
"GO:0018916","nitrobenzene metabolic process",0,0,11.0191609316137,6,0.166666666666667,0.408248290463863,1,"Gstm1","bisque4","adipose"
"GO:0021684","cerebellar granular layer formation",0,0,8.96105869452936,9,0.111111111111111,0.333333333333333,1,"Ophn1","bisque4","adipose"
"GO:0021707","cerebellar granule cell differentiation",0,0,8.96105869452936,9,0.111111111111111,0.333333333333333,1,"Ophn1","bisque4","adipose"
"GO:0022889","serine transmembrane transporter activity",0,0,11.0191609316137,6,0.166666666666667,0.408248290463863,1,"Sfxn1","bisque4","adipose"
"GO:0031404","chloride ion binding",0,0,8.48980589795061,10,0.1,0.316227766016838,1,"Amy1","bisque4","adipose"
"GO:0031620","regulation of fever generation",0,0,8.48980589795061,10,0.1,0.316227766016838,1,"Ptges","bisque4","adipose"
"GO:0032329","serine transport",0,0,10.1881363692465,7,0.142857142857143,0.377964473009227,1,"Sfxn1","bisque4","adipose"
"GO:0035252","UDP-xylosyltransferase activity",0,0,9.51738384559354,8,0.125,0.353553390593274,1,"Xxylt1","bisque4","adipose"
"GO:0035608","protein deglutamylation",0,0,11.0191609316137,6,0.166666666666667,0.408248290463863,1,"Agbl3","bisque4","adipose"
"GO:0035610","protein side chain deglutamylation",0,0,11.0191609316137,6,0.166666666666667,0.408248290463863,1,"Agbl3","bisque4","adipose"
"GO:0042285","xylosyltransferase activity",0,0,8.48980589795061,10,0.1,0.316227766016838,1,"Xxylt1","bisque4","adipose"
"GO:0042910","xenobiotic transmembrane transporter activity",0,0,9.41964930168922,32,0.0625,0.245934688418982,2,"Slc43a3, Abca8a","bisque4","adipose"
"GO:0043295","glutathione binding",0,0,14.4110446064576,14,0.142857142857143,0.363136519601281,2,"Gstm1, Ptges","bisque4","adipose"
"GO:0043508","negative regulation of JUN kinase activity",0,0,8.48980589795061,10,0.1,0.316227766016838,1,"Sfrp5","bisque4","adipose"
"GO:0051045","negative regulation of membrane protein ectodomain proteolysis",0,0,11.0191609316137,6,0.166666666666667,0.408248290463863,1,"Timp4","bisque4","adipose"
"GO:0051121","hepoxilin metabolic process",0,0,8.96105869452936,9,0.111111111111111,0.333333333333333,1,"Gstm1","bisque4","adipose"
"GO:0051122","hepoxilin biosynthetic process",0,0,8.96105869452936,9,0.111111111111111,0.333333333333333,1,"Gstm1","bisque4","adipose"
"GO:0060028","convergent extension involved in axis elongation",0,0,9.51738384559354,8,0.125,0.353553390593274,1,"Sfrp5","bisque4","adipose"
"GO:0097646","calcitonin family receptor signaling pathway",0,0,10.1881363692465,7,0.142857142857143,0.377964473009227,1,"Adm","bisque4","adipose"
"GO:0097647","amylin receptor signaling pathway",0,0,11.0191609316137,6,0.166666666666667,0.408248290463863,1,"Adm","bisque4","adipose"
"GO:0098880","maintenance of postsynaptic specialization structure",0,0,11.0191609316137,6,0.166666666666667,0.408248290463863,1,"Ophn1","bisque4","adipose"
"GO:1903903","regulation of establishment of T cell polarity",0,0,11.0191609316137,6,0.166666666666667,0.408248290463863,1,"Dock8","bisque4","adipose"
"GO:1990071","TRAPPII protein complex",0,0,10.1881363692465,7,0.142857142857143,0.377964473009227,1,"Trappc6b","bisque4","adipose"
"GO:2000051","negative regulation of non-canonical Wnt signaling pathway",0,0,10.1881363692465,7,0.142857142857143,0.377964473009227,1,"Sfrp5","bisque4","adipose"
"GO:0005641","nuclear envelope lumen",6.66133814775094e-16,2.66161361956189e-13,8.08384145327796,11,0.0909090909090909,0.301511344577764,1,"Ptges","bisque4","adipose"
"GO:0015245","fatty acid transmembrane transporter activity",6.66133814775094e-16,2.66161361956189e-13,8.08384145327796,11,0.0909090909090909,0.301511344577764,1,"Slc43a3","bisque4","adipose"
"GO:0021683","cerebellar granular layer morphogenesis",6.66133814775094e-16,2.66161361956189e-13,8.08384145327796,11,0.0909090909090909,0.301511344577764,1,"Ophn1","bisque4","adipose"
"GO:0090179","planar cell polarity pathway involved in neural tube closure",6.66133814775094e-16,2.66161361956189e-13,8.08384145327796,11,0.0909090909090909,0.301511344577764,1,"Sfrp5","bisque4","adipose"
