"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue","fraction_overlap"
"GO:0099634","postsynaptic specialization membrane",7.08138833571681e-07,0.000350210973279625,4.95911817292991,135,0.140740740740741,0.349049091252111,19,"Cacng2, Cdh2, Glra1, Htr5a, P2rx6, Tiam1, Vdac1, Dlg2, Gria3, Kcnd3, Lrrtm1, Grik4, Nlgn1, Adgrb3, Lrrtm3, Dgkb, Lrfn5, Il1rapl1, Chrna10","black","adipose",0.140740740740741
"GO:0099523","presynaptic cytosol",8.11757316032669e-07,0.000350210973279625,4.93251935830387,28,0.25,0.440958551844098,7,"Ctbp2, Ncs1, Hap1, Htt, Hnrnpab, Sh3gl2, Pnkd","black","adipose",0.25
"GO:0099640","axo-dendritic protein transport",1.31853515439317e-06,0.000350210973279625,4.83693953505471,11,0.363636363636364,0.504524979109513,4,"Kif5a, Map1a, Myo5a, Dlg2","black","adipose",0.363636363636364
"GO:0045211","postsynaptic membrane",6.62985567645435e-06,0.000350210973279625,4.50523811754702,308,0.103896103896104,0.305622260918827,32,"Ank1, Cacng2, Ctnna2, Cdh2, Dbnl, Glra1, Hcn1, Htr5a, Kcna2, Nrp1, P2rx6, Tiam1, Vdac1, Dlg2, Gria3, Kcnd3, Syne1, Lrrtm1, Grm3, Grik4, Nlgn1, Adgrb3, Lrrtm3, Dgkb, Pcdh17, Dlgap1, Lrfn5, Kctd8, Slitrk2, Adgrl3, Il1rapl1, Chrna10","black","adipose",0.103896103896104
"GO:0000313","organellar ribosome",8.02699269342178e-06,0.000350210973279625,4.46446270910053,75,0.16,0.369074811137547,12,"Mrps25, Mrps24, Dap3, Mrpl35, Mrps21, Mrps15, Ndufa7, Mrpl55, Mrpl24, Mrpl34, Nsun3, Mrps35","black","adipose",0.16
"GO:0005761","mitochondrial ribosome",8.02699269342178e-06,0.000350210973279625,4.46446270910053,75,0.16,0.369074811137547,12,"Mrps25, Mrps24, Dap3, Mrpl35, Mrps21, Mrps15, Ndufa7, Mrpl55, Mrpl24, Mrpl34, Nsun3, Mrps35","black","adipose",0.16
"GO:0051965","positive regulation of synapse assembly",1.03832429114714e-05,0.000350210973279625,4.40903461672588,76,0.157894736842105,0.367065174192899,12,"Cux2, Efna5, St8sia2, Wnt7a, Adgre5, Lrrtm1, Nlgn1, Adgrb3, Lrrtm3, Slitrk2, Adgrl3, Il1rapl1","black","adipose",0.157894736842105
"GO:0099172","presynapse organization",1.28354979698209e-05,0.000427693440033168,4.36289086932697,58,0.172413793103448,0.381038794105574,10,"Wnt7a, Arhgef7, Lrrtm1, Nlgn1, Lrrtm3, Pcdh17, Lrfn5, Cntn5, Slitrk2, Il1rapl1","black","adipose",0.172413793103448
"GO:0098798","mitochondrial protein-containing complex",1.30381332426044e-05,0.000434127901462449,4.35946411275109,212,0.113207547169811,0.317596265720556,24,"Slc25a4, Atp5k, Mtx1, Ndufa2, Vdac1, Mrps25, Mrps24, Dap3, Ndufa3, Mrpl35, Mrps21, Mrps15, Ndufa7, Ndufa13, Mrpl55, Mrpl24, Apool, Ndufa5, Ndufb10, Mrpl34, Nsun3, Mcu, Mrps35, Wdr93","black","adipose",0.113207547169811
"GO:0098684","photoreceptor ribbon synapse",1.5345329058114e-05,0.00051057687260562,4.32367215072611,13,0.307692307692308,0.480384461415261,4,"Cacnb2, Ctbp2, Sh3gl2, Cplx3","black","adipose",0.307692307692308
