,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
0,500379.Ubiad1,antiquewhite4,adipose,,NO,Ubiad1,,1,UNSIGNED
1,10003840706.Gm8189,antiquewhite4,adipose,,NO,Gm8189,,1,UNSIGNED
2,10002907725.Cenps,antiquewhite4,adipose,,NO,Cenps,,1,UNSIGNED
3,503512.Rbp7,antiquewhite4,adipose,,NO,Rbp7,,1,UNSIGNED
4,10002904940.Tnfrsf14,antiquewhite4,adipose,,NO,Tnfrsf14,,1,UNSIGNED
5,10002940911.Vmn2r-ps117,antiquewhite4,adipose,,NO,Vmn2r-ps117,,1,UNSIGNED
6,10002896370.Nmnat1,antiquewhite4,adipose,,NO,Nmnat1,,1,UNSIGNED
7,1484684.Vmn1r2,antiquewhite4,adipose,,NO,Vmn1r2,,1,UNSIGNED
8,10004033303.Fblim1,antiquewhite4,adipose,,NO,Fblim1,,1,UNSIGNED
9,10004036173.Fbxo44,antiquewhite4,adipose,,NO,Fbxo44,,1,UNSIGNED
10,10002897173.Vmn1r2,antiquewhite4,adipose,,NO,Vmn1r2,,1,UNSIGNED
11,10003836914.Znf41-ps,antiquewhite4,adipose,,NO,Znf41-ps,,1,UNSIGNED
12,499644.Gm32220,bisque4,adipose,,NO,Gm32220,,1,UNSIGNED
13,500453.Cd79b,bisque4,adipose,,NO,Cd79b,,1,UNSIGNED
14,505026.Spib,bisque4,adipose,,NO,Spib,,1,UNSIGNED
15,517776.Pou2af1,bisque4,adipose,,NO,Pou2af1,,1,UNSIGNED
16,510857.Ms4a1,bisque4,adipose,,NO,Ms4a1,,1,UNSIGNED
17,501109.Tnfrsf13c,bisque4,adipose,,NO,Tnfrsf13c,,1,UNSIGNED
18,1488470.Cxcr5,bisque4,adipose,,NO,Cxcr5,,1,UNSIGNED
19,10003840373.A530030E21Rik,bisque4,adipose,,NO,A530030E21Rik,,1,UNSIGNED
20,515684.Ccr6,bisque4,adipose,,NO,Ccr6,,1,UNSIGNED
21,10002921441.Cr2,bisque4,adipose,,NO,Cr2,,1,UNSIGNED
22,10002915884.Fcrla,bisque4,adipose,,NO,Fcrla,,1,UNSIGNED
23,10004037406.Srpk3,bisque4,adipose,,NO,Srpk3,,1,UNSIGNED
