"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0000712","resolution of meiotic recombination intermediates",0,0,12.5147995948242,16,0.0625,0.25,1,"Cenps","antiquewhite4","adipose"
"GO:0001618","virus receptor activity",0,0,9.59480260254636,27,0.037037037037037,0.192450089729875,1,"Tnfrsf14","antiquewhite4","adipose"
"GO:0004659","prenyltransferase activity",0,0,15.8651317764089,10,0.1,0.316227766016838,1,"Ubiad1","antiquewhite4","adipose"
"GO:0005501","retinoid binding",0,0,9.59480260254636,27,0.037037037037037,0.192450089729875,1,"Rbp7","antiquewhite4","adipose"
"GO:0006308","DNA catabolic process",0,0,8.94113935058703,31,0.032258064516129,0.179605302026775,1,"Nmnat1","antiquewhite4","adipose"
"GO:0006309","apoptotic DNA fragmentation",0,0,11.4716603438017,19,0.0526315789473684,0.229415733870562,1,"Nmnat1","antiquewhite4","adipose"
"GO:0006516","glycoprotein catabolic process",0,0,10.4111122852991,23,0.0434782608695652,0.208514414057075,1,"Fbxo44","antiquewhite4","adipose"
"GO:0006743","ubiquinone metabolic process",0,0,11.7903627133899,18,0.0555555555555556,0.235702260395516,1,"Ubiad1","antiquewhite4","adipose"
"GO:0006744","ubiquinone biosynthetic process",0,0,12.5147995948242,16,0.0625,0.25,1,"Ubiad1","antiquewhite4","adipose"
"GO:0006775","fat-soluble vitamin metabolic process",0,0,9.09231011195551,30,0.0333333333333333,0.182574185835055,1,"Ubiad1","antiquewhite4","adipose"
"GO:0006921","cellular component disassembly involved in execution phase of apoptosis",0,0,9.09231011195551,30,0.0333333333333333,0.182574185835055,1,"Nmnat1","antiquewhite4","adipose"
"GO:0009110","vitamin biosynthetic process",0,0,11.4716603438017,19,0.0526315789473684,0.229415733870562,1,"Ubiad1","antiquewhite4","adipose"
"GO:0009435","NAD biosynthetic process",0,0,15.1212448084734,11,0.0909090909090909,0.301511344577764,1,"Nmnat1","antiquewhite4","adipose"
"GO:0016918","retinal binding",0,0,13.3887512965887,14,0.0714285714285714,0.267261241912424,1,"Rbp7","antiquewhite4","adipose"
"GO:0019359","nicotinamide nucleotide biosynthetic process",0,0,13.3887512965887,14,0.0714285714285714,0.267261241912424,1,"Nmnat1","antiquewhite4","adipose"
"GO:0019363","pyridine nucleotide biosynthetic process",0,0,12.5147995948242,16,0.0625,0.25,1,"Nmnat1","antiquewhite4","adipose"
"GO:0019674","NAD metabolic process",0,0,9.25117627864848,29,0.0344827586206897,0.185695338177052,1,"Nmnat1","antiquewhite4","adipose"
"GO:0019840","isoprenoid binding",0,0,9.41841796460891,28,0.0357142857142857,0.188982236504614,1,"Rbp7","antiquewhite4","adipose"
"GO:0019841","retinol binding",0,0,15.1212448084734,11,0.0909090909090909,0.301511344577764,1,"Rbp7","antiquewhite4","adipose"
"GO:0030262","apoptotic nuclear changes",0,0,9.25117627864848,29,0.0344827586206897,0.185695338177052,1,"Nmnat1","antiquewhite4","adipose"
"GO:0030291","protein serine/threonine kinase inhibitor activity",0,0,8.65952801025627,33,0.0303030303030303,0.174077655955698,1,"Nmnat1","antiquewhite4","adipose"
"GO:0031005","filamin binding",0,0,13.8992835664747,13,0.0769230769230769,0.277350098112615,1,"Fblim1","antiquewhite4","adipose"
"GO:0031294","lymphocyte costimulation",0,0,9.59480260254636,27,0.037037037037037,0.192450089729875,1,"Tnfrsf14","antiquewhite4","adipose"
"GO:0031295","T cell costimulation",0,0,9.97860012900297,25,0.04,0.2,1,"Tnfrsf14","antiquewhite4","adipose"
"GO:0033622","integrin activation",0,0,10.1881363692465,24,0.0416666666666667,0.204124145231932,1,"Fblim1","antiquewhite4","adipose"
"GO:0033623","regulation of integrin activation",0,0,12.9299961575339,15,0.0666666666666667,0.258198889747161,1,"Fblim1","antiquewhite4","adipose"
"GO:0034508","centromere complex assembly",0,0,9.59480260254636,27,0.037037037037037,0.192450089729875,1,"Cenps","antiquewhite4","adipose"
