,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
0,10002901145.Npffr1,black,gastroc,,NO,Npffr1,,1,SIGNED
1,10003843441.Tbcc,black,gastroc,,NO,Tbcc,,1,SIGNED
2,10002901678.Ube2r2,black,gastroc,,NO,Ube2r2,,1,SIGNED
3,10002907529.Gm13084,black,gastroc,,NO,Gm13084,,1,SIGNED
4,10002904812.Gm7784,black,gastroc,,NO,Gm7784,,1,SIGNED
5,10003837138.Gm11550,black,gastroc,,NO,Gm11550,,1,SIGNED
6,10002898964.Frmpd1,black,gastroc,,NO,Frmpd1,,1,SIGNED
7,10002936380.Gm14062,black,gastroc,,NO,Gm14062,,1,SIGNED
8,10003841588.Gm6631,black,gastroc,,NO,Gm6631,,1,SIGNED
9,10002914433.Gm12266,black,gastroc,,NO,Gm12266,,1,SIGNED
10,10002915030.Gm8614,black,gastroc,,NO,Gm8614,,1,SIGNED
11,10002914579.Gm6283,black,gastroc,,NO,Gm6283,,1,SIGNED
12,10002915404.Gm7132,black,gastroc,,NO,Gm7132,,1,SIGNED
13,10002900262.Gm5652,black,gastroc,,NO,Gm5652,,1,SIGNED
14,10002908079.Yipf1,black,gastroc,,NO,Yipf1,,1,SIGNED
15,10002901817.Gm10364,black,gastroc,,NO,Gm10364,,1,SIGNED
16,10002898363.Gm13326,black,gastroc,,NO,Gm13326,,1,SIGNED
17,10004037182.Ccdc155,black,gastroc,,NO,Ccdc155,,1,SIGNED
18,10004038261.Rock2,black,gastroc,,NO,Rock2,,1,SIGNED
19,10002905368.Gm5274,black,gastroc,,NO,Gm5274,,1,SIGNED
20,10003836895.Gm8927,black,gastroc,,NO,Gm8927,,1,SIGNED
21,10002937205.Hprt,black,gastroc,,NO,Hprt,,1,SIGNED
22,10002901566.Gm5272,black,gastroc,,NO,Gm5272,,1,SIGNED
23,10002902312.Gm11658,black,gastroc,,NO,Gm11658,,1,SIGNED
24,10002918640.Cntnap4,black,gastroc,,NO,Cntnap4,,1,SIGNED
25,518091.Trpd52l3,black,gastroc,,NO,Trpd52l3,,1,SIGNED
26,10002896526.Vill,black,gastroc,,NO,Vill,,1,SIGNED
27,10002942415.Gm13677,black,gastroc,,NO,Gm13677,,1,SIGNED
28,10002934249.Epha1,black,gastroc,,NO,Epha1,,1,SIGNED
29,10002916232.Gm9658,black,gastroc,,NO,Gm9658,,1,SIGNED
30,10003836654.Gm9114,black,gastroc,,NO,Gm9114,,1,SIGNED
31,10004033302.Ctsm,black,gastroc,,NO,Ctsm,,1,SIGNED
32,10002914494.Gm11996,black,gastroc,,NO,Gm11996,,1,SIGNED
33,10002940720.Gm6216,black,gastroc,,NO,Gm6216,,1,SIGNED
34,10002916051.Gm6773,black,gastroc,,NO,Gm6773,,1,SIGNED
35,10004033188.Ptges3l,black,gastroc,,NO,Ptges3l,,1,SIGNED
36,10002902058.Gm5210,black,gastroc,,NO,Gm5210,,1,SIGNED
37,10002899208.Gm26913,black,gastroc,,NO,Gm26913,,1,SIGNED
38,10003842616.Gm44023,black,gastroc,,NO,Gm44023,,1,SIGNED
39,10002907623.Gm8357,black,gastroc,,NO,Gm8357,,1,SIGNED
40,512150.4921534H16Rik,black,gastroc,,NO,4921534H16Rik,,1,SIGNED
41,509582.Drd4,black,gastroc,,NO,Drd4,,1,SIGNED
42,10003841904.Gm28724,black,gastroc,,NO,Gm28724,,1,SIGNED
43,10003843011.Eno1,black,gastroc,,NO,Eno1,,1,SIGNED
44,10002911952.Gm5177,black,gastroc,,NO,Gm5177,,1,SIGNED
45,10004037989.Gipc3,black,gastroc,,NO,Gipc3,,1,SIGNED
46,10002911426.Gm5183,black,gastroc,,NO,Gm5183,,1,SIGNED
47,10004034626.Olfr1249,black,gastroc,,NO,Olfr1249,,1,SIGNED
48,10002919402.Coq8b,black,gastroc,,NO,Coq8b,,1,SIGNED
49,10003113588.Ap1s2,black,gastroc,,NO,Ap1s2,,1,SIGNED
50,10003840663.Gm6463,black,gastroc,,NO,Gm6463,,1,SIGNED
51,10002917108.Rnf222,black,gastroc,,NO,Rnf222,,1,SIGNED
52,10002905022.Lrrc20,black,gastroc,,NO,Lrrc20,,1,SIGNED
53,508183.4930517G19Rik,black,gastroc,,NO,4930517G19Rik,,1,SIGNED
54,10002912347.Xxylt1,black,gastroc,,NO,Xxylt1,,1,SIGNED
55,10003841585.Gm6555,black,gastroc,,NO,Gm6555,,1,SIGNED
56,10003837398.Gm4845,black,gastroc,,NO,Gm4845,,1,SIGNED
57,10002921032.Gm9439,black,gastroc,,NO,Gm9439,,1,SIGNED
58,10002909778.Gm7627,black,gastroc,,NO,Gm7627,,1,SIGNED
59,10002902760.Zdhhc19,black,gastroc,,NO,Zdhhc19,,1,SIGNED
60,10003839581.4933424G05Rik,black,gastroc,,NO,4933424G05Rik,,1,SIGNED
61,1017764.Gm7746,black,gastroc,,NO,Gm7746,,1,SIGNED
62,10002925796.Kap,black,gastroc,,NO,Kap,,1,SIGNED
63,10004034552.Gm14150,black,gastroc,,NO,Gm14150,,1,SIGNED
64,10002935996.Dsg2,black,gastroc,,NO,Dsg2,,1,SIGNED
65,10003838843.A430110L20Rik,black,gastroc,,NO,A430110L20Rik,,1,SIGNED
66,514921.Gm6309,black,gastroc,,NO,Gm6309,,1,SIGNED
67,10002940176.Gm38326,black,gastroc,,NO,Gm38326,,1,SIGNED
68,510445.B9d1os,black,gastroc,,NO,B9d1os,,1,SIGNED
69,10004034993.9330179D12Rik,black,gastroc,,NO,9330179D12Rik,,1,SIGNED
70,10004037189.Olfr459,black,gastroc,,NO,Olfr459,,1,SIGNED
71,10002903624.Pabpn1l,black,gastroc,,NO,Pabpn1l,,1,SIGNED
72,10002902357.Gm2467,black,gastroc,,NO,Gm2467,,1,SIGNED
73,513331.Rnf185,black,gastroc,,NO,Rnf185,,1,SIGNED
74,10003836606.Gm9358,black,gastroc,,NO,Gm9358,,1,SIGNED
75,10002903954.Gm6298,black,gastroc,,NO,Gm6298,,1,SIGNED
76,10003835895.Pced1b,black,gastroc,,NO,Pced1b,,1,SIGNED
77,10002926911.Ripply1,black,gastroc,,NO,Ripply1,,1,SIGNED
78,519547.Iqcd,black,gastroc,,NO,Iqcd,,1,SIGNED
79,10003836984.Gm12608,black,gastroc,,NO,Gm12608,,1,SIGNED
80,10002909664.Olfr682-ps1,black,gastroc,,NO,Olfr682-ps1,,1,SIGNED
81,10004034879.Tusc1,black,gastroc,,NO,Tusc1,,1,SIGNED
82,10003839047.Ap1b1,black,gastroc,,NO,Ap1b1,,1,SIGNED
83,10004038132.Lzts1,black,gastroc,,NO,Lzts1,,1,SIGNED
84,10002899990.Emilin3,black,gastroc,,NO,Emilin3,,1,SIGNED
85,10002925658.Gm13914,black,gastroc,,NO,Gm13914,,1,SIGNED
86,10002907435.Gm6564,black,gastroc,,NO,Gm6564,,1,SIGNED
87,506273.Cldn9,black,gastroc,,NO,Cldn9,,1,SIGNED
88,10003841828.Gm9499,black,gastroc,,NO,Gm9499,,1,SIGNED
89,10002910838.Tcl1b1,black,gastroc,,NO,Tcl1b1,,1,SIGNED
90,10004035804.Senp7,black,gastroc,,NO,Senp7,,1,SIGNED
91,10002933274.Ttyh1,black,gastroc,,NO,Ttyh1,,1,SIGNED
92,10003839294.A330043C09Rik,black,gastroc,,NO,A330043C09Rik,,1,SIGNED
93,10002921130.Gm11462,black,gastroc,,NO,Gm11462,,1,SIGNED
94,10002907265.AA619741,black,gastroc,,NO,AA619741,,1,SIGNED
95,10002909591.Sgk1,black,gastroc,,NO,Sgk1,,1,SIGNED
96,10003836058.Gm6989,black,gastroc,,NO,Gm6989,,1,SIGNED
97,10003835817.Gm9575,black,gastroc,,NO,Gm9575,,1,SIGNED
98,10004033744.Rasd2,black,gastroc,,NO,Rasd2,,1,SIGNED
99,10004034241.Gm4131,black,gastroc,,NO,Gm4131,,1,SIGNED
100,10004035866.Olfr504,black,gastroc,,NO,Olfr504,,1,SIGNED
101,10002914471.Map3k21,black,gastroc,,NO,Map3k21,,1,SIGNED
102,10002924998.Bach1,black,gastroc,,NO,Bach1,,1,SIGNED
103,10002934034.Gm38393,black,gastroc,,NO,Gm38393,,1,SIGNED
104,10002930007.Gm37404,black,gastroc,,NO,Gm37404,,1,SIGNED
105,10002897607.Gm6441,black,gastroc,,NO,Gm6441,,1,SIGNED
106,10002913242.Gm8100,black,gastroc,,NO,Gm8100,,1,SIGNED
107,1487915.Gm11959,black,gastroc,,NO,Gm11959,,1,SIGNED
108,10002902885.Gm19563,black,gastroc,,NO,Gm19563,,1,SIGNED
109,10002912447.Gm14615,black,gastroc,,NO,Gm14615,,1,SIGNED
