"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0008328","ionotropic glutamate receptor complex",1.72953372734597e-07,0.000492376633003805,5.22628108367376,35,0.257142857142857,0.44343957363116,9,"Cnih2, Grid2, Grin2a, Grin2d, Ptk2b, Porcn, Cacng3, Abhd6, Grik4","black","gastroc"
"GO:0098878","neurotransmitter receptor complex",3.17168103336485e-07,0.000849823947469228,5.11294890876969,36,0.25,0.43915503282684,9,"Cnih2, Grid2, Grin2a, Grin2d, Ptk2b, Porcn, Cacng3, Abhd6, Grik4","black","gastroc"
"GO:0008542","visual learning",6.55935531668206e-07,0.000975362370160328,4.97397564603262,67,0.194029850746269,0.398436564668868,13,"Abl2, Cacna1e, Cck, Grin2a, Meis2, Atxn1, Sgk1, B3gat1, Ap1s2, Braf, Ttc36, Neto1, Lrrn4","black","gastroc"
"GO:0007632","visual behavior",1.7557404490276e-06,0.000975362370160328,4.77968042973911,70,0.185714285714286,0.391683736027325,13,"Abl2, Cacna1e, Cck, Grin2a, Meis2, Atxn1, Sgk1, B3gat1, Ap1s2, Braf, Ttc36, Neto1, Lrrn4","black","gastroc"
"GO:0004972","NMDA glutamate receptor activity",1.89677158268786e-06,0.000975362370160328,4.76412260128122,6,0.5,0.547722557505166,3,"Grin2a, Grin2d, Ptk2b","black","gastroc"
"GO:0071389","cellular response to mineralocorticoid stimulus",1.89677158268786e-06,0.000975362370160328,4.76412260128122,6,0.5,0.547722557505166,3,"Scnn1b, Scnn1g, Sgk1","black","gastroc"
"GO:1904044","response to aldosterone",1.89677158268786e-06,0.000975362370160328,4.76412260128122,6,0.5,0.547722557505166,3,"Scnn1b, Scnn1g, Sgk1","black","gastroc"
"GO:0004970","ionotropic glutamate receptor activity",6.77857118125402e-06,0.000975362370160328,4.50052537470347,16,0.3125,0.478713553878169,5,"Grid2, Grin2a, Grin2d, Ptk2b, Grik4","black","gastroc"
"GO:0007263","nitric oxide mediated signal transduction",8.12434825836483e-06,0.000975362370160328,4.46188062696688,22,0.272727272727273,0.455842305838552,6,"Cd36, Nos2, Vegfa, Gucy1a2, Mafa, Atp2b4","black","gastroc"
"GO:0060191","regulation of lipase activity",1.20522172368798e-05,0.000975362370160328,4.37664111697922,68,0.176470588235294,0.38405442985622,12,"Abl2, Apoa1, Rhoa, Fgfr2, Hpca, Plcd1, Nr1h3, Avpr1b, Angptl3, Dlc1, Lmf1, Angptl8","black","gastroc"
"GO:0010764","negative regulation of fibroblast migration",1.56490717018176e-05,0.000975362370160328,4.31934818545721,7,0.428571428571429,0.534522483824849,3,"Itgb1bp1, Braf, Arhgap4","black","gastroc"
"GO:0017146","NMDA selective glutamate receptor complex",1.56490717018176e-05,0.000975362370160328,4.31934818545721,7,0.428571428571429,0.534522483824849,3,"Grin2a, Grin2d, Ptk2b","black","gastroc"
"GO:0036089","cleavage furrow formation",1.56490717018176e-05,0.000975362370160328,4.31934818545721,7,0.428571428571429,0.534522483824849,3,"Rhoa, Spire2, Snx33","black","gastroc"
"GO:0071391","cellular response to estrogen stimulus",2.52166803205167e-05,0.000975362370160328,4.21285155083599,12,0.333333333333333,0.492365963917331,4,"Naip6, Rara, Sra1, Pelp1","black","gastroc"
"GO:0110096","cellular response to aldehyde",2.52166803205167e-05,0.000975362370160328,4.21285155083599,12,0.333333333333333,0.492365963917331,4,"Aldh2, Scnn1b, Scnn1g, Sgk1","black","gastroc"
"GO:0008066","glutamate receptor activity",3.00230405947399e-05,0.000975362370160328,4.17329150597184,24,0.25,0.442325868464691,6,"Grid2, Grin2a, Grin2d, Ptk2b, Grm5, Grik4","black","gastroc"
"GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",3.26240481378637e-05,0.000975362370160328,4.15433110667055,31,0.225806451612903,0.425023718503241,7,"Chrm4, Drd4, Gnat2, Htr6, Htr7, Nos2, Chrm2","black","gastroc"
"GO:1900037","regulation of cellular response to hypoxia",3.63990199390152e-05,0.000983961636927087,4.12922365543909,18,0.277777777777778,0.460888598962477,5,"Eno1, Kcnk2, Commd1, Rock2, Pik3cb","black","gastroc"
"GO:0055090","acylglycerol homeostasis",5.20566305532988e-05,0.00140472720480021,4.04619609462105,32,0.21875,0.420013440645154,7,"Apoa1, Hnf4a, Nr1h3, Angptl3, Pnpla8, Dgat2, Angptl8","black","gastroc"
"GO:0070328","triglyceride homeostasis",5.20566305532988e-05,0.00140472720480021,4.04619609462105,32,0.21875,0.420013440645154,7,"Apoa1, Hnf4a, Nr1h3, Angptl3, Pnpla8, Dgat2, Angptl8","black","gastroc"
"GO:0051004","regulation of lipoprotein lipase activity",6.87590471042387e-05,0.00185214346280194,3.98053946717904,13,0.307692307692308,0.480384461415261,4,"Nr1h3, Angptl3, Lmf1, Angptl8","black","gastroc"
"GO:0051385","response to mineralocorticoid",6.87590471042387e-05,0.00185214346280194,3.98053946717904,13,0.307692307692308,0.480384461415261,4,"Htr7, Scnn1b, Scnn1g, Sgk1","black","gastroc"
"GO:0050915","sensory perception of sour taste",7.65652271195183e-05,0.00205754931875756,3.95490450691073,8,0.375,0.517549169506766,3,"Asic2, Scnn1b, Scnn1g","black","gastroc"
"GO:0062061","TAP complex binding",7.65652271195183e-05,0.00205754931875756,3.95490450691073,8,0.375,0.517549169506766,3,"H2-K1, H2-Q1, H2-Q4","black","gastroc"
"GO:2000096","positive regulation of Wnt signaling pathway, planar cell polarity pathway",7.65652271195183e-05,0.00205754931875756,3.95490450691073,8,0.375,0.517549169506766,3,"Abl2, Dab2, Gpc3","black","gastroc"
"GO:0030276","clathrin binding",0.000122600560390929,0.0032581420804007,3.84086693892881,59,0.169491525423729,0.378406020441342,10,"Ap1b1, Dab2, Trpc5, Syt5, Syt6, Syt7, Syt9, Epn3, Cemip, Ap1s2","black","gastroc"
"GO:0048002","antigen processing and presentation of peptide antigen",0.000151583357288487,0.00402601861486332,3.78846104070033,51,0.176470588235294,0.385013368751849,9,"Fcgr3, H2-K1, H2-DMb2, H2-Q1, H2-Q4, Hfe, Traf6, Marchf1, Mill2","black","gastroc"
"GO:0015271","outward rectifier potassium channel activity",0.000162502599112546,0.00431100372136079,3.77114133252617,14,0.285714285714286,0.468807230938495,4,"Kcna2, Kcnd1, Kcnk2, Kcnt1","black","gastroc"
