,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
0,497629.Csf1,turquoise,gastroc,,NO,Csf1,,1,UNSIGNED
1,497650.Usp5,turquoise,gastroc,,NO,Usp5,,1,UNSIGNED
2,497654.Gskip,turquoise,gastroc,,NO,Gskip,,1,UNSIGNED
3,497680.Cartpt,turquoise,gastroc,,NO,Cartpt,,1,UNSIGNED
4,497729.Adnp2,turquoise,gastroc,,NO,Adnp2,,1,UNSIGNED
5,497748.Tlcd2,turquoise,gastroc,,NO,Tlcd2,,1,UNSIGNED
6,497829.Rara,turquoise,gastroc,,NO,Rara,,1,UNSIGNED
7,497847.Siglece,turquoise,gastroc,,NO,Siglece,,1,UNSIGNED
8,497861.4930557B06Rik,turquoise,gastroc,,NO,4930557B06Rik,,1,UNSIGNED
9,497869.Cel,turquoise,gastroc,,NO,Cel,,1,UNSIGNED
10,497881.Pnn,turquoise,gastroc,,NO,Pnn,,1,UNSIGNED
11,497911.Ogfod2,turquoise,gastroc,,NO,Ogfod2,,1,UNSIGNED
12,497915.Synpo2,turquoise,gastroc,,NO,Synpo2,,1,UNSIGNED
13,497923.Mmp11,turquoise,gastroc,,NO,Mmp11,,1,UNSIGNED
14,497959.Cd38,turquoise,gastroc,,NO,Cd38,,1,UNSIGNED
15,497987.Slc22a21,turquoise,gastroc,,NO,Slc22a21,,1,UNSIGNED
16,498003.Tnfrsf11a,turquoise,gastroc,,NO,Tnfrsf11a,,1,UNSIGNED
17,498008.Ano6,turquoise,gastroc,,NO,Ano6,,1,UNSIGNED
18,498028.Abi1,turquoise,gastroc,,NO,Abi1,,1,UNSIGNED
19,498038.1700037C06Rik,turquoise,gastroc,,NO,1700037C06Rik,,1,UNSIGNED
20,498073.Atp5d,turquoise,gastroc,,NO,Atp5d,,1,UNSIGNED
21,498085.Gm10232,turquoise,gastroc,,NO,Gm10232,,1,UNSIGNED
22,498110.Grik3,turquoise,gastroc,,NO,Grik3,,1,UNSIGNED
23,498155.Dnaja4,turquoise,gastroc,,NO,Dnaja4,,1,UNSIGNED
24,498189.Cebpz,turquoise,gastroc,,NO,Cebpz,,1,UNSIGNED
25,498211.Nos2,turquoise,gastroc,,NO,Nos2,,1,UNSIGNED
26,498222.Morc4,turquoise,gastroc,,NO,Morc4,,1,UNSIGNED
27,498236.Fbxw2,turquoise,gastroc,,NO,Fbxw2,,1,UNSIGNED
28,498241.Itprid2,turquoise,gastroc,,NO,Itprid2,,1,UNSIGNED
29,498243.2310044K18Rik,turquoise,gastroc,,NO,2310044K18Rik,,1,UNSIGNED
