"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue","fraction_overlap"
"GO:0010639","negative regulation of organelle organization",2.87156964873247e-11,1.33469385203841e-08,6.65301100326216,315,0.26984126984127,0.444583437976746,85,"Avp, Bak1, Bcl2l2, Bmp4, Capn1, Cav3, Cdh5, Cfl1, Chek1, Mapre1, Esr1, Evl, Fgf13, Fgfr2, Gdi2, Rhpn1, H3f3a, Hdac6, Hnrnpc, Arhgef2, Limk2, Smad4, Mcm2, Met, Map4, Mapt, Pfn1, Rad21, Sub1, Rps6ka2, Sec22b, Sgk1, Sptan1, Tesk1, Tmod1, Tnks, Tubb4a, Prap1, Vill, Was, Baz1b, Yap1, Map3k1, Dysf, Zw10, Hip1r, Dlc1, Zwint, Becn1, Naa10, Shank3, Lima1, Nuf2, Mfn1, Camsap2, Triap1, Ten1, Nbdy, Tpx2, Opa1, Cep97, Arpc2, Tmsb15a, Nol3, Wdr47, Usp30, Ppif, Cdc20, Stn1, Tpr, Mfn2, Phldb2, Kntc1, Arfgef1, Cdk5rap2, Tent4b, Pak2, Camsap1, Kank2, Dync1li1, Gnl3l, Shank1, Nav3, Usp44, Arhgap33os","turquoise","gastroc",0.26984126984127
"GO:0060090","molecular adaptor activity",3.05437897196725e-11,1.39126962173108e-08,6.643925322225,431,0.250580046403712,0.433850673561498,108,"Abi1, Adam10, Ank3, Ap1g1, Axin1, Btrc, Cav3, Cbx5, Ccnt1, Cdyl, Crebbp, Dctn1, Dffa, Dlg1, Mapre1, Fscn1, Gja1, Rack1, Gnb5, Hras, Itga2b, Lox, Myh9, Plcb3, Rb1, Trim30a, Ruvbl2, Rxrg, Sec22b, Sh2b1, Sod3, Stx1a, Stx4a, Tjp2, Vamp1, Vhl, Xk, Map2k4, Homer1, Cul1, Sh2d3c, Hip1r, Mapk8ip3, Septin11, Gosr1, Ppp1r3c, Vti1a, Bet1l, Stx1b, Stx5a, Ykt6, Gosr2, Rapgef4, Trim17, Brd4, Shank3, Stx6, Ncstn, Syne1, Iscu, Arrdc4, Psmg3, Bfar, Pkp2, Snap29, Eloc, Retreg3, Dcaf12, Spag9, Cdc42se2, Ndc1, Otud4, Spsb1, Klhdc10, Bicd2, Nmd3, Akap9, Frs3, Ap4e1, Ston2, Arrb1, Synpo2, Sgk3, Prima1, Mical3, Klhl25, Dtx3l, Hsh2d, Frmd4a, Syne3, Nup153, Bnip1, Ambra1, Vps18, Dlgap4, Stx16, Mark4, Tnrc6a, Gatad2a, Cnot1, Dync1li1, Dlgap3, Shank1, Ube2z, Upf2, Abi2, Akirin2, Ncbp1","turquoise","gastroc",0.250580046403712
"GO:1902905","positive regulation of supramolecular fiber organization",5.45240741445241e-10,2.14100998041644e-07,6.20549766653959,157,0.312101910828025,0.46483389898992,49,"Abl1, Bmp10, Cav3, Cfl1, Csf3, Dctn1, Dlg1, Mapre1, Evl, F2rl1, Hspa1b, Itgb1bp1, Cd47, Smad3, Met, Mapt, Nck2, Nf2, Pfn1, Prkce, Rb1, Rock2, Ccl11, Tesk1, Tgfb3, Vasp, Was, Map3k1, Mapk8, Arhgef5, Bag4, Synpo2l, Arhgef10l, Arpc2, Tnxb, Wasf1, Akap9, Brk1, Synpo, Braf, Synpo2, Kirrel, Cdk5rap2, Fermt2, Arhgef10, Nav3, Ppm1e, Abi2, Arhgef15","turquoise","gastroc",0.312101910828025
"GO:0051020","GTPase binding",1.6027188465273e-09,5.98392159502609e-07,6.03367535551081,274,0.266423357664234,0.442897117558693,73,"Abca1, Ap1g1, Eno1, Gdi2, Kif16b, Arhgef2, Afdn, Ngfr, Pfn1, Dennd5a, Ranbp2, Ralbp1, Rock2, Exoc4, Sorl1, Stx4a, Was, Git2, Micall1, Preb, Atp6ap1, Becn1, Rapgef4, Sike1, Tmem127, Rgl3, Vps9d1, Cdc42se2, Plce1, Gga2, Bicd2, Rbsn, Acap2, Wasf1, Usp6nl, Rcc1, Rusc2, Brk1, Gas8, Iars, Trip11, Braf, Raf1, Erc1, Mfn2, Rapgef6, Mical3, Kntc1, Ccdc186, Rab11fip3, Arhgap44, Nup153, Pak2, Rin1, Ric1, Rabgap1, Dennd1a, Ambra1, Strip1, Yipf1, Arhgef16, Picalm, Tnpo1, Rasgrp3, Rims4, Rragb, Dgki, Ocrl, Ipo8, Abi2, Dennd1b, Dock1, Atg14","turquoise","gastroc",0.266423357664234
"GO:0010638","positive regulation of organelle organization",2.06460137874842e-09,7.52340742415924e-07,5.99264111788487,461,0.23644251626898,0.425358584599847,109,"Abl1, Atpif1, Bak1, Bax, Bmp10, Camk2b, Cav3, Cdk2, Cfl1, Csf3, Dctn1, Dlg1, Drd3, Mapre1, Evl, F2rl1, Fscn1, Gja1, Hoxa13, Hras, Hspa1b, Itgb1bp1, Cd47, Smad3, Fyco1, Met, Msx1, Mapt, Nck2, Nes, Nf2, P2rx7, Pdgfrb, Pfn1, Pip4k2a, Prkce, Ptbp1, Rad21, Rad51ap1, Rb1, Ralbp1, Rock2, Ruvbl2, Ccl11, Sh2b1, Tesk1, Tgfb3, Tnks, Prap1, Vasp, Was, Yy1, Pebp1, Map3k1, Map3k4, Mapk8, Mapk9, Hip1r, Ppp1r10, Wipi1, Arhgef5, Sh3glb1, Rala, Becn1, Gsk3b, Anapc11, Resf1, Bag4, Mfn1, Ino80, Nsmce2, Synpo2l, Lnpk, Ppp1r35, Cnot2, Arhgef10l, Opa1, Morc2a, Osbp, Arpc2, Wasf1, Akap9, Brk1, Synj1, Synpo, Ppif, Pip4k2b, Tpr, Atl3, Braf, Erc1, Pip4k2c, Synpo2, Snx18, Kirrel, Cdk5rap2, Mcu, Fermt2, Ino80d, Ambra1, Eif4g3, Arhgap35, Mark4, Arhgef10, Cnot1, Nav3, Ppm1e, Abi2, Arhgef15","turquoise","gastroc",0.23644251626898
"GO:0031267","small GTPase binding",3.40052763725396e-09,1.22931772918189e-06,5.910992376494,243,0.271604938271605,0.445705282281014,66,"Abca1, Ap1g1, Gdi2, Kif16b, Arhgef2, Afdn, Ngfr, Pfn1, Dennd5a, Ranbp2, Ralbp1, Rock2, Exoc4, Sorl1, Stx4a, Was, Git2, Micall1, Atp6ap1, Rapgef4, Sike1, Tmem127, Rgl3, Vps9d1, Cdc42se2, Plce1, Gga2, Bicd2, Rbsn, Acap2, Wasf1, Usp6nl, Rcc1, Rusc2, Brk1, Gas8, Trip11, Braf, Raf1, Erc1, Mfn2, Rapgef6, Mical3, Kntc1, Ccdc186, Rab11fip3, Arhgap44, Nup153, Pak2, Rin1, Ric1, Rabgap1, Dennd1a, Strip1, Yipf1, Arhgef16, Picalm, Tnpo1, Rasgrp3, Rims4, Dgki, Ocrl, Ipo8, Abi2, Dennd1b, Dock1","turquoise","gastroc",0.271604938271605
"GO:0051495","positive regulation of cytoskeleton organization",3.48341133715735e-09,1.24936524730329e-06,5.90702489288283,172,0.296511627906977,0.45805274969312,51,"Abl1, Bmp10, Cav3, Cfl1, Csf3, Dctn1, Dlg1, Mapre1, Evl, F2rl1, Hras, Hspa1b, Itgb1bp1, Cd47, Smad3, Met, Mapt, Nck2, Nes, Nf2, P2rx7, Pfn1, Prkce, Rock2, Ccl11, Tesk1, Tgfb3, Vasp, Was, Map3k1, Mapk8, Arhgef5, Bag4, Synpo2l, Ppp1r35, Arhgef10l, Arpc2, Wasf1, Akap9, Brk1, Synpo, Braf, Synpo2, Kirrel, Cdk5rap2, Fermt2, Arhgef10, Nav3, Ppm1e, Abi2, Arhgef15","turquoise","gastroc",0.296511627906977
"GO:0030674","protein-macromolecule adaptor activity",3.79718279042152e-09,1.35126309456016e-06,5.8927946061447,288,0.260416666666667,0.439625870398166,75,"Abi1, Ank3, Ap1g1, Axin1, Btrc, Cbx5, Ccnt1, Cdyl, Fscn1, Rack1, Gnb5, Hras, Myh9, Trim30a, Rxrg, Sec22b, Sh2b1, Stx1a, Stx4a, Tjp2, Vamp1, Vhl, Xk, Cul1, Sh2d3c, Hip1r, Mapk8ip3, Gosr1, Vti1a, Bet1l, Stx1b, Stx5a, Ykt6, Gosr2, Rapgef4, Trim17, Brd4, Shank3, Stx6, Ncstn, Syne1, Arrdc4, Bfar, Snap29, Eloc, Retreg3, Dcaf12, Spag9, Cdc42se2, Ndc1, Spsb1, Klhdc10, Bicd2, Nmd3, Frs3, Ap4e1, Ston2, Arrb1, Synpo2, Prima1, Klhl25, Dtx3l, Hsh2d, Frmd4a, Syne3, Nup153, Bnip1, Ambra1, Vps18, Stx16, Mark4, Gatad2a, Shank1, Abi2, Akirin2","turquoise","gastroc",0.260416666666667
"GO:0070064","proline-rich region binding",9.28399312982719e-09,3.17959313581676e-06,5.74331655715162,18,0.611111111111111,0.50163132570455,11,"Abl1, Apbb1, Csk, Pfn1, Wbp4, Yap1, Tcerg1, Prpf40a, Cyld, Gigyf2, Abi2","turquoise","gastroc",0.611111111111111
"GO:1902903","regulation of supramolecular fiber organization",1.11358524623739e-08,3.75731910860098e-06,5.71245399723321,324,0.25,0.433682482187184,81,"Abl1, Bmp10, Capn1, Cav3, Cdh5, Cfl1, Csf3, Dctn1, Dlg1, Mapre1, Evl, F2rl1, Fgf13, Gja1, Rhpn1, Hdac6, Hspa1b, Itgb1bp1, Cd47, Arhgef2, Smad3, Smad4, Met, Mapt, Nck2, Nf2, Pfn1, Prkce, Rb1, Rock2, Ccl11, Sgk1, Sptan1, Tesk1, Tgfb3, Tmod1, Tubb4a, Vasp, Vill, Was, Map3k1, Mapk8, Dysf, Hip1r, Dlc1, Arhgef5, Arpc1a, Shank3, Lima1, Bag4, Camsap2, Synpo2l, Tpx2, Arhgef10l, Arpc2, Tmsb15a, Tnxb, Wasf1, Wdr47, Mapre3, Akap9, Brk1, Synpo, Braf, Synpo2, Kirrel, Mfn2, Phldb2, Arfgef1, Cdk5rap2, Fermt2, Pak2, Camsap1, Arhgap35, Arhgef10, Kank2, Shank1, Nav3, Ppm1e, Abi2, Arhgef15","turquoise","gastroc",0.25
