"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0006959","humoral immune response",0.000117761206646049,0.0131794175988392,-3.85074053809758,186,0.043010752688172,0.203428903557665,8,"Adm, Cd81, Cr1l, Rbpj, Ccl11, Ccl25, Cxcl15, Gpr183","turquoise","gastroc"
"GO:0000459","exonucleolytic trimming involved in rRNA processing",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Exosc3, Exosc7, Exosc8","brown","gastroc"
"GO:0000467","exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Exosc3, Exosc7, Exosc8","brown","gastroc"
"GO:0001739","sex chromatin",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Eed, Rnf2, Suz12","brown","gastroc"
"GO:0005750","mitochondrial respiratory chain complex III",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Uqcrfs1, Uqcrc2, Uqcc3","brown","gastroc"
"GO:0005786","signal recognition particle, endoplasmic reticulum targeting",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Srp54a, Srp9, Srp19","brown","gastroc"
"GO:0005826","actomyosin contractile ring",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Septin2, Rtkn, Maea","brown","gastroc"
"GO:0006573","valine metabolic process",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Hibadh, Aldh6a1, Hibch","brown","gastroc"
"GO:0008312","7S RNA binding",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Srp54a, Srp9, Srp19","brown","gastroc"
"GO:0016671","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Txndc12, Dnajc10, Msrb3","brown","gastroc"
"GO:0031080","nuclear pore outer ring",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Nup160, Nup107, Sec13","brown","gastroc"
"GO:0033211","adiponectin-activated signaling pathway",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Csnk2b, Slc27a1, Appl1","brown","gastroc"
"GO:0034475","U4 snRNA 3'-end processing",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Exosc3, Exosc7, Exosc8","brown","gastroc"
"GO:0042780","tRNA 3'-end processing",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Trmt10c, Polr3k, Trnt1","brown","gastroc"
"GO:0043634","polyadenylation-dependent ncRNA catabolic process",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Exosc3, Exosc7, Exosc8","brown","gastroc"
"GO:0045275","respiratory chain complex III",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Uqcrfs1, Uqcrc2, Uqcc3","brown","gastroc"
"GO:0046838","phosphorylated carbohydrate dephosphorylation",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Pten, Bpnt1, Impa1","brown","gastroc"
"GO:0046855","inositol phosphate dephosphorylation",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Pten, Bpnt1, Impa1","brown","gastroc"
"GO:0048500","signal recognition particle",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Srp54a, Srp9, Srp19","brown","gastroc"
"GO:0051096","positive regulation of helicase activity",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Msh3, Msh6, Chtop","brown","gastroc"
"GO:0060440","trachea formation",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Ctnnb1, Map2k1, Mapk3","brown","gastroc"
"GO:0060916","mesenchymal cell proliferation involved in lung development",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Ctnnb1, Fgfr2, Nfib","brown","gastroc"
"GO:0070475","rRNA base methylation",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Emg1, Bud23, Mettl15","brown","gastroc"
"GO:0098903","regulation of membrane repolarization during action potential",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Cacnb3, Cav1, Flna","brown","gastroc"
"GO:1900045","negative regulation of protein K63-linked ubiquitination",9.00031733452877e-06,0.000995059355795596,4.43989405707084,6,0.5,0.547722557505166,3,"Trip12, Plaa, Ubr5","brown","gastroc"
"GO:0000055","ribosomal large subunit export from nucleus",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Nup88, Nmd3, Xpo1","brown","gastroc"
"GO:0000301","retrograde transport, vesicle recycling within Golgi",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Cux1, Golga5, Cog5","brown","gastroc"
"GO:0000439","transcription factor TFIIH core complex",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Gtf2h1, Gtf2h5, Gtf2h3","brown","gastroc"
"GO:0005665","RNA polymerase II, core complex",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Polr2g, Polr2d, Polr2b","brown","gastroc"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Uqcrfs1, Uqcrc2, Uqcc3","brown","gastroc"
"GO:0015247","aminophospholipid flippase activity",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Atp11a, Tmem30a, Atp11c","brown","gastroc"
"GO:0031125","rRNA 3'-end processing",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Exosc3, Exosc7, Exosc8","brown","gastroc"
"GO:0032797","SMN complex",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Fmr1, Strap, Gemin6","brown","gastroc"
"GO:0034427","nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Exosc3, Exosc7, Exosc8","brown","gastroc"
"GO:0060510","type II pneumocyte differentiation",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Nfib, Rbbp9, Fndc3b","brown","gastroc"
"GO:0072357","PTW/PP1 phosphatase complex",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Ppp1cb, Ppp1cc, Ppp1ccb","brown","gastroc"
"GO:0101019","nucleolar exosome (RNase complex)",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Exosc3, Exosc7, Exosc8","brown","gastroc"
"GO:2000623","negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",5.98782289973343e-05,0.00223662046868183,4.01329017755906,7,0.428571428571429,0.534522483824849,3,"Hnrnpab, Syncrip, Upf3a","brown","gastroc"
"GO:0009897","external side of plasma membrane",0.000217118550943264,0.00462570158815047,-3.69821780589747,419,0.0190930787589499,0.137015831952261,8,"Adam9, Bmpr1a, Cd4, Clcn3, Itgav, Mfge8, Tmem123, Rtn4rl2","brown","gastroc"
"GO:0000808","origin recognition complex",0.000249169282364514,0.00523266980714782,3.66311224943923,8,0.375,0.517549169506766,3,"Orc4, Orc5, Orc6","brown","gastroc"
"GO:0005664","nuclear origin of replication recognition complex",0.000249169282364514,0.00523266980714782,3.66311224943923,8,0.375,0.517549169506766,3,"Orc4, Orc5, Orc6","brown","gastroc"
"GO:0005675","transcription factor TFIIH holo complex",0.000249169282364514,0.00523266980714782,3.66311224943923,8,0.375,0.517549169506766,3,"Gtf2h1, Gtf2h5, Gtf2h3","brown","gastroc"
"GO:0005845","mRNA cap binding complex",0.000249169282364514,0.00523266980714782,3.66311224943923,8,0.375,0.517549169506766,3,"Fmr1, Ramac, Rnmt","brown","gastroc"
"GO:0008641","ubiquitin-like modifier activating enzyme activity",0.000249169282364514,0.00523266980714782,3.66311224943923,8,0.375,0.517549169506766,3,"Uba3, Uba2, Uba6","brown","gastroc"
