,gene.id,symbol
0,500663.Rpl37,Rpl37
1,10004035873.Pdpk1,Pdpk1
2,10004034416.Nudt18,Nudt18
3,10003844310.Prkd1,Prkd1
4,10003844442.Cdc14b,Cdc14b
5,10003836803.Gm44018,Gm44018
6,510198.Castor2,Castor2
7,10003115815.Phc3,Phc3
8,10002917416.Bcl2a1c,Bcl2a1c
9,516557.Syt8,Syt8
10,10002904937.Dmrt3,Dmrt3
11,10003114294.Gm26626,Gm26626
12,519096.Nlk,Nlk
13,10002897694.Nr5a1,Nr5a1
14,506591.Setd5,Setd5
15,517876.Prl2c3,Prl2c3
16,10004033763.Pdia3,Pdia3
17,10002909008.Med21,Med21
18,513137.Abcf1,Abcf1
19,511811.Senp2,Senp2
20,10003835983.Gm4792,Gm4792
21,10002934349.Clmn,Clmn
22,10002900633.Tmem108,Tmem108
23,10002933922.Atg4a-ps,Atg4a-ps
24,10002923322.Rbm20,Rbm20
25,505241.Mrps16,Mrps16
26,515401.Gabra4,Gabra4
27,10002910004.Camta1,Camta1
28,10002910090.Eefsec,Eefsec
29,10004034940.Pcdhgc4,Pcdhgc4
30,10002950699.Ephb2,Ephb2
31,10003843523.Rtn4rl1,Rtn4rl1
32,10002910424.Plaat3,Plaat3
33,10004038287.Wdr34,Wdr34
34,515701.Cep164,Cep164
35,10002949831.Kcnk10,Kcnk10
36,504705.Dscam,Dscam
37,10003838615.Gm1715,Gm1715
38,10002911859.Myh14,Myh14
39,513522.Oxld1,Oxld1
40,10002947262.Cfap298,Cfap298
41,10003843040.BC028777,BC028777
42,10002896461.Spata2,Spata2
43,10002939253.Rbms3,Rbms3
44,10004035003.H2bc9,H2bc9
45,10002915594.Ilvbl,Ilvbl
46,501519.C130026I21Rik,C130026I21Rik
47,1015447.Col6a2,Col6a2
48,10003845241.A230072E10Rik,A230072E10Rik
49,10003114282.Grin2a,Grin2a
50,10004035198.Krtap4-7,Krtap4-7
51,1370965.Creb3l3,Creb3l3
52,501318.Ppp1r10,Ppp1r10
53,511739.Depdc1a,Depdc1a
54,10002940074.Gm45431,Gm45431
55,499682.Ctf1,Ctf1
56,10004034379.Ric1,Ric1
57,515425.1110020A21Rik,1110020A21Rik
58,10004035377.Homer1,Homer1
59,10002941191.Dnah3,Dnah3
60,511494.Ulk3,Ulk3
61,10002938207.Gm30725,Gm30725
62,511014.4930505A04Rik,4930505A04Rik
63,503581.Marchf2,Marchf2
64,10003835927.Gm8128,Gm8128
65,10003844796.Gm44973,Gm44973
66,10002907628.Plekhh2,Plekhh2
67,10003840660.Gm27392,Gm27392
68,10004035935.Gfral,Gfral
69,10003844987.9130221F21Rik,9130221F21Rik
70,10002946110.Kcnk13,Kcnk13
71,10002936639.Ccser1,Ccser1
72,10003845893.Dync2h1,Dync2h1
73,10003837733.Gm2233,Gm2233
74,10003842455.Tshz3,Tshz3
75,10004035614.Klk11,Klk11
76,513099.Ddx50,Ddx50
77,503300.Kcnd2,Kcnd2
78,10003839040.Gm48796,Gm48796
79,10004034808.Vmn1r59,Vmn1r59
80,515811.Ints12,Ints12
81,508278.Smpd5,Smpd5
82,10002898471.Sgo2a,Sgo2a
83,516546.4930579F01Rik,4930579F01Rik
84,10004035809.Bnip1,Bnip1
85,502039.Pikfyve,Pikfyve
86,501320.Cpb1,Cpb1
87,10002926708.Shroom2,Shroom2
88,10002915224.Gm17752,Gm17752
89,504738.Nrg3,Nrg3
90,10004035244.Adam33,Adam33
91,10004034695.Zfp647,Zfp647
92,501711.Spata7,Spata7
93,10002900107.Slco2b1,Slco2b1
94,10003839168.Grpel1,Grpel1
95,10002925023.Gm15789,Gm15789
96,10003836919.Gm12430,Gm12430
97,1478127.Fgf7,Fgf7
98,503027.Ephb4,Ephb4
99,10002939538.A730036I17Rik,A730036I17Rik
100,10002906398.Pld2,Pld2
101,10002918815.Pamr1,Pamr1
102,10002912608.Ankrd31,Ankrd31
103,506372.Gtf2f1,Gtf2f1
104,10004035545.Dcaf8,Dcaf8
105,10004034594.Tnfsf18,Tnfsf18
106,10003841856.Gm15603,Gm15603
107,497697.Peg12,Peg12
108,512395.B3galt5,B3galt5
109,10002898516.Pgs1,Pgs1
110,509554.Wnk4,Wnk4
111,10003839287.Gm37294,Gm37294
112,517437.Ago3,Ago3
113,10003843708.Mecom,Mecom
114,10002912096.Tmco1,Tmco1
115,499411.Syt1,Syt1
116,501515.Rbm39,Rbm39
117,10002902572.Setx,Setx
118,502431.Plpp5,Plpp5
119,10004037663.Cntnap2,Cntnap2
120,10003840348.Gm24553,Gm24553
121,10002917746.Gm648,Gm648
122,10004037808.Zbtb34,Zbtb34
123,504098.Tatdn1,Tatdn1
124,10004035691.4921513I03Rik,4921513I03Rik
125,10002173020.Mpp4,Mpp4
126,1480241.Pax3,Pax3
127,10003838329.6030442K20Rik,6030442K20Rik
128,10002917512.Ano3,Ano3
129,10004037496.Olfr1322,Olfr1322
130,519162.Nkx2-2,Nkx2-2
131,513521.Col14a1,Col14a1
132,10002905913.Olfr1458,Olfr1458
133,505490.Gm3318,Gm3318
134,1480595.Tfap2c,Tfap2c
135,506828.Gm27306,Gm27306
136,504708.Gm7962,Gm7962
137,10003836360.Gm44717,Gm44717
138,10003117871.Slco3a1,Slco3a1
139,10004035797.Chd5,Chd5
140,10002907079.Gm18338,Gm18338
141,505014.Cdan1,Cdan1
142,10002900748.Vps4a,Vps4a
143,10002926524.Gm37223,Gm37223
144,10003840369.Mir6348,Mir6348
145,10002898108.Piwil4,Piwil4
146,10004034294.Olfr224,Olfr224
147,10003839414.Gm46411,Gm46411
148,10002928974.Gm1698,Gm1698
149,507677.Pomp,Pomp
150,10002899832.H2-Q1,H2-Q1
151,10003836061.Gm47399,Gm47399
152,10003842541.Gm42665,Gm42665
153,10002951508.Nsl1,Nsl1
154,10002919790.Cnksr3,Cnksr3
155,508590.Wnt2,Wnt2
156,10004034271.Tmem101,Tmem101
157,10004033216.Slc45a1,Slc45a1
158,10004035344.Vmn1r217,Vmn1r217
159,10003839981.Epb41l5,Epb41l5
160,515306.Dydc2,Dydc2
161,10004036333.Cebpzos,Cebpzos
162,10002917214.Kif18a,Kif18a
163,10002900589.Gm2736,Gm2736
164,10003843014.Dcc,Dcc
165,10003836863.Mdn1,Mdn1
166,10003840706.Gm8189,Gm8189
167,10002911028.Vgll4,Vgll4
168,10004037009.Olfr663,Olfr663
169,10003845497.Gm28640,Gm28640
170,519506.Pdcd6ip,Pdcd6ip
171,10004033511.Arhgap27,Arhgap27
172,507107.Ccdc166,Ccdc166
173,512381.Copg1,Copg1
174,10002941385.Gm49587,Gm49587
175,509240.Rxra,Rxra
176,10004033163.Olfr895,Olfr895
177,10004035487.Vti1a,Vti1a
178,10003843996.A730049N16Rik,A730049N16Rik
179,10002932040.Gm12873,Gm12873
180,10003840021.Zfp952,Zfp952
181,501688.Crkl,Crkl
182,514466.4930461G14Rik,4930461G14Rik
183,10002907185.Ppp3cb,Ppp3cb
184,10003844505.Map2k3,Map2k3
185,10004036512.Olfr322,Olfr322
186,10003117520.Nlrc3,Nlrc3
187,517761.Egr4,Egr4
188,10002943064.Gm25090,Gm25090
189,10004035934.Samd13,Samd13
190,10003115332.Eef2k,Eef2k
191,10002902252.Proser1,Proser1
192,10002910338.Il23r,Il23r
193,517635.Tmem87b,Tmem87b
194,10003838680.Gm33926,Gm33926
195,515916.Ttll10,Ttll10
196,10003845931.Rpl29-ps5,Rpl29-ps5
197,518693.Gm30172,Gm30172
198,1015601.Zfp51,Zfp51
199,10002932811.Prox1,Prox1
200,10002904545.Rragb,Rragb
201,507395.5330439A09Rik,5330439A09Rik
202,10002678286.Fanca,Fanca
203,10002901720.Il18bp,Il18bp
204,10002907060.Tctex1d4,Tctex1d4
205,10003840364.Rgs2,Rgs2
206,10003842365.Msl2,Msl2
207,516792.Ephb1,Ephb1
208,10002922772.Gm13481,Gm13481
209,512188.Barhl1,Barhl1
210,10003839417.Gm272,Gm272
211,10003117637.Rora,Rora
212,10004038295.Zmym2,Zmym2
213,10002935943.Cbl,Cbl
214,10004037090.Tmem220,Tmem220
215,10003843294.Gm11238,Gm11238
216,10004036386.Olfr691,Olfr691
217,518334.Slamf1,Slamf1
218,505808.Acly,Acly
219,10004036395.Kmt2b,Kmt2b
220,508501.Nkx3-1,Nkx3-1
221,10002928511.Gm28180,Gm28180
222,508762.Xcl1,Xcl1
223,10002908135.Gtf2h1,Gtf2h1
224,10002913933.Ube2ql1,Ube2ql1
225,512757.Xlr3c,Xlr3c
226,10003840019.Ankrd12,Ankrd12
227,10002948573.Marveld3,Marveld3
228,10002917108.Rnf222,Rnf222
229,502392.Cep83,Cep83
230,592899.Gm4735,Gm4735
231,514586.1700061I17Rik,1700061I17Rik
232,10002914173.Pcgf5,Pcgf5
233,1482498.Gm11413,Gm11413
234,10002917945.Ormdl2,Ormdl2
235,504383.Lgr5,Lgr5
236,519031.Stx6,Stx6
237,10004034331.Atxn7l1,Atxn7l1
238,10003835734.Gm8938,Gm8938
239,10002916564.Gm47399,Gm47399
240,10003842580.Gm44696,Gm44696
241,10003840532.1700086D15Rik,1700086D15Rik
242,516509.Col20a1,Col20a1
243,514770.Acsm3,Acsm3
244,497826.Agbl1,Agbl1
245,10004036830.Edaradd,Edaradd
246,507918.Hagh,Hagh
247,10004033908.Cnot9,Cnot9
248,10002910125.Mcf2,Mcf2
249,10002913932.Plekhn1,Plekhn1
250,499599.Pnisr,Pnisr
251,508572.Plaat5,Plaat5
252,10002943804.Fam13a,Fam13a
253,10004035833.Pak4,Pak4
254,503805.Cmtm3,Cmtm3
255,10004035940.Gm16312,Gm16312
256,10004038400.Kir3dl1,Kir3dl1
257,497906.Arl14,Arl14
258,10004036596.Gm4814,Gm4814
259,10004038211.Klhl5,Klhl5
260,10002919350.Obox8,Obox8
261,498806.4930444E06Rik,4930444E06Rik
262,10002911519.Sctr,Sctr
263,10002931743.Aff3,Aff3
264,10002911232.Erich4,Erich4
265,10002911030.Gm7962,Gm7962
266,10002900537.Kif19a,Kif19a
267,10003840704.Zmym5,Zmym5
268,10004036098.Stk-ps2,Stk-ps2
269,10003839581.4933424G05Rik,4933424G05Rik
270,508616.Gm49679,Gm49679
271,498862.Cops4,Cops4
272,10003838266.Gpcpd1,Gpcpd1
273,10002900217.Ikbkb,Ikbkb
274,10003839691.Atxn1,Atxn1
275,518794.Gigyf2,Gigyf2
276,509650.Tmem176a,Tmem176a
277,10002906120.4933402J07Rik,4933402J07Rik
278,502921.Glis3,Glis3
279,516214.Lysmd3,Lysmd3
280,10002907157.Klk1b24,Klk1b24
281,513867.Serpinb3a,Serpinb3a
282,10004037935.Atp6v1g2,Atp6v1g2
283,1483402.Rspo1,Rspo1
284,10002904374.Stx19,Stx19
285,498098.5430402P08Rik,5430402P08Rik
286,498281.Gm43726,Gm43726
287,10002922162.Gm29235,Gm29235
288,1015914.Gm10221,Gm10221
289,10002899942.Abcc4,Abcc4
290,10002917992.Olfr1232,Olfr1232
291,10002915344.Rpn1,Rpn1
292,10003836358.Nrg1,Nrg1
293,10002926015.Ripply3,Ripply3
294,10002898836.Cenpi,Cenpi
295,10004034923.1110002L01Rik,1110002L01Rik
296,10002947184.Zbtb8b,Zbtb8b
297,10003840112.Spns3,Spns3
298,10002678252.Tubg2,Tubg2
299,510146.Mpc2,Mpc2
300,510870.Ppm1g,Ppm1g
301,503431.Nfkb1,Nfkb1
302,10003835671.Gm5225,Gm5225
303,504855.Nme5,Nme5
304,10002900628.Cfap65,Cfap65
305,518244.4930540M03Rik,4930540M03Rik
306,10002949079.Mal,Mal
307,10004035742.Umodl1,Umodl1
308,10002896985.Gm12109,Gm12109
309,1377249.Fyn,Fyn
310,10002922137.Olfr1265,Olfr1265
311,10002916910.Pithd1,Pithd1
312,10002898219.Trgc4,Trgc4
313,10003844366.Slc38a9,Slc38a9
314,10003116902.Gm10805,Gm10805
315,10002940533.Gm29053,Gm29053
316,10004034630.Tas2r140,Tas2r140
317,10002898865.Wtip,Wtip
318,10003841761.Zeb2,Zeb2
319,518870.Cdc25a,Cdc25a
320,10004034925.Sult2a1,Sult2a1
321,10002926264.Gm18553,Gm18553
322,10002903114.Sgpp2,Sgpp2
323,10002940254.Gm37616,Gm37616
