,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
0,510320.Chordc1,black,islet,,NO,Chordc1,,1,SIGNED
1,502582.Mkks,black,islet,,NO,Mkks,,1,SIGNED
2,500034.Zfp180,black,islet,,NO,Zfp180,,1,SIGNED
3,10002899579.Trappc13,black,islet,,NO,Trappc13,,1,SIGNED
4,10002897412.Ppp4r3a,black,islet,,NO,Ppp4r3a,,1,SIGNED
5,502476.Taf12,black,islet,,NO,Taf12,,1,SIGNED
6,513442.Vezt,black,islet,,NO,Vezt,,1,SIGNED
7,10002915555.Gm42526,black,islet,,NO,Gm42526,,1,SIGNED
8,498152.Hsph1,black,islet,,NO,Hsph1,,1,SIGNED
9,504682.Ubr5,black,islet,,NO,Ubr5,,1,SIGNED
10,515956.Rabep1,black,islet,,NO,Rabep1,,1,SIGNED
11,506404.Uba6,black,islet,,NO,Uba6,,1,SIGNED
12,10002911065.Bmpr2,black,islet,,NO,Bmpr2,,1,SIGNED
13,508943.Herpud2,black,islet,,NO,Herpud2,,1,SIGNED
14,519912.Iars,black,islet,,NO,Iars,,1,SIGNED
15,10002906716.Eif5,black,islet,,NO,Eif5,,1,SIGNED
16,505333.Pias2,black,islet,,NO,Pias2,,1,SIGNED
17,512443.Zfp24,black,islet,,NO,Zfp24,,1,SIGNED
18,10004036089.Slc25a38,black,islet,,NO,Slc25a38,,1,SIGNED
19,10004037893.Mettl4-ps1,black,islet,,NO,Mettl4-ps1,,1,SIGNED
20,508240.Prpf38b,black,islet,,NO,Prpf38b,,1,SIGNED
21,514904.Vti1a,black,islet,,NO,Vti1a,,1,SIGNED
22,10002904912.Tra2a,black,islet,,NO,Tra2a,,1,SIGNED
23,10002901675.Tpd52l2,black,islet,,NO,Tpd52l2,,1,SIGNED
24,1009049.Agfg1,black,islet,,NO,Agfg1,,1,SIGNED
25,502257.Fpgt,black,islet,,NO,Fpgt,,1,SIGNED
26,504054.Zfp119a,black,islet,,NO,Zfp119a,,1,SIGNED
27,10004037756.Golph3l,black,islet,,NO,Golph3l,,1,SIGNED
28,505899.Zkscan3,black,islet,,NO,Zkscan3,,1,SIGNED
29,511270.Gm37338,black,islet,,NO,Gm37338,,1,SIGNED
30,507306.Fam161a,black,islet,,NO,Fam161a,,1,SIGNED
31,10002909180.Washc4,black,islet,,NO,Washc4,,1,SIGNED
32,10002913448.Mmaa,black,islet,,NO,Mmaa,,1,SIGNED
33,10002678659.Rad51c,black,islet,,NO,Rad51c,,1,SIGNED
34,499610.Eif4ebp1,black,islet,,NO,Eif4ebp1,,1,SIGNED
35,498335.Slc1a4,black,islet,,NO,Slc1a4,,1,SIGNED
36,10004034240.Kif1b,black,islet,,NO,Kif1b,,1,SIGNED
37,10002904400.Rbm12b1,black,islet,,NO,Rbm12b1,,1,SIGNED
38,499873.Nars,black,islet,,NO,Nars,,1,SIGNED
39,10002918207.Vpreb1,black,islet,,NO,Vpreb1,,1,SIGNED
40,10004038198.Zfp758,black,islet,,NO,Zfp758,,1,SIGNED
