"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0017196","N-terminal peptidyl-methionine acetylation",0,0,8.32000614388701,6,0.666666666666667,0.516397779494322,4,"Naa16, Naa30, Naa35, Naa25","black","islet"
"GO:0031414","N-terminal protein acetyltransferase complex",0,0,8.97311642999307,8,0.625,0.517549169506766,5,"Naa16, Naa30, Naa50, Naa35, Naa25","black","islet"
"GO:0006390","mitochondrial transcription",3.77475828372553e-14,3.18407851525367e-11,7.56854278333828,20,0.35,0.489360484929593,7,"Tfb2m, Foxo3, Thap11, Mettl4, Mterf1b, Tfb1m, Mterf1a","black","islet"
"GO:0031248","protein acetyltransferase complex",1.04360964314765e-12,6.51183825279114e-10,7.12462077819108,83,0.180722891566265,0.387127580699023,15,"Dr1, Msl3, Taf6, Tada1, Ing4, Taf12, Naa16, Kat8, Meaf6, Naa30, Naa50, Naa35, Naa25, Phf20l1, Taf2","black","islet"
"GO:1902493","acetyltransferase complex",9.27657950455796e-12,5.28185245540769e-09,6.81730280501616,88,0.170454545454545,0.378186565559786,15,"Dr1, Msl3, Taf6, Tada1, Ing4, Taf12, Naa16, Kat8, Meaf6, Naa30, Naa50, Naa35, Naa25, Phf20l1, Taf2","black","islet"
"GO:0060590","ATPase regulator activity",1.04618536056478e-11,5.88317816959576e-09,6.80000219488433,37,0.243243243243243,0.43495883620084,9,"Dnaja1, Hsph1, Atp6ap1, Dnajb2, Dnajb4, Bag4, Dnajb1, Fnip1, Ahsa1","black","islet"
"GO:0006474","N-terminal protein amino acid acetylation",1.26278987266915e-11,6.61150329885972e-09,6.77284032522662,13,0.384615384615385,0.506369683541833,5,"Naa16, Naa30, Naa50, Naa35, Naa25","black","islet"
"GO:0018206","peptidyl-methionine modification",4.08006961549745e-11,2.04227660424076e-08,6.60114063674865,9,0.444444444444444,0.52704627669473,4,"Naa16, Naa30, Naa35, Naa25","black","islet"
"GO:0004812","aminoacyl-tRNA ligase activity",6.62467858347782e-11,3.17635904713068e-08,6.52891732693192,32,0.25,0.43994134506406,8,"Sars, Cars, Nars, Iars, Yars, Mars1, Aars, Nars2","black","islet"
"GO:0006418","tRNA aminoacylation for protein translation",6.62467858347782e-11,3.17635904713068e-08,6.52891732693192,32,0.25,0.43994134506406,8,"Sars, Cars, Nars, Iars, Yars, Mars1, Aars, Nars2","black","islet"
