"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0098821","BMP receptor activity",9.23985998824151e-10,4.04688098523462e-07,6.12201625291343,6,0.5,0.547722557505166,3,"Acvr2a, Bmpr1a, Bmpr2","black","islet"
"GO:0001939","female pronucleus",2.20342915024929e-08,7.01861523033953e-06,5.5952194250126,7,0.428571428571429,0.534522483824849,3,"Cbx1, Rif1, Dppa3","black","islet"
"GO:0090045","positive regulation of deacetylase activity",2.20342915024929e-08,7.01861523033953e-06,5.5952194250126,7,0.428571428571429,0.534522483824849,3,"Fnta, Vegfa, Mapk8","black","islet"
"GO:0005024","transforming growth factor beta receptor activity",1.53720221951481e-06,6.34810164087938e-05,4.80633762333378,9,0.333333333333333,0.5,3,"Acvr1, Bmpr1a, Bmpr2","black","islet"
"GO:1900119","positive regulation of execution phase of apoptosis",1.53720221951481e-06,6.34810164087938e-05,4.80633762333378,9,0.333333333333333,0.5,3,"Trp53, Trp53bp2, Rbm10","black","islet"
"GO:1903265","positive regulation of tumor necrosis factor-mediated signaling pathway",1.53720221951481e-06,6.34810164087938e-05,4.80633762333378,9,0.333333333333333,0.5,3,"Hspa1b, Traf2, Cpne1","black","islet"
"GO:2000197","regulation of ribonucleoprotein complex localization",1.53720221951481e-06,6.34810164087938e-05,4.80633762333378,9,0.333333333333333,0.5,3,"Riok2, Iws1, Rbm10","black","islet"
"GO:0043995","histone H4K5 acetyltransferase activity",6.83107992238696e-06,0.000272227200756541,4.49888498858749,10,0.3,0.483045891539648,3,"Ing4, Kat8, Meaf6","black","islet"
"GO:0043996","histone H4K8 acetyltransferase activity",6.83107992238696e-06,0.000272227200756541,4.49888498858749,10,0.3,0.483045891539648,3,"Ing4, Kat8, Meaf6","black","islet"
"GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia",6.83107992238696e-06,0.000272227200756541,4.49888498858749,10,0.3,0.483045891539648,3,"Nfe2l2, Trp53, Vegfa","black","islet"
"GO:0071166","ribonucleoprotein complex localization",6.83107992238696e-06,0.000272227200756541,4.49888498858749,10,0.3,0.483045891539648,3,"Riok2, Iws1, Rbm10","black","islet"
"GO:0007183","SMAD protein complex assembly",2.32098940904368e-05,0.000873727831255701,4.23153783599217,11,0.272727272727273,0.467099366496914,3,"Smad2, Ppm1a, Ldlrad4","black","islet"
"GO:0010216","negative regulation of gene expression via chromosomal DNA cytosine methylation",2.32098940904368e-05,0.000873727831255701,4.23153783599217,11,0.272727272727273,0.467099366496914,3,"Dnmt3a, Dppa3, Uhrf2","black","islet"
"GO:0060052","neurofilament cytoskeleton organization",2.32098940904368e-05,0.000873727831255701,4.23153783599217,11,0.272727272727273,0.467099366496914,3,"Sod1, Cln8, Ndel1","black","islet"
"GO:0090084","negative regulation of inclusion body assembly",2.32098940904368e-05,0.000873727831255701,4.23153783599217,11,0.272727272727273,0.467099366496914,3,"Hspa1b, Dnajb2, Dnajb1","black","islet"
"GO:0090385","phagosome-lysosome fusion",2.32098940904368e-05,0.000873727831255701,4.23153783599217,11,0.272727272727273,0.467099366496914,3,"Pikfyve, Tmem175, Rab39","black","islet"
