,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
0,10002896939.Il21r,antiquewhite4,islet,,NO,Il21r,,1,UNSIGNED
1,10002914616.Emx1,antiquewhite4,islet,,NO,Emx1,,1,UNSIGNED
2,10002909160.Tmem150b,antiquewhite4,islet,,NO,Tmem150b,,1,UNSIGNED
3,10004037993.Slc9b1,antiquewhite4,islet,,NO,Slc9b1,,1,UNSIGNED
4,10004035244.Adam33,antiquewhite4,islet,,NO,Adam33,,1,UNSIGNED
5,10002910862.Dpep3,antiquewhite4,islet,,NO,Dpep3,,1,UNSIGNED
6,10002914902.Rtkn,antiquewhite4,islet,,NO,Rtkn,,1,UNSIGNED
7,500883.Mrpl17,antiquewhite4,islet,,NO,Mrpl17,,1,UNSIGNED
8,10002940303.Gm24440,antiquewhite4,islet,,NO,Gm24440,,1,UNSIGNED
9,10004033663.Kifc5c-ps,antiquewhite4,islet,,NO,Kifc5c-ps,,1,UNSIGNED
10,10002940268.Gm35028,antiquewhite4,islet,,NO,Gm35028,,1,UNSIGNED
11,10004034736.1700030N03Rik,antiquewhite4,islet,,NO,1700030N03Rik,,1,UNSIGNED
12,10003840492.Scara3,antiquewhite4,islet,,NO,Scara3,,1,UNSIGNED
13,10003837646.AU022754,bisque4,islet,,NO,AU022754,,1,UNSIGNED
14,10002907316.Gm13377,bisque4,islet,,NO,Gm13377,,1,UNSIGNED
15,10002912145.Sprr2g,bisque4,islet,,NO,Sprr2g,,1,UNSIGNED
16,509676.BC051019,bisque4,islet,,NO,BC051019,,1,UNSIGNED
17,10003837628.A930027H12Rik,bisque4,islet,,NO,A930027H12Rik,,1,UNSIGNED
18,10003118033.Gm22214,bisque4,islet,,NO,Gm22214,,1,UNSIGNED
19,10002907971.Dzip1l,bisque4,islet,,NO,Dzip1l,,1,UNSIGNED
20,10002923960.Gm47721,bisque4,islet,,NO,Gm47721,,1,UNSIGNED
21,10002932115.Gm24501,bisque4,islet,,NO,Gm24501,,1,UNSIGNED
22,10002899757.Ly6g6c,bisque4,islet,,NO,Ly6g6c,,1,UNSIGNED
23,10003839530.Arhgef38,bisque4,islet,,NO,Arhgef38,,1,UNSIGNED
24,10002925534.Gm11568,bisque4,islet,,NO,Gm11568,,1,UNSIGNED
25,10002920082.9530053A07Rik,bisque4,islet,,NO,9530053A07Rik,,1,UNSIGNED
26,10002913165.Nckap5l,bisque4,islet,,NO,Nckap5l,,1,UNSIGNED
27,10002939422.Gm43680,bisque4,islet,,NO,Gm43680,,1,UNSIGNED
28,508097.Galnt2l,bisque4,islet,,NO,Galnt2l,,1,UNSIGNED
29,10004033214.Ttr,bisque4,islet,,NO,Ttr,,1,UNSIGNED
30,10004036057.Map4,bisque4,islet,,NO,Map4,,1,UNSIGNED
31,10003840281.Tenm3,black,islet,,NO,Tenm3,,1,UNSIGNED
32,511936.Krt75,black,islet,,NO,Krt75,,1,UNSIGNED
33,10002912241.Lmod3,black,islet,,NO,Lmod3,,1,UNSIGNED
34,504864.Mgat4b,black,islet,,NO,Mgat4b,,1,UNSIGNED
35,507136.Vgll4,black,islet,,NO,Vgll4,,1,UNSIGNED
36,10003840434.Lhfpl2,black,islet,,NO,Lhfpl2,,1,UNSIGNED
37,10002928511.Gm28180,black,islet,,NO,Gm28180,,1,UNSIGNED
38,10003838985.Zmiz1os1,black,islet,,NO,Zmiz1os1,,1,UNSIGNED
39,10003845401.Mapkbp1,black,islet,,NO,Mapkbp1,,1,UNSIGNED
40,509078.2010001M07Rik,black,islet,,NO,2010001M07Rik,,1,UNSIGNED
41,10004037627.Olfr1496,black,islet,,NO,Olfr1496,,1,UNSIGNED
42,10002940212.Muc19,black,islet,,NO,Muc19,,1,UNSIGNED
43,10002921049.Gm14258,black,islet,,NO,Gm14258,,1,UNSIGNED
44,10003843648.I830077J02Rik,black,islet,,NO,I830077J02Rik,,1,UNSIGNED
45,10002932004.Gm5285,black,islet,,NO,Gm5285,,1,UNSIGNED
46,10002906638.Tlr9,black,islet,,NO,Tlr9,,1,UNSIGNED
47,10002911975.Gsg1l,black,islet,,NO,Gsg1l,,1,UNSIGNED
48,10002934593.Tshz2,black,islet,,NO,Tshz2,,1,UNSIGNED
49,10002932136.Gm31517,black,islet,,NO,Gm31517,,1,UNSIGNED
50,10003841626.Frrs1,black,islet,,NO,Frrs1,,1,UNSIGNED
51,10004038000.Lyrm7,black,islet,,NO,Lyrm7,,1,UNSIGNED
52,503701.Tnks1bp1,black,islet,,NO,Tnks1bp1,,1,UNSIGNED
53,506537.Gnb5,black,islet,,NO,Gnb5,,1,UNSIGNED
54,10002902829.Zbtb16,black,islet,,NO,Zbtb16,,1,UNSIGNED
55,10003114555.Zfp955b,black,islet,,NO,Zfp955b,,1,UNSIGNED
56,506953.Ifnab,black,islet,,NO,Ifnab,,1,UNSIGNED
57,10002948096.Fam178b,black,islet,,NO,Fam178b,,1,UNSIGNED
58,10003838075.Gm27500,black,islet,,NO,Gm27500,,1,UNSIGNED
59,10003840661.Gm5740,black,islet,,NO,Gm5740,,1,UNSIGNED
60,513792.Trpv4,black,islet,,NO,Trpv4,,1,UNSIGNED
61,10002903346.Trh,black,islet,,NO,Trh,,1,UNSIGNED
62,10002934013.Olfr118,black,islet,,NO,Olfr118,,1,UNSIGNED
63,10002935132.Gm47241,black,islet,,NO,Gm47241,,1,UNSIGNED
64,10003839282.Gm37267,black,islet,,NO,Gm37267,,1,UNSIGNED
65,10003840258.Ankrd13c,black,islet,,NO,Ankrd13c,,1,UNSIGNED
66,10004033358.4930524B17Rik,black,islet,,NO,4930524B17Rik,,1,UNSIGNED
67,10003837162.Gm7108,black,islet,,NO,Gm7108,,1,UNSIGNED
68,10002898310.Hhipl2,black,islet,,NO,Hhipl2,,1,UNSIGNED
69,10003839891.Fzd10os,black,islet,,NO,Fzd10os,,1,UNSIGNED
70,10002909643.Hspa1l,black,islet,,NO,Hspa1l,,1,UNSIGNED
71,10002915729.Lrit1,black,islet,,NO,Lrit1,,1,UNSIGNED
72,10002933121.Gm18433,black,islet,,NO,Gm18433,,1,UNSIGNED
73,10003845167.Sdf4,black,islet,,NO,Sdf4,,1,UNSIGNED
74,516767.Apba1,black,islet,,NO,Apba1,,1,UNSIGNED
75,10002904897.Grm2,black,islet,,NO,Grm2,,1,UNSIGNED
76,10002916829.Gm5743,black,islet,,NO,Gm5743,,1,UNSIGNED
77,501286.Chrna9,black,islet,,NO,Chrna9,,1,UNSIGNED
78,10003843008.Gm16168,black,islet,,NO,Gm16168,,1,UNSIGNED
79,10002909591.Sgk1,black,islet,,NO,Sgk1,,1,UNSIGNED
80,10002929773.Gm34066,black,islet,,NO,Gm34066,,1,UNSIGNED
81,10002906029.Hdhd5,black,islet,,NO,Hdhd5,,1,UNSIGNED
82,10003843002.Tiam2,black,islet,,NO,Tiam2,,1,UNSIGNED
83,516235.4930578M07Rik,black,islet,,NO,4930578M07Rik,,1,UNSIGNED
84,10002914445.Bicral,black,islet,,NO,Bicral,,1,UNSIGNED
85,10002924280.C230072F16Rik,black,islet,,NO,C230072F16Rik,,1,UNSIGNED
86,10003838354.Rnf224,black,islet,,NO,Rnf224,,1,UNSIGNED
87,10003845974.Gm1527,black,islet,,NO,Gm1527,,1,UNSIGNED
88,10002904387.Gm9071,black,islet,,NO,Gm9071,,1,UNSIGNED
89,10003839986.Dbhos,black,islet,,NO,Dbhos,,1,UNSIGNED
90,10003115794.Fscn1,black,islet,,NO,Fscn1,,1,UNSIGNED
91,10002907636.Stpg3,black,islet,,NO,Stpg3,,1,UNSIGNED
92,10002937654.Plcb1,black,islet,,NO,Plcb1,,1,UNSIGNED
93,10003837927.4930567H12Rik,black,islet,,NO,4930567H12Rik,,1,UNSIGNED
94,514600.Klra17,black,islet,,NO,Klra17,,1,UNSIGNED
95,10003840152.Zim2,black,islet,,NO,Zim2,,1,UNSIGNED
96,10002942312.Gm25264,black,islet,,NO,Gm25264,,1,UNSIGNED
97,504509.4930556N09Rik,black,islet,,NO,4930556N09Rik,,1,UNSIGNED
98,10002910898.Lrrc45,black,islet,,NO,Lrrc45,,1,UNSIGNED
99,10002946598.A530021J07Rik,black,islet,,NO,A530021J07Rik,,1,UNSIGNED
100,10002910174.Scgb3a1,black,islet,,NO,Scgb3a1,,1,UNSIGNED
101,10002904528.Vmn1r84,black,islet,,NO,Vmn1r84,,1,UNSIGNED
102,500032.Cd4,black,islet,,NO,Cd4,,1,UNSIGNED
103,517509.Ddr2,black,islet,,NO,Ddr2,,1,UNSIGNED
104,10002924701.Lrba,black,islet,,NO,Lrba,,1,UNSIGNED
105,508604.Defb2,black,islet,,NO,Defb2,,1,UNSIGNED
