"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue","fraction_overlap"
"GO:0071482","cellular response to light stimulus",1.08465676440517e-06,0.000144462326370337,4.87562283474246,87,0.0574712643678161,0.234090115776375,5,"Gnb5, Mmp2, Triap1, Mfap4, Cers1","black","islet",0.0574712643678161
"GO:0015800","acidic amino acid transport",3.17805168470464e-06,0.000422041557546054,4.65896374196204,63,0.0634920634920635,0.245804529802605,4,"Trh, Slc25a13, Grm2, Apba1","black","islet",0.0634920634920635
"GO:0034644","cellular response to UV",1.41314335246889e-05,0.00170739203461427,4.34180903473099,70,0.0571428571428571,0.233791328096591,4,"Mmp2, Triap1, Mfap4, Cers1","black","islet",0.0571428571428571
"GO:0000375","RNA splicing, via transesterification reactions",0,0,8.71370593432705,215,0.153488372093023,0.361298823437651,33,"Rbm6, Rbmx, Snrnp70, Son, Tia1, Srrm1, Snrpa, Prpf40b, Prpf40a, Ptbp2, Srsf4, Isy1, Cwc15, Luc7l, Paxbp1, Luc7l3, Lmntd2, Malat1, Khdc4, Ddx23, Srrm2, Rbfox2, Tra2a, Sf3b3, Mbnl2, Celf4, Rbm39, Luc7l2, Esrp1, Thrap3, Sfswap, Rbm47, Prpf39","blue","islet",0.153488372093023
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0,0,8.71370593432705,215,0.153488372093023,0.361298823437651,33,"Rbm6, Rbmx, Snrnp70, Son, Tia1, Srrm1, Snrpa, Prpf40b, Prpf40a, Ptbp2, Srsf4, Isy1, Cwc15, Luc7l, Paxbp1, Luc7l3, Lmntd2, Malat1, Khdc4, Ddx23, Srrm2, Rbfox2, Tra2a, Sf3b3, Mbnl2, Celf4, Rbm39, Luc7l2, Esrp1, Thrap3, Sfswap, Rbm47, Prpf39","blue","islet",0.153488372093023
"GO:0000398","mRNA splicing, via spliceosome",0,0,8.71370593432705,215,0.153488372093023,0.361298823437651,33,"Rbm6, Rbmx, Snrnp70, Son, Tia1, Srrm1, Snrpa, Prpf40b, Prpf40a, Ptbp2, Srsf4, Isy1, Cwc15, Luc7l, Paxbp1, Luc7l3, Lmntd2, Malat1, Khdc4, Ddx23, Srrm2, Rbfox2, Tra2a, Sf3b3, Mbnl2, Celf4, Rbm39, Luc7l2, Esrp1, Thrap3, Sfswap, Rbm47, Prpf39","blue","islet",0.153488372093023
"GO:0003729","mRNA binding",0,0,8.89319138540961,274,0.142335766423358,0.350033515451764,39,"Ddx6, Mbd2, Mecp2, Rara, Rbmx, Rbpms, Snrnp70, Alyref, Tia1, Tial1, Nxf1, Ptbp2, Syncrip, Srsf4, Srrm3, Luc7l, Luc7l3, Upf3b, Hnrnpll, Larp1, Hnrnpr, Srrm2, Lin28a, Rbfox2, Celf4, Cstf2, Luc7l2, Esrp1, Eif4g1, Ythdf2, Dhx33, Unk, Marf1, Tardbp, Cpeb2, Fus, Rbm47, Cpsf7, Thoc2l","blue","islet",0.142335766423358
"GO:0005685","U1 snRNP",0,0,9.88521126606833,15,0.533333333333333,0.516397779494322,8,"Snrnp70, Snrpa, Prpf40b, Prpf40a, Luc7l, Luc7l3, Luc7l2, Prpf39","blue","islet",0.533333333333333
"GO:0006376","mRNA splice site selection",0,0,9.80227604448821,23,0.434782608695652,0.506869801869702,10,"Rbmx, Ptbp2, Isy1, Luc7l, Luc7l3, Khdc4, Celf4, Luc7l2, Sfswap, Prpf39","blue","islet",0.434782608695652
"GO:0006397","mRNA processing",0,0,9.66375291858661,369,0.13550135501355,0.342723000432321,50,"App, Papola, Rbm6, Rbmx, Snrnp70, Son, Supt6, Alyref, Tia1, Srrm1, Snrpa, Prpf40b, Prpf40a, Ptbp2, Syncrip, Srsf4, Isy1, Cwc15, Sltm, Luc7l, Paxbp1, Luc7l3, Lmntd2, Malat1, Hnrnpll, Khdc4, Rbm26, Ddx23, Srrm2, Rbfox2, Tra2a, Sf3b3, Pan2, Mbnl2, Celf4, Cstf2, Rbm39, Luc7l2, Esrp1, Nrde2, Scaf4, Safb2, Safb, Thoc1, Thrap3, Tardbp, Sfswap, Rbm47, Cpsf7, Prpf39","blue","islet",0.13550135501355
