"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0005826","actomyosin contractile ring",0,0,17.1455133137341,6,0.166666666666667,0.408248290463863,1,"Rtkn","antiquewhite4","islet"
"GO:0016805","dipeptidase activity",0,0,10.7913250469972,15,0.0666666666666667,0.258198889747161,1,"Dpep3","antiquewhite4","islet"
"GO:0021796","cerebral cortex regionalization",0,0,14.8324932230275,8,0.125,0.353553390593274,1,"Emx1","antiquewhite4","islet"
"GO:0021895","cerebral cortex neuron differentiation",0,0,8.48980589795061,24,0.0416666666666667,0.204124145231932,1,"Emx1","antiquewhite4","islet"
"GO:0021978","telencephalon regionalization",0,0,10.7913250469972,15,0.0666666666666667,0.258198889747161,1,"Emx1","antiquewhite4","islet"
"GO:0060019","radial glial cell differentiation",0,0,10.4430113088781,16,0.0625,0.25,1,"Emx1","antiquewhite4","islet"
"GO:0070444","oligodendrocyte progenitor proliferation",0,0,12.6287778262594,11,0.0909090909090909,0.301511344577764,1,"Emx1","antiquewhite4","islet"
"GO:0070445","regulation of oligodendrocyte progenitor proliferation",0,0,12.6287778262594,11,0.0909090909090909,0.301511344577764,1,"Emx1","antiquewhite4","islet"
"GO:0070573","metallodipeptidase activity",0,0,14.8324932230275,8,0.125,0.353553390593274,1,"Dpep3","antiquewhite4","islet"
"GO:0070938","contractile ring",0,0,12.6287778262594,11,0.0909090909090909,0.301511344577764,1,"Rtkn","antiquewhite4","islet"
"GO:0021871","forebrain regionalization",4.44089209850063e-16,6.74275450289012e-13,8.1478816330991,26,0.0384615384615385,0.196116135138184,1,"Emx1","antiquewhite4","islet"
"GO:0000002","mitochondrial genome maintenance",3.77475828372553e-14,5.54645934915155e-11,7.56876579061677,30,0.0333333333333333,0.182574185835055,1,"Mrpl17","antiquewhite4","islet"
"GO:0032506","cytokinetic process",9.9475983006414e-14,1.37307000786126e-10,7.4416299404185,31,0.032258064516129,0.179605302026775,1,"Rtkn","antiquewhite4","islet"
"GO:0097228","sperm principal piece",9.9475983006414e-14,1.37307000786126e-10,7.4416299404185,31,0.032258064516129,0.179605302026775,1,"Slc9b1","antiquewhite4","islet"
"GO:0030866","cortical actin cytoskeleton organization",1.30184751867546e-12,1.74409277869609e-09,7.09411577115223,34,0.0294117647058824,0.171498585142509,1,"Rtkn","antiquewhite4","islet"
"GO:0048854","brain morphogenesis",1.2307865837613e-10,1.5572869136202e-07,6.43548622826166,41,0.024390243902439,0.156173761888606,1,"Emx1","antiquewhite4","islet"
"GO:0060563","neuroepithelial cell differentiation",1.2307865837613e-10,1.5572869136202e-07,6.43548622826166,41,0.024390243902439,0.156173761888606,1,"Emx1","antiquewhite4","islet"
"GO:0030865","cortical cytoskeleton organization",2.08530970269294e-10,2.56718532318009e-07,6.35492307286339,42,0.0238095238095238,0.154303349962092,1,"Rtkn","antiquewhite4","islet"
"GO:0008237","metallopeptidase activity",2.87802448539765e-10,3.44984250815428e-07,6.30521048403976,164,0.0121951219512195,0.110092257911864,2,"Dpep3, Adam33","antiquewhite4","islet"
"GO:0000315","organellar large ribosomal subunit",3.12483194875313e-09,3.55840238164262e-06,5.92490225325655,48,0.0208333333333333,0.144337567297406,1,"Mrpl17","antiquewhite4","islet"
"GO:0005762","mitochondrial large ribosomal subunit",3.12483194875313e-09,3.55840238164262e-06,5.92490225325655,48,0.0208333333333333,0.144337567297406,1,"Mrpl17","antiquewhite4","islet"
"GO:0008235","metalloexopeptidase activity",9.55201651109405e-09,1.0612057367813e-05,5.73849751467896,51,0.0196078431372549,0.140028008402801,1,"Dpep3","antiquewhite4","islet"
"GO:0032153","cell division site",2.58299457378541e-08,2.80131911514109e-05,5.56758137827413,54,0.0185185185185185,0.136082763487954,1,"Rtkn","antiquewhite4","islet"
"GO:0000281","mitotic cytokinesis",8.5215156109264e-07,0.00090268613041325,4.92302822523132,68,0.0147058823529412,0.121267812518166,1,"Rtkn","antiquewhite4","islet"
"GO:0005581","collagen trimer",1.03692683284251e-06,0.0010496003830217,4.8844980226162,69,0.0144927536231884,0.120385853085769,1,"Scara3","antiquewhite4","islet"
"GO:0030864","cortical actin cytoskeleton",1.03692683284251e-06,0.0010496003830217,4.8844980226162,69,0.0144927536231884,0.120385853085769,1,"Rtkn","antiquewhite4","islet"
"GO:0004896","cytokine receptor activity",1.51054202124357e-06,0.00146394019292861,4.80983597039388,71,0.0140845070422535,0.118678165819385,1,"Il21r","antiquewhite4","islet"
"GO:0051453","regulation of intracellular pH",1.51054202124357e-06,0.00146394019292861,4.80983597039388,71,0.0140845070422535,0.118678165819385,1,"Slc9b1","antiquewhite4","islet"
