,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
0,10002904088.Frs3os,bisque4,kidney,,NO,Frs3os,,1,SIGNED
1,511366.Gm27306,bisque4,kidney,,NO,Gm27306,,1,SIGNED
2,503666.Ptms,bisque4,kidney,,NO,Ptms,,1,SIGNED
3,10002906664.Notum,bisque4,kidney,,NO,Notum,,1,SIGNED
4,10002899484.Pcdhgc4,bisque4,kidney,,NO,Pcdhgc4,,1,SIGNED
5,10002908619.Camk1,bisque4,kidney,,NO,Camk1,,1,SIGNED
6,10002927038.Gm43922,bisque4,kidney,,NO,Gm43922,,1,SIGNED
7,10004035453.Dusp18,bisque4,kidney,,NO,Dusp18,,1,SIGNED
8,10004037964.Gpm6a,bisque4,kidney,,NO,Gpm6a,,1,SIGNED
9,10002934676.Abcc8,bisque4,kidney,,NO,Abcc8,,1,SIGNED
10,10002916503.Thra,bisque4,kidney,,NO,Thra,,1,SIGNED
11,10002900710.Gm7788,bisque4,kidney,,NO,Gm7788,,1,SIGNED
12,506544.Rhag,bisque4,kidney,,NO,Rhag,,1,SIGNED
13,10002908186.Atpaf2,bisque4,kidney,,NO,Atpaf2,,1,SIGNED
14,10002915962.Gm5430,bisque4,kidney,,NO,Gm5430,,1,SIGNED
15,504577.Tspan15,bisque4,kidney,,NO,Tspan15,,1,SIGNED
16,10004033082.Arl3,bisque4,kidney,,NO,Arl3,,1,SIGNED
17,10003844248.Ppp2r5c,bisque4,kidney,,NO,Ppp2r5c,,1,SIGNED
18,497797.Hif1an,black,kidney,,NO,Hif1an,,1,SIGNED
19,10002901101.Pcid2,black,kidney,,NO,Pcid2,,1,SIGNED
20,504017.Foxj2,black,kidney,,NO,Foxj2,,1,SIGNED
21,505777.Mta2,black,kidney,,NO,Mta2,,1,SIGNED
22,10002906457.Fam193b,black,kidney,,NO,Fam193b,,1,SIGNED
23,1476484.Nfe2l1,black,kidney,,NO,Nfe2l1,,1,SIGNED
24,10004036658.Upf1,black,kidney,,NO,Upf1,,1,SIGNED
25,10002908474.Ube3b,black,kidney,,NO,Ube3b,,1,SIGNED
26,10002915175.Usp48,black,kidney,,NO,Usp48,,1,SIGNED
27,514303.Gtpbp2,black,kidney,,NO,Gtpbp2,,1,SIGNED
28,513868.Dctn1,black,kidney,,NO,Dctn1,,1,SIGNED
29,10002678080.Anks1,black,kidney,,NO,Anks1,,1,SIGNED
30,10004035833.Pak4,black,kidney,,NO,Pak4,,1,SIGNED
31,10002904233.Arhgef18,black,kidney,,NO,Arhgef18,,1,SIGNED
32,508702.Dicer1,black,kidney,,NO,Dicer1,,1,SIGNED
33,518079.Cyth1,black,kidney,,NO,Cyth1,,1,SIGNED
34,10004035494.Morc2a,black,kidney,,NO,Morc2a,,1,SIGNED
35,10002899812.Osbp,black,kidney,,NO,Osbp,,1,SIGNED
36,10004038196.Smarcc2,black,kidney,,NO,Smarcc2,,1,SIGNED
37,508373.Ip6k1,black,kidney,,NO,Ip6k1,,1,SIGNED
38,517685.Ube2h,black,kidney,,NO,Ube2h,,1,SIGNED
39,10002906984.Snapc4,black,kidney,,NO,Snapc4,,1,SIGNED
40,10004036969.Scmh1,black,kidney,,NO,Scmh1,,1,SIGNED
41,499026.Smpd4,black,kidney,,NO,Smpd4,,1,SIGNED
42,10003117145.Cgnl1,black,kidney,,NO,Cgnl1,,1,SIGNED
43,10002918621.Cdc42bpb,black,kidney,,NO,Cdc42bpb,,1,SIGNED
44,10002908296.Hdac4,black,kidney,,NO,Hdac4,,1,SIGNED
45,10002913647.Rnf10,black,kidney,,NO,Rnf10,,1,SIGNED
46,503129.Kctd20,black,kidney,,NO,Kctd20,,1,SIGNED
47,509641.Cdk11b,black,kidney,,NO,Cdk11b,,1,SIGNED
48,504769.Srrt,black,kidney,,NO,Srrt,,1,SIGNED
49,10002907556.Prrc2b,black,kidney,,NO,Prrc2b,,1,SIGNED
50,10004037433.Vps33a,black,kidney,,NO,Vps33a,,1,SIGNED
51,509124.Rbck1,black,kidney,,NO,Rbck1,,1,SIGNED
52,514329.Flot2,black,kidney,,NO,Flot2,,1,SIGNED
53,10004037746.Drosha,black,kidney,,NO,Drosha,,1,SIGNED
54,505854.Eif4enif1,black,kidney,,NO,Eif4enif1,,1,SIGNED
55,505140.Ralbp1,black,kidney,,NO,Ralbp1,,1,SIGNED
56,507482.Med23,black,kidney,,NO,Med23,,1,SIGNED
57,10002898689.Arhgef11,black,kidney,,NO,Arhgef11,,1,SIGNED
58,10004038388.Cep164,black,kidney,,NO,Cep164,,1,SIGNED
59,1364998.Hnrnpl,black,kidney,,NO,Hnrnpl,,1,SIGNED
60,10004035996.Usp21,black,kidney,,NO,Usp21,,1,SIGNED
61,514724.Zcchc14,black,kidney,,NO,Zcchc14,,1,SIGNED
62,507475.Arhgef5,black,kidney,,NO,Arhgef5,,1,SIGNED
63,498146.Tfip11,black,kidney,,NO,Tfip11,,1,SIGNED
64,10004033268.Slc35e1,black,kidney,,NO,Slc35e1,,1,SIGNED
65,10002903616.Kmt2c,black,kidney,,NO,Kmt2c,,1,SIGNED
66,518027.Tollip,black,kidney,,NO,Tollip,,1,SIGNED
67,507202.Mecp2,black,kidney,,NO,Mecp2,,1,SIGNED
68,10004035324.Ppm1f,black,kidney,,NO,Ppm1f,,1,SIGNED
69,505302.Clk2,black,kidney,,NO,Clk2,,1,SIGNED
70,504424.Wdr60,black,kidney,,NO,Wdr60,,1,SIGNED
71,10003839989.Prr14,black,kidney,,NO,Prr14,,1,SIGNED
72,1476705.Ylpm1,black,kidney,,NO,Ylpm1,,1,SIGNED
73,10002946981.Isg20l2,black,kidney,,NO,Isg20l2,,1,SIGNED
74,504920.Lrp6,black,kidney,,NO,Lrp6,,1,SIGNED
75,10002678153.Stk38,black,kidney,,NO,Stk38,,1,SIGNED
76,10002902863.Ep300,black,kidney,,NO,Ep300,,1,SIGNED
77,10002899632.Edc4,black,kidney,,NO,Edc4,,1,SIGNED
78,10002912045.Vasp,black,kidney,,NO,Vasp,,1,SIGNED
79,10002902535.Nat10,black,kidney,,NO,Nat10,,1,SIGNED
80,501061.Ago4,black,kidney,,NO,Ago4,,1,SIGNED
81,515542.Ripor1,black,kidney,,NO,Ripor1,,1,SIGNED
82,510212.Mknk2,black,kidney,,NO,Mknk2,,1,SIGNED
83,10004037867.Cnnm2,black,kidney,,NO,Cnnm2,,1,SIGNED
84,10003840088.Gm30674,black,kidney,,NO,Gm30674,,1,SIGNED
85,501952.Kat2a,black,kidney,,NO,Kat2a,,1,SIGNED
86,519804.Hoxd3,black,kidney,,NO,Hoxd3,,1,SIGNED
87,10004035566.Man2b2,black,kidney,,NO,Man2b2,,1,SIGNED
88,10004035302.Dstyk,black,kidney,,NO,Dstyk,,1,SIGNED
89,10002905595.Trim62,black,kidney,,NO,Trim62,,1,SIGNED
90,10002919218.Kat7,black,kidney,,NO,Kat7,,1,SIGNED
91,515745.9430015G10Rik,black,kidney,,NO,9430015G10Rik,,1,SIGNED
92,508916.Mepce,black,kidney,,NO,Mepce,,1,SIGNED
93,1476817.Dennd5a,black,kidney,,NO,Dennd5a,,1,SIGNED
94,505659.Abca2,black,kidney,,NO,Abca2,,1,SIGNED
95,10002900904.Rnf44,black,kidney,,NO,Rnf44,,1,SIGNED
96,10002903313.Fastk,black,kidney,,NO,Fastk,,1,SIGNED
97,10004038429.Ppp1r13b,black,kidney,,NO,Ppp1r13b,,1,SIGNED
98,10002909437.Gm17572,black,kidney,,NO,Gm17572,,1,SIGNED
99,10002900734.Kmt2a,black,kidney,,NO,Kmt2a,,1,SIGNED
100,10003836915.Gm11839,black,kidney,,NO,Gm11839,,1,SIGNED
101,10002916920.Smg1,black,kidney,,NO,Smg1,,1,SIGNED
102,498668.Prpf40b,black,kidney,,NO,Prpf40b,,1,SIGNED
103,515982.Txlna,black,kidney,,NO,Txlna,,1,SIGNED
104,512415.Ubp1,black,kidney,,NO,Ubp1,,1,SIGNED
105,504603.Gprc5c,black,kidney,,NO,Gprc5c,,1,SIGNED
106,10003842117.Gm36128,black,kidney,,NO,Gm36128,,1,SIGNED
107,10004036441.Mau2,black,kidney,,NO,Mau2,,1,SIGNED
108,512759.Tnpo2,black,kidney,,NO,Tnpo2,,1,SIGNED
109,10004033224.Cramp1l,black,kidney,,NO,Cramp1l,,1,SIGNED
110,507426.Arid1a,black,kidney,,NO,Arid1a,,1,SIGNED
111,10002918932.Rnf126,black,kidney,,NO,Rnf126,,1,SIGNED
112,506113.Tctn3,black,kidney,,NO,Tctn3,,1,SIGNED
113,10004034447.Usp21,black,kidney,,NO,Usp21,,1,SIGNED
114,10002905149.Sec16a,black,kidney,,NO,Sec16a,,1,SIGNED
115,512121.Ogdh,black,kidney,,NO,Ogdh,,1,SIGNED
116,519230.Kdm1a,black,kidney,,NO,Kdm1a,,1,SIGNED
117,10002900155.Mfn2,black,kidney,,NO,Mfn2,,1,SIGNED
118,10002915754.E130309D02Rik,black,kidney,,NO,E130309D02Rik,,1,SIGNED
119,10004035053.Jak3,black,kidney,,NO,Jak3,,1,SIGNED
120,10002916817.Bcl2l2,black,kidney,,NO,Bcl2l2,,1,SIGNED
121,519051.Chka,black,kidney,,NO,Chka,,1,SIGNED
122,10004037593.Slc35e1,black,kidney,,NO,Slc35e1,,1,SIGNED
123,10004035351.Trrap,black,kidney,,NO,Trrap,,1,SIGNED
124,10004036449.G6pc3,black,kidney,,NO,G6pc3,,1,SIGNED
125,10002901389.Zswim1,black,kidney,,NO,Zswim1,,1,SIGNED
126,509350.Mapk14,black,kidney,,NO,Mapk14,,1,SIGNED
127,512703.Nup214,black,kidney,,NO,Nup214,,1,SIGNED
128,518991.Gm49430,black,kidney,,NO,Gm49430,,1,SIGNED
129,10002897858.Tspyl2,black,kidney,,NO,Tspyl2,,1,SIGNED
130,10002901244.Cnst,black,kidney,,NO,Cnst,,1,SIGNED
131,498760.Rbm6,black,kidney,,NO,Rbm6,,1,SIGNED
132,505548.Asph,black,kidney,,NO,Asph,,1,SIGNED
133,10002908420.Ddx23,black,kidney,,NO,Ddx23,,1,SIGNED
134,10003840153.Phrf1,black,kidney,,NO,Phrf1,,1,SIGNED
135,502683.Cnot4,black,kidney,,NO,Cnot4,,1,SIGNED
136,10002897159.Baiap2l2,black,kidney,,NO,Baiap2l2,,1,SIGNED
137,513137.Abcf1,black,kidney,,NO,Abcf1,,1,SIGNED
138,512684.Gm21992,black,kidney,,NO,Gm21992,,1,SIGNED
139,10004034407.Tagap,black,kidney,,NO,Tagap,,1,SIGNED
140,514817.Mxd4,black,kidney,,NO,Mxd4,,1,SIGNED
141,510376.Thop1,black,kidney,,NO,Thop1,,1,SIGNED
142,10004034565.Dock5,black,kidney,,NO,Dock5,,1,SIGNED
143,510636.Eya3,black,kidney,,NO,Eya3,,1,SIGNED
144,517186.Ankrd27,black,kidney,,NO,Ankrd27,,1,SIGNED
145,10003116643.Atl3,black,kidney,,NO,Atl3,,1,SIGNED
146,505211.Epc1,black,kidney,,NO,Epc1,,1,SIGNED
147,505450.Ddx5,black,kidney,,NO,Ddx5,,1,SIGNED
148,511619.Gm6580,black,kidney,,NO,Gm6580,,1,SIGNED
149,503495.Ltbp3,black,kidney,,NO,Ltbp3,,1,SIGNED
150,513714.Spef1,black,kidney,,NO,Spef1,,1,SIGNED
151,504079.Prcc,black,kidney,,NO,Prcc,,1,SIGNED
152,10002915888.Tmem63b,black,kidney,,NO,Tmem63b,,1,SIGNED
153,10002910635.Tbc1d17,black,kidney,,NO,Tbc1d17,,1,SIGNED
154,517952.Hdac6,black,kidney,,NO,Hdac6,,1,SIGNED
155,10002910449.Herc2,black,kidney,,NO,Herc2,,1,SIGNED
156,498653.Zfp507,black,kidney,,NO,Zfp507,,1,SIGNED
157,10003839971.Ptpn14,black,kidney,,NO,Ptpn14,,1,SIGNED
158,1010805.Kpnb1,black,kidney,,NO,Kpnb1,,1,SIGNED
159,511107.Map2k5,black,kidney,,NO,Map2k5,,1,SIGNED
160,10002930111.Cmtm4,black,kidney,,NO,Cmtm4,,1,SIGNED
161,513400.Golga3,black,kidney,,NO,Golga3,,1,SIGNED
162,518375.Gm25775,black,kidney,,NO,Gm25775,,1,SIGNED
163,10002911336.Trrap,black,kidney,,NO,Trrap,,1,SIGNED
164,507089.Helz,black,kidney,,NO,Helz,,1,SIGNED
165,499063.Atp9b,black,kidney,,NO,Atp9b,,1,SIGNED
166,504195.Atxn2,black,kidney,,NO,Atxn2,,1,SIGNED
167,10004033586.Mapk14,black,kidney,,NO,Mapk14,,1,SIGNED
168,10003839942.Trim56,black,kidney,,NO,Trim56,,1,SIGNED
169,10003839587.Dnajc18,black,kidney,,NO,Dnajc18,,1,SIGNED
170,10002916536.Frmd8,black,kidney,,NO,Frmd8,,1,SIGNED
171,10004035525.Gm49554,black,kidney,,NO,Gm49554,,1,SIGNED
172,500143.Hip1r,black,kidney,,NO,Hip1r,,1,SIGNED
173,10003842584.Mkln1,black,kidney,,NO,Mkln1,,1,SIGNED
174,503508.Sdc3,black,kidney,,NO,Sdc3,,1,SIGNED
175,10002913842.Dicer1,black,kidney,,NO,Dicer1,,1,SIGNED
176,507434.Stk11,black,kidney,,NO,Stk11,,1,SIGNED
177,10002905831.Snx18,black,kidney,,NO,Snx18,,1,SIGNED
178,10002940876.Gm42952,black,kidney,,NO,Gm42952,,1,SIGNED
179,510539.Otud7b,black,kidney,,NO,Otud7b,,1,SIGNED
180,513443.Atg2b,black,kidney,,NO,Atg2b,,1,SIGNED
181,10004037159.Rufy1,black,kidney,,NO,Rufy1,,1,SIGNED
182,513128.Plcb3,black,kidney,,NO,Plcb3,,1,SIGNED
183,10004036027.Tmem94,black,kidney,,NO,Tmem94,,1,SIGNED
184,10002905008.Taf4,black,kidney,,NO,Taf4,,1,SIGNED
185,10002913828.Fam193a,black,kidney,,NO,Fam193a,,1,SIGNED
186,10004033954.Itgb5,black,kidney,,NO,Itgb5,,1,SIGNED
187,1374293.Gpatch2,black,kidney,,NO,Gpatch2,,1,SIGNED
188,509426.Hoxb5,black,kidney,,NO,Hoxb5,,1,SIGNED
189,10004034197.Zdhhc1,black,kidney,,NO,Zdhhc1,,1,SIGNED
190,501002.Prkab2,black,kidney,,NO,Prkab2,,1,SIGNED
191,511528.Zfp777,black,kidney,,NO,Zfp777,,1,SIGNED
192,10002922078.Flywch1,black,kidney,,NO,Flywch1,,1,SIGNED
193,10002909675.D5Ertd579e,black,kidney,,NO,D5Ertd579e,,1,SIGNED
194,516287.Ercc4,black,kidney,,NO,Ercc4,,1,SIGNED
195,511719.Gne,black,kidney,,NO,Gne,,1,SIGNED
196,10002915737.Slc25a44,black,kidney,,NO,Slc25a44,,1,SIGNED
197,516146.Adcy9,black,kidney,,NO,Adcy9,,1,SIGNED
198,509306.Golga4,black,kidney,,NO,Golga4,,1,SIGNED
199,10002896382.Spint2,black,kidney,,NO,Spint2,,1,SIGNED
200,503703.Dazap1,black,kidney,,NO,Dazap1,,1,SIGNED
201,10003842816.Asb6,black,kidney,,NO,Asb6,,1,SIGNED
202,10002900120.Pick1,black,kidney,,NO,Pick1,,1,SIGNED
203,515146.Unc45a,black,kidney,,NO,Unc45a,,1,SIGNED
204,10002914771.Klf16,black,kidney,,NO,Klf16,,1,SIGNED
205,10002172577.Gm50428,black,kidney,,NO,Gm50428,,1,SIGNED
206,10002899550.Ice1,black,kidney,,NO,Ice1,,1,SIGNED
207,498929.Ctcf,black,kidney,,NO,Ctcf,,1,SIGNED
208,498757.Exoc3l2,black,kidney,,NO,Exoc3l2,,1,SIGNED
209,10002905748.Fastkd1,black,kidney,,NO,Fastkd1,,1,SIGNED
210,511249.Ezh1,black,kidney,,NO,Ezh1,,1,SIGNED
211,10004035122.Pacs1,black,kidney,,NO,Pacs1,,1,SIGNED
212,517115.Ppp2r5d,black,kidney,,NO,Ppp2r5d,,1,SIGNED
213,500560.Rc3h1,black,kidney,,NO,Rc3h1,,1,SIGNED
214,10002919556.Trim8,black,kidney,,NO,Trim8,,1,SIGNED
215,10002907480.Chfr,black,kidney,,NO,Chfr,,1,SIGNED
