"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue","fraction_overlap"
"GO:0004672","protein kinase activity",1.99840144432528e-15,3.03423952630055e-12,7.93577588181943,478,0.140167364016736,0.347524297782201,67,"Acvr1, Ccnd1, Cdk11b, Cdc7, Cdk2, Chka, Clk2, Dapk3, Eif2ak3, Epha2, Erbb2, Erbb3, Fgfr2, Irak1, Ilk, Insr, Jak3, Mknk2, Nrp1, Pak1, Pck1, Pikfyve, Prkcd, Prkci, Ros1, Srms, Stk11, Stk16, Trim24, Ulk1, Map2k5, Nek4, Mapk14, Mapk12, Mapk6, Tnk2, Ikbke, Brd4, Stk25, Fastk, Phkg2, Cdk3, Wnk4, Pak4, Map3k13, Strada, Fam20c, Stk38, Prkab2, Braf, Raf1, Fgfrl1, Scyl2, Dstyk, Cdc42bpb, Stk24, Pak2, Pik3c3, Tesk2, Smg1, Dclk3, Pkn3, Adck5, Pask, Aak1, Map4k5, Kalrn","black","kidney",0.140167364016736
"GO:0004674","protein serine/threonine kinase activity",3.85669274294287e-12,2.74488053814137e-09,6.94233895232295,362,0.140883977900552,0.34838335432514,51,"Acvr1, Cdk11b, Cdc7, Cdk2, Clk2, Dapk3, Eif2ak3, Irak1, Ilk, Mknk2, Pak1, Pikfyve, Prkcd, Prkci, Stk11, Stk16, Ulk1, Map2k5, Nek4, Mapk14, Mapk12, Mapk6, Tnk2, Ikbke, Brd4, Stk25, Fastk, Phkg2, Cdk3, Wnk4, Pak4, Map3k13, Strada, Fam20c, Stk38, Prkab2, Braf, Raf1, Dstyk, Cdc42bpb, Stk24, Pak2, Tesk2, Smg1, Dclk3, Pkn3, Adck5, Pask, Aak1, Map4k5, Kalrn","black","kidney",0.140883977900552
"GO:0031267","small GTPase binding",7.27561344504579e-10,3.56348594001974e-07,6.15997565900828,243,0.148148148148148,0.35598000377184,36,"Adcyap1r1, Dapk3, Diaph1, Gdi1, Kpnb1, Kif16b, Llgl1, Ndrg1, Pak1, Pfn1, Dennd5a, Ralbp1, Ulk1, Golga4, Ranbp17, Sike1, Dock5, Rasip1, Dnm1l, Wasf1, Rab3gap2, Dock9, Trip11, Braf, Raf1, Mfn2, Tnpo2, Rin3, Cdc42bpb, Pak2, Arhgef16, Micall2, Ankrd27, Pkn3, Sytl1, Rnf152","black","kidney",0.148148148148148
"GO:0046777","protein autophosphorylation",7.98968002868605e-10,3.79093672194427e-07,6.14513246791287,205,0.15609756097561,0.363836299976097,32,"Ctnnd1, Clk2, Dapk3, Eif2ak3, Erbb2, Fgfr2, Irak1, Insr, Mknk2, Pak1, Phka1, Pikfyve, Prkcd, Ros1, Srms, Stk11, Stk16, Ppp2r5d, Trim24, Ulk1, Mapk14, Atg13, Brd4, Stk25, Map3k13, Atp13a2, Fam20c, Stk24, Pak2, Smg1, Pask, Aak1","black","kidney",0.15609756097561
"GO:0051020","GTPase binding",4.44802039645253e-09,1.8759937875779e-06,5.86660745758326,274,0.138686131386861,0.346251126377344,38,"Adcyap1r1, Bcl2l1, Dapk3, Diaph1, Gdi1, Kpnb1, Kif16b, Llgl1, Ndrg1, Pak1, Pfn1, Dennd5a, Ralbp1, Ulk1, Rragc, Golga4, Ranbp17, Sike1, Dock5, Rasip1, Dnm1l, Wasf1, Rab3gap2, Dock9, Trip11, Braf, Raf1, Mfn2, Tnpo2, Rin3, Cdc42bpb, Pak2, Arhgef16, Micall2, Ankrd27, Pkn3, Sytl1, Rnf152","black","kidney",0.138686131386861
"GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress",1.3231690632054e-08,4.36741672673956e-06,5.68304568298445,11,0.454545454545455,0.522232967867094,5,"Cited2, Nck2, Nfe2l1, Tmbim6, Hif1an","black","kidney",0.454545454545455
"GO:0009991","response to extracellular stimulus",3.73182227342284e-08,1.18044794829452e-05,5.50309451436047,343,0.12536443148688,0.331615439251394,43,"Bmp6, Runx2, Chka, Cyp24a1, Eif2ak3, Gas6, Gcgr, Insr, Lrp6, Nprl3, Pck1, Pick1, Med1, Scnn1b, Slc2a2, Trim24, Ulk1, Mapk14, Slc27a4, Pcsk1n, Rragc, Jmy, Trpv4, Ralb, Foxk2, Wnk4, Tbc1d5, Mtmr3, Meak7, Pck2, Ripor1, Agl, Prkab2, Myocd, Flcn, Ttc5, Stk24, Dap, Pik3c3, Slc25a25, Ppan, Wdr59, Rnf152","black","kidney",0.12536443148688
"GO:0005643","nuclear pore",3.95720598511673e-08,1.24310850084184e-05,5.49275097655481,51,0.235294117647059,0.42840332837725,12,"Kpnb1, Tnks, Mcm3ap, Ranbp17, Chmp3, Nup205, Senp2, Nup155, Nup188, Nup214, Pcid2, Nup98","black","kidney",0.235294117647059
"GO:0044090","positive regulation of vacuole organization",4.18065866369943e-08,1.30430823377746e-05,5.4830453179487,16,0.375,0.5,6,"Grn, Ulk1, Ralb, Rab3gap2, Pip4k2c, Snx18","black","kidney",0.375
"GO:0031667","response to nutrient levels",6.06392951407742e-08,1.83412388680777e-05,5.41690571919366,314,0.127388535031847,0.333939878074563,40,"Runx2, Chka, Cyp24a1, Eif2ak3, Gas6, Gcgr, Insr, Lrp6, Nprl3, Pck1, Pick1, Med1, Scnn1b, Slc2a2, Trim24, Ulk1, Mapk14, Slc27a4, Pcsk1n, Rragc, Jmy, Trpv4, Ralb, Foxk2, Wnk4, Tbc1d5, Mtmr3, Meak7, Pck2, Ripor1, Agl, Prkab2, Flcn, Ttc5, Stk24, Dap, Pik3c3, Slc25a25, Wdr59, Rnf152","black","kidney",0.127388535031847
