"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0000159","protein phosphatase type 2A complex",0,0,9.41655706490147,14,0.0714285714285714,0.267261241912424,1,"Ppp2r5c","bisque4","kidney"
"GO:0001161","intronic transcription regulatory region sequence-specific DNA binding",0,0,9.41655706490147,14,0.0714285714285714,0.267261241912424,1,"Thra","bisque4","kidney"
"GO:0002154","thyroid hormone mediated signaling pathway",0,0,12.5144465034213,8,0.125,0.353553390593274,1,"Thra","bisque4","kidney"
"GO:0002155","regulation of thyroid hormone mediated signaling pathway",0,0,13.3887512965887,7,0.142857142857143,0.377964473009227,1,"Thra","bisque4","kidney"
"GO:0006977","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",0,0,11.1761162454894,10,0.1,0.316227766016838,1,"Ppp2r5c","bisque4","kidney"
"GO:0008519","ammonium transmembrane transporter activity",0,0,11.7896973620738,9,0.111111111111111,0.333333333333333,1,"Rhag","bisque4","kidney"
"GO:0010984","regulation of lipoprotein particle clearance",0,0,8.52565478670064,17,0.0588235294117647,0.242535625036333,1,"Abcc8","bisque4","kidney"
"GO:0010985","negative regulation of lipoprotein particle clearance",0,0,12.5144465034213,8,0.125,0.353553390593274,1,"Abcc8","bisque4","kidney"
"GO:0010988","regulation of low-density lipoprotein particle clearance",0,0,10.1866987281759,12,0.0833333333333333,0.288675134594813,1,"Abcc8","bisque4","kidney"
"GO:0010989","negative regulation of low-density lipoprotein particle clearance",0,0,13.3887512965887,7,0.142857142857143,0.377964473009227,1,"Abcc8","bisque4","kidney"
"GO:0015669","gas transport",0,0,9.41655706490147,14,0.0714285714285714,0.267261241912424,1,"Rhag","bisque4","kidney"
"GO:0015670","carbon dioxide transport",0,0,10.6478345024048,11,0.0909090909090909,0.301511344577764,1,"Rhag","bisque4","kidney"
"GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity",0,0,10.6478345024048,11,0.0909090909090909,0.301511344577764,1,"Dusp18","bisque4","kidney"
"GO:0019211","phosphatase activator activity",0,0,8.52565478670064,17,0.0588235294117647,0.242535625036333,1,"Ppp2r5c","bisque4","kidney"
"GO:0019870","potassium channel inhibitor activity",0,0,11.1761162454894,10,0.1,0.316227766016838,1,"Abcc8","bisque4","kidney"
"GO:0022840","leak channel activity",0,0,8.52565478670064,17,0.0588235294117647,0.242535625036333,1,"Rhag","bisque4","kidney"
"GO:0022842","narrow pore channel activity",0,0,8.52565478670064,17,0.0588235294117647,0.242535625036333,1,"Rhag","bisque4","kidney"
"GO:0031314","extrinsic component of mitochondrial inner membrane",0,0,12.5144465034213,8,0.125,0.353553390593274,1,"Dusp18","bisque4","kidney"
"GO:0033549","MAP kinase phosphatase activity",0,0,9.41655706490147,14,0.0714285714285714,0.267261241912424,1,"Dusp18","bisque4","kidney"
"GO:0033615","mitochondrial proton-transporting ATP synthase complex assembly",0,0,14.4725697488108,6,0.166666666666667,0.408248290463863,1,"Atpaf2","bisque4","kidney"
"GO:0035970","peptidyl-threonine dephosphorylation",0,0,9.77954353307165,13,0.0769230769230769,0.277350098112615,1,"Dusp18","bisque4","kidney"
"GO:0042159","lipoprotein catabolic process",0,0,8.79482376926376,16,0.0625,0.25,1,"Notum","bisque4","kidney"
"GO:0043461","proton-transporting ATP synthase complex assembly",0,0,14.4725697488108,6,0.166666666666667,0.408248290463863,1,"Atpaf2","bisque4","kidney"
"GO:0044557","relaxation of smooth muscle",0,0,10.1866987281759,12,0.0833333333333333,0.288675134594813,1,"Abcc8","bisque4","kidney"
"GO:0045898","regulation of RNA polymerase II transcription preinitiation complex assembly",0,0,10.6478345024048,11,0.0909090909090909,0.301511344577764,1,"Thra","bisque4","kidney"
"GO:0045924","regulation of female receptivity",0,0,11.7896973620738,9,0.111111111111111,0.333333333333333,1,"Thra","bisque4","kidney"
"GO:0046827","positive regulation of protein export from nucleus",0,0,8.79482376926376,16,0.0625,0.25,1,"Camk1","bisque4","kidney"
"GO:0051823","regulation of synapse structural plasticity",0,0,11.1761162454894,10,0.1,0.316227766016838,1,"Camk1","bisque4","kidney"
"GO:0060180","female mating behavior",0,0,10.6478345024048,11,0.0909090909090909,0.301511344577764,1,"Thra","bisque4","kidney"
"GO:0060509","type I pneumocyte differentiation",0,0,12.5144465034213,8,0.125,0.353553390593274,1,"Thra","bisque4","kidney"
"GO:0060633","negative regulation of transcription initiation by RNA polymerase II",0,0,13.3887512965887,7,0.142857142857143,0.377964473009227,1,"Thra","bisque4","kidney"
"GO:0070071","proton-transporting two-sector ATPase complex assembly",0,0,9.41655706490147,14,0.0714285714285714,0.267261241912424,1,"Atpaf2","bisque4","kidney"
"GO:0070324","thyroid hormone binding",0,0,13.3887512965887,7,0.142857142857143,0.377964473009227,1,"Thra","bisque4","kidney"
"GO:0072488","ammonium transmembrane transport",0,0,11.7896973620738,9,0.111111111111111,0.333333333333333,1,"Rhag","bisque4","kidney"
"GO:0072542","protein phosphatase activator activity",0,0,9.41655706490147,14,0.0714285714285714,0.267261241912424,1,"Ppp2r5c","bisque4","kidney"
"GO:0097197","tetraspanin-enriched microdomain",0,0,11.7896973620738,9,0.111111111111111,0.333333333333333,1,"Tspan15","bisque4","kidney"
"GO:0097402","neuroblast migration",0,0,12.5144465034213,8,0.125,0.353553390593274,1,"Abcc8","bisque4","kidney"
"GO:0099103","channel activator activity",0,0,11.7896973620738,9,0.111111111111111,0.333333333333333,1,"Abcc8","bisque4","kidney"
"GO:0099104","potassium channel activator activity",0,0,14.4725697488108,6,0.166666666666667,0.408248290463863,1,"Abcc8","bisque4","kidney"
"GO:1901077","regulation of relaxation of muscle",0,0,8.79482376926376,16,0.0625,0.25,1,"Abcc8","bisque4","kidney"
"GO:1903441","protein localization to ciliary membrane",0,0,10.6478345024048,11,0.0909090909090909,0.301511344577764,1,"Arl3","bisque4","kidney"
"GO:1903818","positive regulation of voltage-gated potassium channel activity",0,0,10.1866987281759,12,0.0833333333333333,0.288675134594813,1,"Abcc8","bisque4","kidney"
"GO:1905603","regulation of blood-brain barrier permeability",0,0,12.5144465034213,8,0.125,0.353553390593274,1,"Abcc8","bisque4","kidney"
"GO:2000143","negative regulation of DNA-templated transcription initiation",0,0,12.5144465034213,8,0.125,0.353553390593274,1,"Thra","bisque4","kidney"
"GO:0035633","maintenance of blood-brain barrier",2.22044604925031e-16,1.16254387980864e-13,8.27905458830988,18,0.0555555555555556,0.235702260395516,1,"Abcc8","bisque4","kidney"
"GO:0030506","ankyrin binding",8.88178419700125e-16,4.54567719295963e-13,8.05201759294119,19,0.0526315789473684,0.229415733870562,1,"Rhag","bisque4","kidney"
"GO:0043116","negative regulation of vascular permeability",8.88178419700125e-16,4.54567719295963e-13,8.05201759294119,19,0.0526315789473684,0.229415733870562,1,"Abcc8","bisque4","kidney"
"GO:0031571","mitotic G1 DNA damage checkpoint signaling",4.44089209850063e-15,2.22288609985388e-12,7.84207076032974,20,0.05,0.223606797749979,1,"Ppp2r5c","bisque4","kidney"
"GO:0034383","low-density lipoprotein particle clearance",4.44089209850063e-15,2.22288609985388e-12,7.84207076032974,20,0.05,0.223606797749979,1,"Abcc8","bisque4","kidney"
"GO:0001502","cartilage condensation",2.06501482580279e-14,9.7980651370122e-12,7.64715807633397,21,0.0476190476190476,0.218217890235992,1,"Thra","bisque4","kidney"
"GO:0004683","calmodulin-dependent protein kinase activity",2.06501482580279e-14,9.7980651370122e-12,7.64715807633397,21,0.0476190476190476,0.218217890235992,1,"Camk1","bisque4","kidney"
"GO:0032794","GTPase activating protein binding",2.06501482580279e-14,9.7980651370122e-12,7.64715807633397,21,0.0476190476190476,0.218217890235992,1,"Arl3","bisque4","kidney"
"GO:0044819","mitotic G1/S transition checkpoint signaling",2.06501482580279e-14,9.7980651370122e-12,7.64715807633397,21,0.0476190476190476,0.218217890235992,1,"Ppp2r5c","bisque4","kidney"
"GO:0060253","negative regulation of glial cell proliferation",2.06501482580279e-14,9.7980651370122e-12,7.64715807633397,21,0.0476190476190476,0.218217890235992,1,"Abcc8","bisque4","kidney"
"GO:0060143","positive regulation of syncytium formation by plasma membrane fusion",8.30446822419617e-14,3.85988293481771e-11,7.46555426077758,22,0.0454545454545455,0.21320071635561,1,"Camk1","bisque4","kidney"
