,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
0,514591.Herpud1,antiquewhite2,kidney,,NO,Herpud1,,1,UNSIGNED
1,10002944987.Rimbp2,antiquewhite2,kidney,,NO,Rimbp2,,1,UNSIGNED
2,10002904595.Snrk,antiquewhite2,kidney,,NO,Snrk,,1,UNSIGNED
3,10003837639.Ppara,antiquewhite2,kidney,,NO,Ppara,,1,UNSIGNED
4,503605.Ppara,antiquewhite2,kidney,,NO,Ppara,,1,UNSIGNED
5,506747.Wee1,antiquewhite2,kidney,,NO,Wee1,,1,UNSIGNED
6,501035.Per2,antiquewhite2,kidney,,NO,Per2,,1,UNSIGNED
7,10003844495.8430429K09Rik,antiquewhite2,kidney,,NO,8430429K09Rik,,1,UNSIGNED
8,508234.Mbd1,antiquewhite2,kidney,,NO,Mbd1,,1,UNSIGNED
9,509406.Mid1ip1,antiquewhite2,kidney,,NO,Mid1ip1,,1,UNSIGNED
10,10004036710.Dusp8,antiquewhite4,kidney,,NO,Dusp8,,1,UNSIGNED
11,502626.Dusp8,antiquewhite4,kidney,,NO,Dusp8,,1,UNSIGNED
12,506587.Slc20a1,antiquewhite4,kidney,,NO,Slc20a1,,1,UNSIGNED
13,498344.Epha2,antiquewhite4,kidney,,NO,Epha2,,1,UNSIGNED
14,10002901660.Dusp16,antiquewhite4,kidney,,NO,Dusp16,,1,UNSIGNED
15,10002918261.Rhbdf2,antiquewhite4,kidney,,NO,Rhbdf2,,1,UNSIGNED
16,1015410.Tsc22d1,antiquewhite4,kidney,,NO,Tsc22d1,,1,UNSIGNED
17,10004034954.Epha2,antiquewhite4,kidney,,NO,Epha2,,1,UNSIGNED
18,10004034452.Igf2bp2,antiquewhite4,kidney,,NO,Igf2bp2,,1,UNSIGNED
19,514177.Dusp8,antiquewhite4,kidney,,NO,Dusp8,,1,UNSIGNED
20,513463.Pxdc1,antiquewhite4,kidney,,NO,Pxdc1,,1,UNSIGNED
21,10002910569.Zbtb2,antiquewhite4,kidney,,NO,Zbtb2,,1,UNSIGNED
22,518602.Slc25a25,antiquewhite4,kidney,,NO,Slc25a25,,1,UNSIGNED
23,505376.Dusp4,antiquewhite4,kidney,,NO,Dusp4,,1,UNSIGNED
24,10004034899.Tprkb,antiquewhite4,kidney,,NO,Tprkb,,1,UNSIGNED
25,499581.Clec2h,antiquewhite4,kidney,,NO,Clec2h,,1,UNSIGNED
26,10004034877.H2-Ab1,bisque4,kidney,,NO,H2-Ab1,,1,UNSIGNED
27,10004035889.H2-DMa,bisque4,kidney,,NO,H2-DMa,,1,UNSIGNED
28,498474.H2-Aa,bisque4,kidney,,NO,H2-Aa,,1,UNSIGNED
29,10004035095.H2-D1,bisque4,kidney,,NO,H2-D1,,1,UNSIGNED
30,1014942.Cd74,bisque4,kidney,,NO,Cd74,,1,UNSIGNED
31,593375.H2-Eb1,bisque4,kidney,,NO,H2-Eb1,,1,UNSIGNED
32,1377089.H2-D1,bisque4,kidney,,NO,H2-D1,,1,UNSIGNED
33,498971.H2-DMa,bisque4,kidney,,NO,H2-DMa,,1,UNSIGNED
34,10002173030.H2-K1,bisque4,kidney,,NO,H2-K1,,1,UNSIGNED
35,10004038349.H2-DMb2,bisque4,kidney,,NO,H2-DMb2,,1,UNSIGNED
36,10002899832.H2-Q1,bisque4,kidney,,NO,H2-Q1,,1,UNSIGNED
37,506554.H2-Q4,bisque4,kidney,,NO,H2-Q4,,1,UNSIGNED
38,10003119375.H2-DMb2,bisque4,kidney,,NO,H2-DMb2,,1,UNSIGNED
39,10002678592.H2-Q7,bisque4,kidney,,NO,H2-Q7,,1,UNSIGNED
40,10004034002.H2-DMb1,bisque4,kidney,,NO,H2-DMb1,,1,UNSIGNED
41,10002896280.Ciita,bisque4,kidney,,NO,Ciita,,1,UNSIGNED
42,10002678340.H2-K1,bisque4,kidney,,NO,H2-K1,,1,UNSIGNED
43,517619.B2m,bisque4,kidney,,NO,B2m,,1,UNSIGNED
44,499249.H2-Oa,bisque4,kidney,,NO,H2-Oa,,1,UNSIGNED
45,10004037852.H2-Q5,bisque4,kidney,,NO,H2-Q5,,1,UNSIGNED
46,10002678388.H2-Q5,bisque4,kidney,,NO,H2-Q5,,1,UNSIGNED
47,1484036.Khdrbs2,black,kidney,,NO,Khdrbs2,,1,UNSIGNED
48,10002941447.Olfr927-ps1,black,kidney,,NO,Olfr927-ps1,,1,UNSIGNED
49,506488.Ppfia4,black,kidney,,NO,Ppfia4,,1,UNSIGNED
50,10003837590.C87487,black,kidney,,NO,C87487,,1,UNSIGNED
51,10002903691.Ubxn10,black,kidney,,NO,Ubxn10,,1,UNSIGNED
52,10003839738.Insr,black,kidney,,NO,Insr,,1,UNSIGNED
53,511487.Gata6os,black,kidney,,NO,Gata6os,,1,UNSIGNED
54,518117.2010008C14Rik,black,kidney,,NO,2010008C14Rik,,1,UNSIGNED
55,10003840609.Gm8437,black,kidney,,NO,Gm8437,,1,UNSIGNED
56,10004034948.4931429L15Rik,black,kidney,,NO,4931429L15Rik,,1,UNSIGNED
57,10002940773.A330040F15Rik,black,kidney,,NO,A330040F15Rik,,1,UNSIGNED
58,10004037380.Olfr1383,black,kidney,,NO,Olfr1383,,1,UNSIGNED
59,10003839536.4933401J01Rik,black,kidney,,NO,4933401J01Rik,,1,UNSIGNED
60,10002927697.Gm28724,black,kidney,,NO,Gm28724,,1,UNSIGNED
61,10003837681.Gpc6,black,kidney,,NO,Gpc6,,1,UNSIGNED
62,10003839285.Slc4a3,black,kidney,,NO,Slc4a3,,1,UNSIGNED
63,10002918628.Alpk3,black,kidney,,NO,Alpk3,,1,UNSIGNED
64,10003843441.Tbcc,black,kidney,,NO,Tbcc,,1,UNSIGNED
65,10004037255.Gm44137,black,kidney,,NO,Gm44137,,1,UNSIGNED
66,10003845118.Brinp1,black,kidney,,NO,Brinp1,,1,UNSIGNED
67,10003845451.Gm18182,black,kidney,,NO,Gm18182,,1,UNSIGNED
68,10004035562.Olfr937,black,kidney,,NO,Olfr937,,1,UNSIGNED
69,10004036544.Olfr565-ps1,black,kidney,,NO,Olfr565-ps1,,1,UNSIGNED
70,10002910988.Kcnh8,black,kidney,,NO,Kcnh8,,1,UNSIGNED
71,500901.Prr27,black,kidney,,NO,Prr27,,1,UNSIGNED
72,10002925945.Gm12026,black,kidney,,NO,Gm12026,,1,UNSIGNED
73,10003842950.Gm17767,black,kidney,,NO,Gm17767,,1,UNSIGNED
74,10003845017.Cacna2d1,black,kidney,,NO,Cacna2d1,,1,UNSIGNED
75,10003841807.Fam107b,black,kidney,,NO,Fam107b,,1,UNSIGNED
76,10002912803.Col23a1,black,kidney,,NO,Col23a1,,1,UNSIGNED
77,503478.H19,black,kidney,,NO,H19,,1,UNSIGNED
78,506586.Sell,black,kidney,,NO,Sell,,1,UNSIGNED
79,10003837960.B230209E15Rik,black,kidney,,NO,B230209E15Rik,,1,UNSIGNED
80,10004037646.Olfr503,black,kidney,,NO,Olfr503,,1,UNSIGNED
81,10002931391.Arhgap28,black,kidney,,NO,Arhgap28,,1,UNSIGNED
82,10003843212.Cdh23,black,kidney,,NO,Cdh23,,1,UNSIGNED
83,10003840182.4930519F16Rik,black,kidney,,NO,4930519F16Rik,,1,UNSIGNED
84,10004037488.Olfr513,black,kidney,,NO,Olfr513,,1,UNSIGNED
85,10003838596.Gm48826,black,kidney,,NO,Gm48826,,1,UNSIGNED
86,10003839832.Gm48882,black,kidney,,NO,Gm48882,,1,UNSIGNED
87,10002936380.Gm14062,black,kidney,,NO,Gm14062,,1,UNSIGNED
88,10002921927.Gm24756,black,kidney,,NO,Gm24756,,1,UNSIGNED
89,10004037189.Olfr459,black,kidney,,NO,Olfr459,,1,UNSIGNED
90,10002906693.Rnf212,black,kidney,,NO,Rnf212,,1,UNSIGNED
91,10003113891.Vmn1r2,black,kidney,,NO,Vmn1r2,,1,UNSIGNED
92,10004034462.Olfr1471,black,kidney,,NO,Olfr1471,,1,UNSIGNED
93,500265.4933400F21Rik,black,kidney,,NO,4933400F21Rik,,1,UNSIGNED
94,10004033634.Olfr1410,black,kidney,,NO,Olfr1410,,1,UNSIGNED
95,10002909195.2310002L09Rik,black,kidney,,NO,2310002L09Rik,,1,UNSIGNED
96,508257.Kirrel3,black,kidney,,NO,Kirrel3,,1,UNSIGNED
97,10003845728.H1f11-ps,black,kidney,,NO,H1f11-ps,,1,UNSIGNED
98,10004033809.Olfr1381,black,kidney,,NO,Olfr1381,,1,UNSIGNED
99,10003837474.Dnah7a,black,kidney,,NO,Dnah7a,,1,UNSIGNED
100,10004034577.Olfr743,black,kidney,,NO,Olfr743,,1,UNSIGNED
101,501180.Zwint,black,kidney,,NO,Zwint,,1,UNSIGNED
102,10002927244.Gm12416,black,kidney,,NO,Gm12416,,1,UNSIGNED
103,10002901377.Pramel4,black,kidney,,NO,Pramel4,,1,UNSIGNED
104,10002902760.Zdhhc19,black,kidney,,NO,Zdhhc19,,1,UNSIGNED
105,507899.Adam12,black,kidney,,NO,Adam12,,1,UNSIGNED
106,10002917373.Tgif2-ps1,black,kidney,,NO,Tgif2-ps1,,1,UNSIGNED
107,517676.Gjb4,black,kidney,,NO,Gjb4,,1,UNSIGNED
108,10002922915.Olfr403,black,kidney,,NO,Olfr403,,1,UNSIGNED
109,10003844033.Dcc,black,kidney,,NO,Dcc,,1,UNSIGNED
110,10002934562.Gm15551,black,kidney,,NO,Gm15551,,1,UNSIGNED
111,10003839423.Gm15288,black,kidney,,NO,Gm15288,,1,UNSIGNED
112,10003838741.Rtca,black,kidney,,NO,Rtca,,1,UNSIGNED
113,10004033121.Gm37422,black,kidney,,NO,Gm37422,,1,UNSIGNED
114,10003839870.D6Ertd474e,black,kidney,,NO,D6Ertd474e,,1,UNSIGNED
115,10002921739.Gm15833,black,kidney,,NO,Gm15833,,1,UNSIGNED
116,10002912056.Dnah14,black,kidney,,NO,Dnah14,,1,UNSIGNED
117,10002942479.E030013I19Rik,black,kidney,,NO,E030013I19Rik,,1,UNSIGNED
118,1365769.Gpr37l1,black,kidney,,NO,Gpr37l1,,1,UNSIGNED
119,10004037452.Vmn1r230,black,kidney,,NO,Vmn1r230,,1,UNSIGNED
120,10004034079.2310002D06Rik,black,kidney,,NO,2310002D06Rik,,1,UNSIGNED
121,512294.1700012J22Rik,black,kidney,,NO,1700012J22Rik,,1,UNSIGNED
122,10002903869.Rnf169,black,kidney,,NO,Rnf169,,1,UNSIGNED
123,10004034075.Olfr711,black,kidney,,NO,Olfr711,,1,UNSIGNED
124,512253.Klb,black,kidney,,NO,Klb,,1,UNSIGNED
125,10003839693.2610307P16Rik,black,kidney,,NO,2610307P16Rik,,1,UNSIGNED
126,10004037390.Edc3,black,kidney,,NO,Edc3,,1,UNSIGNED
127,505852.F13a1,black,kidney,,NO,F13a1,,1,UNSIGNED
128,10004037043.4930544M13Rik,black,kidney,,NO,4930544M13Rik,,1,UNSIGNED
129,10004037023.Olfr1079,black,kidney,,NO,Olfr1079,,1,UNSIGNED
130,10004036414.Olfr1341,black,kidney,,NO,Olfr1341,,1,UNSIGNED
131,10002930082.Gm40477,black,kidney,,NO,Gm40477,,1,UNSIGNED
132,10004036059.Gm10054,black,kidney,,NO,Gm10054,,1,UNSIGNED
133,10002925757.Olfr241-ps1,black,kidney,,NO,Olfr241-ps1,,1,UNSIGNED
134,10002941015.Vmn1r-ps142,black,kidney,,NO,Vmn1r-ps142,,1,UNSIGNED
135,10002901270.Olfm2,black,kidney,,NO,Olfm2,,1,UNSIGNED
136,10002913351.Sec14l3,black,kidney,,NO,Sec14l3,,1,UNSIGNED
137,10004036176.Gm45141,black,kidney,,NO,Gm45141,,1,UNSIGNED
138,518141.Cpa1,black,kidney,,NO,Cpa1,,1,UNSIGNED
139,10003843889.Slc15a3,black,kidney,,NO,Slc15a3,,1,UNSIGNED
140,10003118169.Pde4b,black,kidney,,NO,Pde4b,,1,UNSIGNED
141,10004035834.Olfr105-ps,black,kidney,,NO,Olfr105-ps,,1,UNSIGNED
142,10004036594.Gm38404,black,kidney,,NO,Gm38404,,1,UNSIGNED
143,10003842875.Gm37416,black,kidney,,NO,Gm37416,,1,UNSIGNED
144,10002904370.Olfr1061,black,kidney,,NO,Olfr1061,,1,UNSIGNED
145,505988.2310026I22Rik,black,kidney,,NO,2310026I22Rik,,1,UNSIGNED
146,509187.1700030J22Rik,black,kidney,,NO,1700030J22Rik,,1,UNSIGNED
147,516104.Olfr889,black,kidney,,NO,Olfr889,,1,UNSIGNED
148,10003115467.Uqcrh,black,kidney,,NO,Uqcrh,,1,UNSIGNED
149,502995.Aloxe3,black,kidney,,NO,Aloxe3,,1,UNSIGNED
150,10002949555.Col24a1,black,kidney,,NO,Col24a1,,1,UNSIGNED
151,10004036372.Olfr971,black,kidney,,NO,Olfr971,,1,UNSIGNED
152,10003838507.Gm46376,black,kidney,,NO,Gm46376,,1,UNSIGNED
153,512000.Ftmt,black,kidney,,NO,Ftmt,,1,UNSIGNED
154,10002900350.Olfr1446,black,kidney,,NO,Olfr1446,,1,UNSIGNED
155,10002909271.Gpr20,black,kidney,,NO,Gpr20,,1,UNSIGNED
156,10004034368.Olfr1447,black,kidney,,NO,Olfr1447,,1,UNSIGNED
157,518091.Trpd52l3,black,kidney,,NO,Trpd52l3,,1,UNSIGNED
158,10004036323.Vmn1r178,black,kidney,,NO,Vmn1r178,,1,UNSIGNED
159,518390.Macrod2,black,kidney,,NO,Macrod2,,1,UNSIGNED
160,10002920111.Tchh,black,kidney,,NO,Tchh,,1,UNSIGNED
161,10002932424.Kif4-ps,black,kidney,,NO,Kif4-ps,,1,UNSIGNED
162,10002934707.Olfr1060-ps1,black,kidney,,NO,Olfr1060-ps1,,1,UNSIGNED
163,10003842815.Gm43675,black,kidney,,NO,Gm43675,,1,UNSIGNED
164,10004036030.Gm33228,black,kidney,,NO,Gm33228,,1,UNSIGNED
165,511425.Serpinb9c,black,kidney,,NO,Serpinb9c,,1,UNSIGNED
166,10004037859.Olfr684,black,kidney,,NO,Olfr684,,1,UNSIGNED
167,10004037199.Olfr938,black,kidney,,NO,Olfr938,,1,UNSIGNED
168,10003844301.Xpo4,black,kidney,,NO,Xpo4,,1,UNSIGNED
169,10003113588.Ap1s2,black,kidney,,NO,Ap1s2,,1,UNSIGNED
170,515056.Kif1a,black,kidney,,NO,Kif1a,,1,UNSIGNED
171,1487915.Gm11959,black,kidney,,NO,Gm11959,,1,UNSIGNED
172,10003838153.Wdr78,black,kidney,,NO,Wdr78,,1,UNSIGNED
173,1475736.Alox8,black,kidney,,NO,Alox8,,1,UNSIGNED
174,10003839194.Gm19761,black,kidney,,NO,Gm19761,,1,UNSIGNED
175,10002928643.Gm50003,black,kidney,,NO,Gm50003,,1,UNSIGNED
176,10002944022.Macrod2,black,kidney,,NO,Macrod2,,1,UNSIGNED
177,10004033469.Olfr1388,black,kidney,,NO,Olfr1388,,1,UNSIGNED
178,512281.Crygf,black,kidney,,NO,Crygf,,1,UNSIGNED
179,10004036452.Olfr59,black,kidney,,NO,Olfr59,,1,UNSIGNED
180,10003845421.Gm14089,black,kidney,,NO,Gm14089,,1,UNSIGNED
181,10003116350.Kcnj6,black,kidney,,NO,Kcnj6,,1,UNSIGNED
182,10003843475.Rpl19-ps5,black,kidney,,NO,Rpl19-ps5,,1,UNSIGNED
183,10002937205.Hprt,black,kidney,,NO,Hprt,,1,UNSIGNED
184,504370.Akap3,black,kidney,,NO,Akap3,,1,UNSIGNED
185,10003843427.Zfpm2,black,kidney,,NO,Zfpm2,,1,UNSIGNED
186,504459.Gm22095,black,kidney,,NO,Gm22095,,1,UNSIGNED
187,10002926255.Gm22468,black,kidney,,NO,Gm22468,,1,UNSIGNED
188,10002926588.Gm26937,black,kidney,,NO,Gm26937,,1,UNSIGNED
189,10004038213.Olfr29-ps1,black,kidney,,NO,Olfr29-ps1,,1,UNSIGNED
190,519638.Psapl1,black,kidney,,NO,Psapl1,,1,UNSIGNED
191,10004038303.Vmn2r110,black,kidney,,NO,Vmn2r110,,1,UNSIGNED
192,10002942905.Cacna1e,black,kidney,,NO,Cacna1e,,1,UNSIGNED
193,10002943675.Cacna1i,black,kidney,,NO,Cacna1i,,1,UNSIGNED
194,10002931069.8430430B14Rik,black,kidney,,NO,8430430B14Rik,,1,UNSIGNED
