"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue","fraction_overlap"
"GO:0001910","regulation of leukocyte mediated cytotoxicity",0,0,21.2990023420964,92,0.0652173913043478,0.248261994988676,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.0652173913043478
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity",0,0,26.0342097812265,62,0.0967741935483871,0.298063554635246,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.0967741935483871
"GO:0001913","T cell mediated cytotoxicity",0,0,29.0300665157783,50,0.12,0.328260722659316,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.12
"GO:0001914","regulation of T cell mediated cytotoxicity",0,0,32.9111532187661,39,0.153846153846154,0.365517768195196,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.153846153846154
"GO:0001916","positive regulation of T cell mediated cytotoxicity",0,0,36.3617732386185,32,0.1875,0.396557769456266,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.1875
"GO:0002377","immunoglobulin production",0,0,22.0619292959303,152,0.0526315789473684,0.224035051781255,8,"B2m, H2-Aa, H2-Ab1, H2-Eb1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa","bisque4","kidney",0.0526315789473684
"GO:0002381","immunoglobulin production involved in immunoglobulin-mediated immune response",0,0,36.9564853894539,55,0.145454545454545,0.355807991196553,8,"B2m, H2-Aa, H2-Ab1, H2-Eb1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa","bisque4","kidney",0.145454545454545
"GO:0002396","MHC protein complex assembly",0,0,73.4841558191177,14,0.571428571428571,0.513552591013095,8,"B2m, H2-Aa, H2-Ab1, H2-Eb1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa","bisque4","kidney",0.571428571428571
"GO:0002399","MHC class II protein complex assembly",0,0,86.9746205703253,10,0.8,0.421637021355784,8,"B2m, H2-Aa, H2-Ab1, H2-Eb1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa","bisque4","kidney",0.8
"GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib",0,0,43.9036234024798,22,0.272727272727273,0.455842305838552,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.272727272727273
"GO:0002449","lymphocyte mediated immunity",0,0,29.2802144665532,266,0.0526315789473684,0.223717796415415,14,"B2m, H2-Aa, H2-Ab1, H2-D1, H2-Eb1, H2-K1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa, H2-Q1, H2-Q4, H2-Q7, Cd74","bisque4","kidney",0.0526315789473684
"GO:0002456","T cell mediated immunity",0,0,19.0855892155413,114,0.0526315789473684,0.224282741245272,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.0526315789473684
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0,0,29.0587059857602,270,0.0518518518518519,0.222139596369869,14,"B2m, H2-Aa, H2-Ab1, H2-D1, H2-Eb1, H2-K1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa, H2-Q1, H2-Q4, H2-Q7, Cd74","bisque4","kidney",0.0518518518518519
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I",0,0,36.9477842101374,31,0.193548387096774,0.401609664451249,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.193548387096774
"GO:0002475","antigen processing and presentation via MHC class Ib",0,0,40.3671847347667,26,0.230769230769231,0.42966892442366,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.230769230769231
"GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib",0,0,37.4293341237819,21,0.238095238095238,0.436435780471985,5,"H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.238095238095238
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",0,0,71.6492762051884,23,0.434782608695652,0.506869801869702,10,"B2m, H2-Aa, H2-Ab1, H2-Eb1, H2-K1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa, Cd74","bisque4","kidney",0.434782608695652
"GO:0002483","antigen processing and presentation of endogenous peptide antigen",0,0,42.0250090460592,24,0.25,0.442325868464691,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.25
"GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway",0,0,37.4293341237819,21,0.238095238095238,0.436435780471985,5,"H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.238095238095238
"GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",0,0,37.4293341237819,21,0.238095238095238,0.436435780471985,5,"H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.238095238095238
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",0,0,70.9515524369666,19,0.473684210526316,0.512989176042577,9,"B2m, H2-Aa, H2-Ab1, H2-Eb1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa, Cd74","bisque4","kidney",0.473684210526316
"GO:0002501","peptide antigen assembly with MHC protein complex",0,0,73.4841558191177,14,0.571428571428571,0.513552591013095,8,"B2m, H2-Aa, H2-Ab1, H2-Eb1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa","bisque4","kidney",0.571428571428571
"GO:0002503","peptide antigen assembly with MHC class II protein complex",0,0,86.9746205703253,10,0.8,0.421637021355784,8,"B2m, H2-Aa, H2-Ab1, H2-Eb1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa","bisque4","kidney",0.8
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",0,0,69.1504624422585,20,0.45,0.51041778553404,9,"B2m, H2-Aa, H2-Ab1, H2-Eb1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa, Cd74","bisque4","kidney",0.45
"GO:0002708","positive regulation of lymphocyte mediated immunity",0,0,19.7158272407876,107,0.0560747663551402,0.231148718807422,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.0560747663551402
"GO:0002709","regulation of T cell mediated immunity",0,0,22.586178219295,82,0.0731707317073171,0.262019121198305,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.0731707317073171
"GO:0002711","positive regulation of T cell mediated immunity",0,0,26.6970051299536,59,0.101694915254237,0.304841126187198,6,"B2m, H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.101694915254237
"GO:0002819","regulation of adaptive immune response",0,0,22.9371083488302,178,0.050561797752809,0.219719181589436,9,"B2m, H2-Ab1, H2-D1, H2-K1, H2-DMa, H2-Q1, H2-Q4, H2-Q7, Cd74","bisque4","kidney",0.050561797752809
"GO:0002821","positive regulation of adaptive immune response",0,0,29.5847261541158,108,0.0833333333333333,0.277673916200852,9,"B2m, H2-Ab1, H2-D1, H2-K1, H2-DMa, H2-Q1, H2-Q4, H2-Q7, Cd74","bisque4","kidney",0.0833333333333333
"GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0,0,27.1736625678668,101,0.0792079207920792,0.271409959906842,8,"B2m, H2-Ab1, H2-D1, H2-K1, H2-DMa, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.0792079207920792
"GO:0003823","antigen binding",0,0,38.7754077242459,50,0.16,0.370328039909021,8,"H2-Aa, H2-Ab1, H2-D1, H2-Eb1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.16
"GO:0005765","lysosomal membrane",0,0,21.8422071707835,155,0.0516129032258065,0.221961397927856,8,"H2-D1, H2-Eb1, H2-K1, H2-DMa, H2-DMb1, H2-DMb2, H2-Q1, H2-Q7","bisque4","kidney",0.0516129032258065
"GO:0005771","multivesicular body",0,0,21.6009286028411,40,0.1,0.3038218101251,4,"H2-Ab1, H2-DMa, H2-DMb2, Cd74","bisque4","kidney",0.1
"GO:0005795","Golgi stack",0,0,19.0165323290091,80,0.0625,0.243588675923112,5,"H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.0625
"GO:0005797","Golgi medial cisterna",0,0,38.3590798335247,20,0.25,0.444261658319319,5,"H2-D1, H2-K1, H2-Q1, H2-Q4, H2-Q7","bisque4","kidney",0.25
"GO:0005801","cis-Golgi network",0,0,17.7234088839975,59,0.0677966101694915,0.253554508841448,4,"H2-D1, H2-K1, H2-Q1, H2-Q7","bisque4","kidney",0.0677966101694915
"GO:0006458","'de novo' protein folding",0,0,24.5778282100869,31,0.129032258064516,0.340777100548239,4,"H2-DMa, H2-DMb1, H2-DMb2, Cd74","bisque4","kidney",0.129032258064516
"GO:0016064","immunoglobulin mediated immune response",0,0,28.5311416816646,116,0.0775862068965517,0.268679931418829,9,"B2m, H2-Aa, H2-Ab1, H2-Eb1, H2-DMa, H2-DMb1, H2-DMb2, H2-Oa, Cd74","bisque4","kidney",0.0775862068965517
