"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0002036","regulation of L-glutamate import across plasma membrane",0,0,18.078580169424,6,0.166666666666667,0.408248290463863,1,"Per2","antiquewhite2","kidney"
"GO:0003707","nuclear steroid receptor activity",0,0,11.7896973620738,14,0.0714285714285714,0.267261241912424,1,"Ppara","antiquewhite2","kidney"
"GO:0006089","lactate metabolic process",0,0,10.6834834749837,17,0.0588235294117647,0.242535625036333,1,"Per2","antiquewhite2","kidney"
"GO:0006094","gluconeogenesis",0,0,10.2975399073885,72,0.0277777777777778,0.165488795605771,2,"Per2, Ppara","antiquewhite2","kidney"
"GO:0006353","DNA-templated transcription termination",0,0,9.15823341602216,23,0.0434782608695652,0.208514414057075,1,"Per2","antiquewhite2","kidney"
"GO:0007274","neuromuscular synaptic transmission",0,0,8.7757479490564,25,0.04,0.2,1,"Rimbp2","antiquewhite2","kidney"
"GO:0008327","methyl-CpG binding",0,0,8.7757479490564,25,0.04,0.2,1,"Mbd1","antiquewhite2","kidney"
"GO:0009648","photoperiodism",0,0,9.59371924039839,21,0.0476190476190476,0.218217890235992,1,"Per2","antiquewhite2","kidney"
"GO:0009649","entrainment of circadian clock",0,0,9.36860342417957,22,0.0454545454545455,0.21320071635561,1,"Per2","antiquewhite2","kidney"
"GO:0010385","double-stranded methylated DNA binding",0,0,16.729469063563,7,0.142857142857143,0.377964473009227,1,"Mbd1","antiquewhite2","kidney"
"GO:0010742","macrophage derived foam cell differentiation",0,0,8.43626721093628,27,0.037037037037037,0.192450089729875,1,"Ppara","antiquewhite2","kidney"
"GO:0010743","regulation of macrophage derived foam cell differentiation",0,0,9.15823341602216,23,0.0434782608695652,0.208514414057075,1,"Ppara","antiquewhite2","kidney"
"GO:0010745","negative regulation of macrophage derived foam cell differentiation",0,0,13.9766859608415,10,0.1,0.316227766016838,1,"Ppara","antiquewhite2","kidney"
"GO:0010878","cholesterol storage",0,0,10.3774604693276,18,0.0555555555555556,0.235702260395516,1,"Ppara","antiquewhite2","kidney"
"GO:0010885","regulation of cholesterol storage",0,0,11.0176061128671,16,0.0625,0.25,1,"Ppara","antiquewhite2","kidney"
"GO:0010887","negative regulation of cholesterol storage",0,0,13.9766859608415,10,0.1,0.316227766016838,1,"Ppara","antiquewhite2","kidney"
"GO:0010888","negative regulation of lipid storage",0,0,9.8353993165851,20,0.05,0.223606797749979,1,"Ppara","antiquewhite2","kidney"
