,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
0,10002947881.Morc1,black,liver,,NO,Morc1,,1,SIGNED
1,10002939653.Gm23934,black,liver,,NO,Gm23934,,1,SIGNED
2,10002928084.Gm4257,black,liver,,NO,Gm4257,,1,SIGNED
3,10002919534.Sting1,black,liver,,NO,Sting1,,1,SIGNED
4,10003841981.Gm4419,black,liver,,NO,Gm4419,,1,SIGNED
5,10002942905.Cacna1e,black,liver,,NO,Cacna1e,,1,SIGNED
6,510305.Hba-x,black,liver,,NO,Hba-x,,1,SIGNED
7,10004038054.Chat,black,liver,,NO,Chat,,1,SIGNED
8,508086.Olfr944,black,liver,,NO,Olfr944,,1,SIGNED
9,507236.Mc2r,black,liver,,NO,Mc2r,,1,SIGNED
10,10002935785.Smim40-ps,black,liver,,NO,Smim40-ps,,1,SIGNED
11,10002921178.Gm13407,black,liver,,NO,Gm13407,,1,SIGNED
12,10002928231.Gm371,black,liver,,NO,Gm371,,1,SIGNED
13,10003838412.Gm35619,black,liver,,NO,Gm35619,,1,SIGNED
14,10002919274.Smyd5,black,liver,,NO,Smyd5,,1,SIGNED
15,504505.Notch3,black,liver,,NO,Notch3,,1,SIGNED
16,10002920514.Olfr404-ps1,black,liver,,NO,Olfr404-ps1,,1,SIGNED
17,509792.Tenm2,black,liver,,NO,Tenm2,,1,SIGNED
18,517861.Nhs,black,liver,,NO,Nhs,,1,SIGNED
19,10002921818.Gm10313,black,liver,,NO,Gm10313,,1,SIGNED
20,10004035428.Olfr406,black,liver,,NO,Olfr406,,1,SIGNED
21,10002932817.Tas2r116,black,liver,,NO,Tas2r116,,1,SIGNED
22,10002907131.Gm8581,black,liver,,NO,Gm8581,,1,SIGNED
23,514257.Cyp2b19,black,liver,,NO,Cyp2b19,,1,SIGNED
24,10002926861.Med31,black,liver,,NO,Med31,,1,SIGNED
25,10002945132.Platr7,black,liver,,NO,Platr7,,1,SIGNED
26,10002937466.Nyx,black,liver,,NO,Nyx,,1,SIGNED
27,10002949405.Sdha,black,liver,,NO,Sdha,,1,SIGNED
28,10004033175.Otx1,black,liver,,NO,Otx1,,1,SIGNED
29,10004036030.Gm33228,black,liver,,NO,Gm33228,,1,SIGNED
30,10002934493.Gm24730,black,liver,,NO,Gm24730,,1,SIGNED
31,10003839389.Ephb1,black,liver,,NO,Ephb1,,1,SIGNED
32,10002931743.Aff3,black,liver,,NO,Aff3,,1,SIGNED
33,10003843300.Gm5793,black,liver,,NO,Gm5793,,1,SIGNED
34,510300.Cpa4,black,liver,,NO,Cpa4,,1,SIGNED
35,10002944657.Otud3,black,liver,,NO,Otud3,,1,SIGNED
36,10003837736.Gm36994,black,liver,,NO,Gm36994,,1,SIGNED
37,10004036954.4930471G03Rik,black,liver,,NO,4930471G03Rik,,1,SIGNED
38,10002906044.Agap1,black,liver,,NO,Agap1,,1,SIGNED
39,10003117211.Nhlrc3,black,liver,,NO,Nhlrc3,,1,SIGNED
40,519270.Prdm2,black,liver,,NO,Prdm2,,1,SIGNED
41,10004034766.Olfr73,black,liver,,NO,Olfr73,,1,SIGNED
42,10003839417.Gm272,black,liver,,NO,Gm272,,1,SIGNED
43,10002908583.Thada,black,liver,,NO,Thada,,1,SIGNED
44,10002921619.Gm43235,black,liver,,NO,Gm43235,,1,SIGNED
45,10003114997.Gm13012,black,liver,,NO,Gm13012,,1,SIGNED
46,10002944801.Gm48545,black,liver,,NO,Gm48545,,1,SIGNED
47,10002909710.Tmc3,black,liver,,NO,Tmc3,,1,SIGNED
48,10002946092.Trpm4,black,liver,,NO,Trpm4,,1,SIGNED
49,519998.Eps8l1,black,liver,,NO,Eps8l1,,1,SIGNED
50,498389.D930020B18Rik,black,liver,,NO,D930020B18Rik,,1,SIGNED
51,507117.Slc22a16,black,liver,,NO,Slc22a16,,1,SIGNED
52,518817.Zranb1,black,liver,,NO,Zranb1,,1,SIGNED
53,10002905143.Rabif,black,liver,,NO,Rabif,,1,SIGNED
54,504970.2410004P03Rik,black,liver,,NO,2410004P03Rik,,1,SIGNED
55,10002946252.Lrp12,black,liver,,NO,Lrp12,,1,SIGNED
56,10004034538.9930022D16Rik,black,liver,,NO,9930022D16Rik,,1,SIGNED
57,1371334.1700113A16Rik,black,liver,,NO,1700113A16Rik,,1,SIGNED
58,10002927318.Olfr1010,black,liver,,NO,Olfr1010,,1,SIGNED
59,501914.Pdzph1,black,liver,,NO,Pdzph1,,1,SIGNED
60,10004033948.Mrgprb5,black,liver,,NO,Mrgprb5,,1,SIGNED
61,10002924272.Gm44301,black,liver,,NO,Gm44301,,1,SIGNED
62,10004036444.Ccdc125,black,liver,,NO,Ccdc125,,1,SIGNED
63,507089.Helz,black,liver,,NO,Helz,,1,SIGNED
64,10002921899.Skint9,black,liver,,NO,Skint9,,1,SIGNED
65,500823.4930426L09Rik,black,liver,,NO,4930426L09Rik,,1,SIGNED
66,10003842071.Pnpla1,black,liver,,NO,Pnpla1,,1,SIGNED
67,10002905810.Gm28415,black,liver,,NO,Gm28415,,1,SIGNED
68,503369.Sh2d3c,black,liver,,NO,Sh2d3c,,1,SIGNED
69,10003839150.Gm18584,black,liver,,NO,Gm18584,,1,SIGNED
70,10003118110.Rasl10b,black,liver,,NO,Rasl10b,,1,SIGNED
71,10002945643.Defb29,black,liver,,NO,Defb29,,1,SIGNED
72,10004036176.Gm45141,black,liver,,NO,Gm45141,,1,SIGNED
73,512617.Rerg,black,liver,,NO,Rerg,,1,SIGNED
74,10004038165.Gm27878,black,liver,,NO,Gm27878,,1,SIGNED
75,10004035604.Gm27878,black,liver,,NO,Gm27878,,1,SIGNED
76,10004036578.Olfr1004-ps1,black,liver,,NO,Olfr1004-ps1,,1,SIGNED
77,10003118951.Arhgef37,black,liver,,NO,Arhgef37,,1,SIGNED
78,10004034605.Gm27878,black,liver,,NO,Gm27878,,1,SIGNED
79,10002913549.Nell1,black,liver,,NO,Nell1,,1,SIGNED
80,501306.Gp2,black,liver,,NO,Gp2,,1,SIGNED
81,10002911018.Vmn2r105,black,liver,,NO,Vmn2r105,,1,SIGNED
82,10003837594.1700030A11Rik,black,liver,,NO,1700030A11Rik,,1,SIGNED
83,505767.Idh3b,black,liver,,NO,Idh3b,,1,SIGNED
84,510388.Fgf12,black,liver,,NO,Fgf12,,1,SIGNED
85,503690.Zfp617,black,liver,,NO,Zfp617,,1,SIGNED
86,10002942241.Camkmt,black,liver,,NO,Camkmt,,1,SIGNED
87,508143.Chad,black,liver,,NO,Chad,,1,SIGNED
88,516726.Gm45711,black,liver,,NO,Gm45711,,1,SIGNED
89,500741.Scp2d1,black,liver,,NO,Scp2d1,,1,SIGNED
90,591764.Gm27878,black,liver,,NO,Gm27878,,1,SIGNED
91,10002940936.Lzts1,black,liver,,NO,Lzts1,,1,SIGNED
92,10002921529.Vmn2r-ps126,black,liver,,NO,Vmn2r-ps126,,1,SIGNED
93,10002902922.Zp3,black,liver,,NO,Zp3,,1,SIGNED
94,511756.Gm26688,black,liver,,NO,Gm26688,,1,SIGNED
95,10003117246.Spred3,black,liver,,NO,Spred3,,1,SIGNED
96,10003838709.L1td1,black,liver,,NO,L1td1,,1,SIGNED
97,507967.Gm12718,black,liver,,NO,Gm12718,,1,SIGNED
98,10002927194.B230303O12Rik,black,liver,,NO,B230303O12Rik,,1,SIGNED
99,10004038010.Usp17ld,black,liver,,NO,Usp17ld,,1,SIGNED
100,501095.Nrgn,black,liver,,NO,Nrgn,,1,SIGNED
101,497931.4930404H24Rik,black,liver,,NO,4930404H24Rik,,1,SIGNED
102,10004033580.4930563M21Rik,black,liver,,NO,4930563M21Rik,,1,SIGNED
103,502298.Mup4,black,liver,,NO,Mup4,,1,SIGNED
104,10002915233.Mup6,black,liver,,NO,Mup6,,1,SIGNED
105,10002922915.Olfr403,black,liver,,NO,Olfr403,,1,SIGNED
106,10002923126.Gm13411,black,liver,,NO,Gm13411,,1,SIGNED
107,10003845594.Gm48012,black,liver,,NO,Gm48012,,1,SIGNED
108,10003118090.Hhip,black,liver,,NO,Hhip,,1,SIGNED
109,502983.1700013N06Rik,black,liver,,NO,1700013N06Rik,,1,SIGNED
110,10002919819.Gm28083,black,liver,,NO,Gm28083,,1,SIGNED
111,10003838538.Opcml,black,liver,,NO,Opcml,,1,SIGNED
112,10002905858.Vmn1r2,black,liver,,NO,Vmn1r2,,1,SIGNED
113,10003844448.Nup153,black,liver,,NO,Nup153,,1,SIGNED
114,514586.1700061I17Rik,black,liver,,NO,1700061I17Rik,,1,SIGNED
115,1483715.Thrb,black,liver,,NO,Thrb,,1,SIGNED
116,503747.Rftn1,black,liver,,NO,Rftn1,,1,SIGNED
117,10002934512.1700016K19Rik,black,liver,,NO,1700016K19Rik,,1,SIGNED
118,10004036731.BC051665,black,liver,,NO,BC051665,,1,SIGNED
119,10002924190.Negr1,black,liver,,NO,Negr1,,1,SIGNED
120,10002900923.Kif9,black,liver,,NO,Kif9,,1,SIGNED
121,10003838254.Gm13594,black,liver,,NO,Gm13594,,1,SIGNED
122,10002928778.Obox4-ps1,black,liver,,NO,Obox4-ps1,,1,SIGNED
123,512729.Cacnb3,black,liver,,NO,Cacnb3,,1,SIGNED
124,10003838182.A830012C17Rik,black,liver,,NO,A830012C17Rik,,1,SIGNED
125,10003845003.Ccdc60,black,liver,,NO,Ccdc60,,1,SIGNED
126,10002902737.Pcdhb1,black,liver,,NO,Pcdhb1,,1,SIGNED
127,10002928044.Hdx,black,liver,,NO,Hdx,,1,SIGNED
128,10003844673.Nrp1,black,liver,,NO,Nrp1,,1,SIGNED
129,10002904471.Wdr19,black,liver,,NO,Wdr19,,1,SIGNED
130,10002901003.Fcnb,black,liver,,NO,Fcnb,,1,SIGNED
131,10002901290.1700003E16Rik,black,liver,,NO,1700003E16Rik,,1,SIGNED
132,10003838770.Gm1527,black,liver,,NO,Gm1527,,1,SIGNED
133,10002926241.Gm23216,black,liver,,NO,Gm23216,,1,SIGNED
134,500759.Olfr112,black,liver,,NO,Olfr112,,1,SIGNED
135,10002896421.Olfr1113,black,liver,,NO,Olfr1113,,1,SIGNED
136,10002942168.C130026L21Rik,black,liver,,NO,C130026L21Rik,,1,SIGNED
137,10004033642.Gm27878,black,liver,,NO,Gm27878,,1,SIGNED
138,10002944060.Gm19243,black,liver,,NO,Gm19243,,1,SIGNED
139,10002931910.Olfr883,black,liver,,NO,Olfr883,,1,SIGNED
140,10004035189.4430402I18Rik,black,liver,,NO,4430402I18Rik,,1,SIGNED
141,10004034714.Plekha2,black,liver,,NO,Plekha2,,1,SIGNED
142,10004033155.4732465J04Rik,black,liver,,NO,4732465J04Rik,,1,SIGNED
143,497933.Shd,black,liver,,NO,Shd,,1,SIGNED
144,10002172043.Fpr3,black,liver,,NO,Fpr3,,1,SIGNED
145,10002923286.Sdhaf1,black,liver,,NO,Sdhaf1,,1,SIGNED
146,518390.Macrod2,black,liver,,NO,Macrod2,,1,SIGNED
147,10003842756.Gm18491,black,liver,,NO,Gm18491,,1,SIGNED
148,10002948254.Gm48091,black,liver,,NO,Gm48091,,1,SIGNED
149,516210.Smim41,black,liver,,NO,Smim41,,1,SIGNED
150,10003842319.Gm47175,black,liver,,NO,Gm47175,,1,SIGNED
151,10003840281.Tenm3,black,liver,,NO,Tenm3,,1,SIGNED
152,519440.Grk1,black,liver,,NO,Grk1,,1,SIGNED
153,10003840152.Zim2,black,liver,,NO,Zim2,,1,SIGNED
154,10002907692.Gm8672,black,liver,,NO,Gm8672,,1,SIGNED
155,10002915195.Tubb1,black,liver,,NO,Tubb1,,1,SIGNED
156,10002903315.Obox6,black,liver,,NO,Obox6,,1,SIGNED
157,10004034217.Gm35554,black,liver,,NO,Gm35554,,1,SIGNED
158,10003842326.Olfr966-ps1,black,liver,,NO,Olfr966-ps1,,1,SIGNED
159,10002945501.Rpl17-ps11,black,liver,,NO,Rpl17-ps11,,1,SIGNED
160,10003842290.Gm12116,black,liver,,NO,Gm12116,,1,SIGNED
161,10002931333.Apol9a,black,liver,,NO,Apol9a,,1,SIGNED
162,10004038075.Olfr1459,black,liver,,NO,Olfr1459,,1,SIGNED
163,10002923518.Gm13261,black,liver,,NO,Gm13261,,1,SIGNED
164,10004033601.Fpr-rs5,black,liver,,NO,Fpr-rs5,,1,SIGNED
165,10003841844.Gm4258,black,liver,,NO,Gm4258,,1,SIGNED
166,10002939592.Gm25901,black,liver,,NO,Gm25901,,1,SIGNED
167,10003845118.Brinp1,black,liver,,NO,Brinp1,,1,SIGNED
168,10003845979.Vmn2r62,black,liver,,NO,Vmn2r62,,1,SIGNED
169,1484546.Crmp1,black,liver,,NO,Crmp1,,1,SIGNED
170,507128.Prl5a1,black,liver,,NO,Prl5a1,,1,SIGNED
171,10003837765.Gm47728,black,liver,,NO,Gm47728,,1,SIGNED
172,10002942495.Olfr26,black,liver,,NO,Olfr26,,1,SIGNED
173,10002926154.H2al1o,black,liver,,NO,H2al1o,,1,SIGNED
174,517615.Gdf3,black,liver,,NO,Gdf3,,1,SIGNED
175,1012080.Hoxb9,black,liver,,NO,Hoxb9,,1,SIGNED
176,504458.Gm44634,black,liver,,NO,Gm44634,,1,SIGNED
177,10002918993.Btg4,black,liver,,NO,Btg4,,1,SIGNED
178,10002899829.Spag16,black,liver,,NO,Spag16,,1,SIGNED
179,10002172358.Krt14,black,liver,,NO,Krt14,,1,SIGNED
180,510776.Gnptab,black,liver,,NO,Gnptab,,1,SIGNED
181,497652.Tle2,black,liver,,NO,Tle2,,1,SIGNED
182,513476.Nbea,black,liver,,NO,Nbea,,1,SIGNED
183,10002945962.Pea15a,black,liver,,NO,Pea15a,,1,SIGNED
184,10002925054.Gm13543,black,liver,,NO,Gm13543,,1,SIGNED
185,10004035394.Olfr213,black,liver,,NO,Olfr213,,1,SIGNED
186,10002922343.Gm44320,black,liver,,NO,Gm44320,,1,SIGNED
187,517672.Actl11,black,liver,,NO,Actl11,,1,SIGNED
188,509949.Nxf7,black,liver,,NO,Nxf7,,1,SIGNED
189,10002934091.Gm48123,black,liver,,NO,Gm48123,,1,SIGNED
190,10003841957.Patl1,black,liver,,NO,Patl1,,1,SIGNED
191,10004037883.Cdhr4,black,liver,,NO,Cdhr4,,1,SIGNED
192,10004037983.Paqr3,black,liver,,NO,Paqr3,,1,SIGNED
193,1015447.Col6a2,black,liver,,NO,Col6a2,,1,SIGNED
194,10003837753.Gm48396,black,liver,,NO,Gm48396,,1,SIGNED
195,10002913243.Spsb1,black,liver,,NO,Spsb1,,1,SIGNED
196,512281.Crygf,black,liver,,NO,Crygf,,1,SIGNED
197,10003837358.Akp-ps1,black,liver,,NO,Akp-ps1,,1,SIGNED
