"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0062187","anandamide 8,9 epoxidase activity",4.13447054370408e-13,9.41625666328605e-09,7.25110005851471,10,0.5,0.52704627669473,5,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp2d34, Cyp2d11","black","liver"
"GO:0062188","anandamide 11,12 epoxidase activity",4.13447054370408e-13,9.41625666328605e-09,7.25110005851471,10,0.5,0.52704627669473,5,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp2d34, Cyp2d11","black","liver"
"GO:0052695","cellular glucuronidation",7.33701988053781e-12,6.11848781516421e-08,6.8509325787447,11,0.454545454545455,0.522232967867094,5,"Ugt2b5, Ugt2b1, Ugt2b38, Ugt2b37, Ugt2b36","black","liver"
"GO:0062186","anandamide epoxidase activity",7.33701988053781e-12,6.11848781516421e-08,6.8509325787447,11,0.454545454545455,0.522232967867094,5,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp2d34, Cyp2d11","black","liver"
"GO:0062189","anandamide 14,15 epoxidase activity",7.33701988053781e-12,6.11848781516421e-08,6.8509325787447,11,0.454545454545455,0.522232967867094,5,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp2d34, Cyp2d11","black","liver"
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",1.46549350432679e-09,6.06847537473501e-06,6.04811609653881,53,0.207547169811321,0.409431621323894,11,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp27b1, Cyp4a12b, Cyp7b1, Akr1c13, Akr1c6, Cyp2d34, Cyp2d11, Akr1c12","black","liver"
"GO:0033116","endoplasmic reticulum-Golgi intermediate compartment membrane",3.50731532705595e-09,1.33131844289499e-05,5.90589772482346,14,0.357142857142857,0.497245158098847,5,"Nat8, Nat8f5, Sting1, Vps13b, Nat8f6","black","liver"
"GO:0006063","uronic acid metabolic process",1.58668287397745e-08,5.16238606497664e-05,5.65191691559109,15,0.333333333333333,0.487950036474267,5,"Ugt2b5, Ugt2b1, Ugt2b38, Ugt2b37, Ugt2b36","black","liver"
"GO:0019585","glucuronate metabolic process",1.58668287397745e-08,5.16238606497664e-05,5.65191691559109,15,0.333333333333333,0.487950036474267,5,"Ugt2b5, Ugt2b1, Ugt2b38, Ugt2b37, Ugt2b36","black","liver"
"GO:0014016","neuroblast differentiation",3.0434814934921e-07,6.28061761646161e-05,5.12073433975779,7,0.428571428571429,0.534522483824849,3,"Ascl1, Notch3, Six3","black","liver"
"GO:0047743","chlordecone reductase activity",3.0434814934921e-07,6.28061761646161e-05,5.12073433975779,7,0.428571428571429,0.534522483824849,3,"Akr1c13, Akr1c6, Akr1c12","black","liver"
"GO:0005640","nuclear outer membrane",5.37750560525296e-07,6.28061761646161e-05,5.01232936264853,18,0.277777777777778,0.460888598962477,5,"Ltc4s, Ugt2b5, Ugt2b1, Ugt2b38, Ugt2b37","black","liver"
"GO:0098917","retrograde trans-synaptic signaling",4.91100398902766e-06,0.000185486095937156,4.56855406441933,14,0.285714285714286,0.468807230938495,4,"Bdnf, Plcb1, Tenm2, Farp1","black","liver"
"GO:0060977","coronary vasculature morphogenesis",8.45697153217806e-06,0.0003188866335188,4.45327654654955,29,0.206896551724138,0.412250820394885,6,"Lrp2, Nrp1, Tgfbr3, Zfpm2, Sgcd, Setd2","black","liver"
"GO:0004468","lysine N-acetyltransferase activity, acting on acetyl phosphate as donor",1.20205170126564e-05,0.000452134227850122,4.3772153929448,9,0.333333333333333,0.5,3,"Nat8, Nat8f5, Nat8f6","black","liver"
"GO:2000172","regulation of branching morphogenesis of a nerve",1.20205170126564e-05,0.000452134227850122,4.3772153929448,9,0.333333333333333,0.5,3,"Bcl11a, Shox2, Map3k13","black","liver"
"GO:0001758","retinal dehydrogenase activity",1.30131552891211e-05,0.00048906701602266,4.35988375725241,15,0.266666666666667,0.457737708217063,4,"Aldh1a1, Akr1c13, Akr1c6, Akr1c12","black","liver"
"GO:0008046","axon guidance receptor activity",4.37506553045974e-05,0.00162681008091789,4.08672427301827,10,0.3,0.483045891539648,3,"Palld, Ephb1, Hmcn2","black","liver"
"GO:0047086","ketosteroid monooxygenase activity",4.37506553045974e-05,0.00162681008091789,4.08672427301827,10,0.3,0.483045891539648,3,"Akr1c13, Akr1c6, Akr1c12","black","liver"
"GO:0060976","coronary vasculature development",7.3242913314342e-05,0.00269920283290314,3.96549784764693,64,0.140625,0.350382444113368,9,"Lrp2, Nrp1, Tgfbr3, Zfpm2, Sgcd, Sufu, Vangl2, Dync2h1, Setd2","black","liver"
"GO:0015020","glucuronosyltransferase activity",7.4419397904979e-05,0.00274034242083411,3.96169554278697,25,0.2,0.408248290463863,5,"Ugt2b5, Ugt2b1, Ugt2b38, Ugt2b37, Ugt2b36","black","liver"
"GO:0060080","inhibitory postsynaptic potential",0.000230715361585476,0.0084614208697411,3.68276772496868,19,0.210526315789474,0.418853908291695,4,"Bdnf, Cx3cl1, Igsf9b, Nlgn3","black","liver"
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",0.000302368310246326,0.0110183012253761,3.61326250358002,59,0.135593220338983,0.345294832472996,8,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp4a12b, Cyp7b1, Cyp2u1, Cyp2d34, Cyp2d11","black","liver"
"GO:0010882","regulation of cardiac muscle contraction by calcium ion signaling",0.000305741974683471,0.0111234400533803,3.61038573346943,12,0.25,0.452267016866645,3,"Dmd, Slc8a1, Hdac4","black","liver"
"GO:0031994","insulin-like growth factor I binding",0.000305741974683471,0.0111234400533803,3.61038573346943,12,0.25,0.452267016866645,3,"Lrp2, Igf1r, Itgav","black","liver"
"GO:0003402","planar cell polarity pathway involved in axis elongation",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Sfrp5, Vangl2","black","liver"
"GO:0005021","vascular endothelial growth factor receptor activity",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Flt4, Nrp1","black","liver"
"GO:0021902","commitment of neuronal cell to specific neuron type in forebrain",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Ascl1, Tbr1","black","liver"
"GO:0032394","MHC class Ib receptor activity",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Cd160, Kir3dl2","black","liver"
"GO:0038089","positive regulation of cell migration by vascular endothelial growth factor signaling pathway",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Hspb1, Prkd1","black","liver"
"GO:0046668","regulation of retinal cell programmed cell death",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Bdnf, Casp6","black","liver"
"GO:0071947","protein deubiquitination involved in ubiquitin-dependent protein catabolic process",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Usp9x, Zranb1","black","liver"
"GO:0097267","omega-hydroxylase P450 pathway",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Cyp4a12b, Cyp2u1","black","liver"
"GO:0097539","ciliary transition fiber",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Cep83, Cep164","black","liver"
"GO:0097577","sequestering of iron ion",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Ftmt, Ftdc1","black","liver"
"GO:1990430","extracellular matrix protein binding",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Itgav, Cd248","black","liver"
"GO:0004497","monooxygenase activity",0.000417335654562478,0.0149800150238935,3.52887154373353,124,0.104838709677419,0.307588268436269,13,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp27b1, Cyp4a12b, Cyp7b1, Akr1c13, Cyp2u1, Akr1c6, Cyp2d34, Agmo, Cyp2d11, Akr1c12","black","liver"
"GO:0045211","postsynaptic membrane",0.00047443656969226,0.016989454205568,3.49478905216615,308,0.0811688311688312,0.273538635450226,25,"Actn2, Cacna1e, Cacng2, Cdh9, Dmd, Hspb1, Nrp1, Oprk1, Ptprz1, Slc8a1, Tenm2, Nbea, Syne1, Nrgn, Chrnb3, Grm6, Lzts1, Lrrtm3, Farp1, Igsf9b, Grin3a, Slc1a7, Kctd8, Nlgn3, Prr7","black","liver"
"GO:0048668","collateral sprouting",0.000611548111594473,0.0218650050887977,3.42644032986325,30,0.166666666666667,0.379049021789452,5,"Bdnf, Crabp2, Bcl11a, Prkg1, Ulk2","black","liver"
"GO:0006957","complement activation, alternative pathway",0.000647327862503655,0.0230718185735849,3.41096758685553,13,0.230769230769231,0.438529009653515,3,"Cfd, C9, Susd4","black","liver"
"GO:0016004","phospholipase activator activity",0.000647327862503655,0.0230718185735849,3.41096758685553,13,0.230769230769231,0.438529009653515,3,"Gnaq, Lck, Ccl8","black","liver"
"GO:0048505","regulation of timing of cell differentiation",0.000647327862503655,0.0230718185735849,3.41096758685553,13,0.230769230769231,0.438529009653515,3,"Jag1, Ascl1, Serpine2","black","liver"
"GO:0048672","positive regulation of collateral sprouting",0.000647327862503655,0.0230718185735849,3.41096758685553,13,0.230769230769231,0.438529009653515,3,"Bdnf, Crabp2, Bcl11a","black","liver"
"GO:0070330","aromatase activity",0.000858165749870743,0.0305147930574647,3.33331871782637,31,0.161290322580645,0.373878250552983,5,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp4a12b, Cyp2d11","black","liver"
"GO:0007413","axonal fasciculation",0.00100452436303344,0.0355801592038673,3.28925649179222,22,0.181818181818182,0.394771016975861,4,"Casp6, Nrp1, Ptprz1, Crtac1","black","liver"
"GO:0048670","regulation of collateral sprouting",0.00100452436303344,0.0355801592038673,3.28925649179222,22,0.181818181818182,0.394771016975861,4,"Bdnf, Crabp2, Bcl11a, Ulk2","black","liver"
"GO:0106030","neuron projection fasciculation",0.00100452436303344,0.0355801592038673,3.28925649179222,22,0.181818181818182,0.394771016975861,4,"Casp6, Nrp1, Ptprz1, Crtac1","black","liver"
"GO:0005978","glycogen biosynthetic process",0.00102757253482966,0.0363400069576793,3.2828666710528,42,0.142857142857143,0.354168801660573,6,"Irs1, Sorbs1, Gbe1, Nhlrc1, Gys2, Prkag3","black","liver"
"GO:0009250","glucan biosynthetic process",0.00102757253482966,0.0363400069576793,3.2828666710528,42,0.142857142857143,0.354168801660573,6,"Irs1, Sorbs1, Gbe1, Nhlrc1, Gys2, Prkag3","black","liver"
"GO:0022841","potassium ion leak channel activity",0.00123267164498797,0.038304373092837,3.2312104040152,14,0.214285714285714,0.42581531362632,3,"Kcnk2, Kcnk12, Kcnk13","black","liver"
"GO:0060979","vasculogenesis involved in coronary vascular morphogenesis",0.00123267164498797,0.038304373092837,3.2312104040152,14,0.214285714285714,0.42581531362632,3,"Nrp1, Tgfbr3, Zfpm2","black","liver"
"GO:2000353","positive regulation of endothelial cell apoptotic process",0.00123267164498797,0.038304373092837,3.2312104040152,14,0.214285714285714,0.42581531362632,3,"Plcg1, Cd160, Cd248","black","liver"
"GO:0002072","optic cup morphogenesis involved in camera-type eye development",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Aldh1a1, Phactr4","black","liver"
"GO:0002151","G-quadruplex RNA binding",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Aff2, Patl1","black","liver"
"GO:0002692","negative regulation of cellular extravasation",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Plcb1, Abr","black","liver"
"GO:0015636","short-chain fatty acid transmembrane transporter activity",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Slc22a30, Slc22a28","black","liver"
"GO:0034983","peptidyl-lysine deacetylation",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Sirt3, Hdac4","black","liver"
"GO:0036438","maintenance of lens transparency",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Aldh1a1, Vps13b","black","liver"
"GO:0045959","negative regulation of complement activation, classical pathway",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"C4bp, Susd4","black","liver"
"GO:0061156","pulmonary artery morphogenesis",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Lrp2, Jag1","black","liver"
"GO:0061438","renal system vasculature morphogenesis",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Notch3, Nrp1","black","liver"
"GO:0061439","kidney vasculature morphogenesis",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Notch3, Nrp1","black","liver"
"GO:0090273","regulation of somatostatin secretion",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Cacna1e, Irs1","black","liver"
"GO:0097151","positive regulation of inhibitory postsynaptic potential",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Igsf9b, Nlgn3","black","liver"
"GO:1990009","retinal cell apoptotic process",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Thrb, Grk1","black","liver"
"GO:2000969","positive regulation of AMPA receptor activity",0.00123869026489021,0.038304373092837,3.22981803815407,7,0.285714285714286,0.487950036474267,2,"Cacng2, Nlgn3","black","liver"
"GO:0006956","complement activation",0.00131488541327629,0.0406329922488026,3.21271096474939,43,0.13953488372093,0.350604603563426,6,"Cfd, C4bp, C9, Fcnb, Mbl1, Susd4","black","liver"
"GO:0008210","estrogen metabolic process",0.00158735865549176,0.0489534101270477,3.15821972461171,33,0.151515151515152,0.36410954062721,5,"Ugt2b5, Ugt2b1, Ugt2b38, Ugt2b37, Ugt2b36","black","liver"
"GO:0043194","axon initial segment",1.94436911016282e-08,0.000122366573796443,5.61687950693758,25,0.36,0.489897948556636,9,"Ank3, Cck, Dlg2, Lgi1, Sptbn4, Camk2d, Kcnq3, Nav1, Nrcam","brown","liver"
"GO:0045211","postsynaptic membrane",2.14567332790239e-08,0.000122366573796443,5.59982578465041,308,0.152597402597403,0.360184182335868,47,"Chrna6, Ank3, Cacna1e, Cacna2d1, Ctnna2, Cnih2, Slc6a3, Dcc, Drd3, Erbb4, Gabra2, Gabra6, Gabrb1, Gabre, Gabrg2, Gria2, Grid2, Grin2a, Hcn1, Htr3a, Kcnd2, Ntrk3, Oprm1, P2rx1, Ptprt, Slc16a7, Slc8a1, Dlg2, Mpp2, Cacna1h, Syne1, Atad1, Grm7, Ank2, Gabra5, Slc8a3, Lzts1, Chrna9, Kctd12, Grin3a, Chrm2, Neto1, Kcnc2, Gphn, Shc4, Nrcam, Il1rapl1","brown","liver"
