"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue","fraction_overlap"
"GO:0062187","anandamide 8,9 epoxidase activity",4.13447054370408e-13,9.41625666328605e-09,7.25110005851471,10,0.5,0.52704627669473,5,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp2d34, Cyp2d11","black","liver",0.5
"GO:0062188","anandamide 11,12 epoxidase activity",4.13447054370408e-13,9.41625666328605e-09,7.25110005851471,10,0.5,0.52704627669473,5,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp2d34, Cyp2d11","black","liver",0.5
"GO:0052695","cellular glucuronidation",7.33701988053781e-12,6.11848781516421e-08,6.8509325787447,11,0.454545454545455,0.522232967867094,5,"Ugt2b5, Ugt2b1, Ugt2b38, Ugt2b37, Ugt2b36","black","liver",0.454545454545455
"GO:0062186","anandamide epoxidase activity",7.33701988053781e-12,6.11848781516421e-08,6.8509325787447,11,0.454545454545455,0.522232967867094,5,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp2d34, Cyp2d11","black","liver",0.454545454545455
"GO:0062189","anandamide 14,15 epoxidase activity",7.33701988053781e-12,6.11848781516421e-08,6.8509325787447,11,0.454545454545455,0.522232967867094,5,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp2d34, Cyp2d11","black","liver",0.454545454545455
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",1.46549350432679e-09,6.06847537473501e-06,6.04811609653881,53,0.207547169811321,0.409431621323894,11,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp27b1, Cyp4a12b, Cyp7b1, Akr1c13, Akr1c6, Cyp2d34, Cyp2d11, Akr1c12","black","liver",0.207547169811321
"GO:0033116","endoplasmic reticulum-Golgi intermediate compartment membrane",3.50731532705595e-09,1.33131844289499e-05,5.90589772482346,14,0.357142857142857,0.497245158098847,5,"Nat8, Nat8f5, Sting1, Vps13b, Nat8f6","black","liver",0.357142857142857
"GO:0006063","uronic acid metabolic process",1.58668287397745e-08,5.16238606497664e-05,5.65191691559109,15,0.333333333333333,0.487950036474267,5,"Ugt2b5, Ugt2b1, Ugt2b38, Ugt2b37, Ugt2b36","black","liver",0.333333333333333
"GO:0019585","glucuronate metabolic process",1.58668287397745e-08,5.16238606497664e-05,5.65191691559109,15,0.333333333333333,0.487950036474267,5,"Ugt2b5, Ugt2b1, Ugt2b38, Ugt2b37, Ugt2b36","black","liver",0.333333333333333
"GO:0005640","nuclear outer membrane",5.37750560525296e-07,6.28061761646161e-05,5.01232936264853,18,0.277777777777778,0.460888598962477,5,"Ltc4s, Ugt2b5, Ugt2b1, Ugt2b38, Ugt2b37","black","liver",0.277777777777778
"GO:0098917","retrograde trans-synaptic signaling",4.91100398902766e-06,0.000185486095937156,4.56855406441933,14,0.285714285714286,0.468807230938495,4,"Bdnf, Plcb1, Tenm2, Farp1","black","liver",0.285714285714286
"GO:0060977","coronary vasculature morphogenesis",8.45697153217806e-06,0.0003188866335188,4.45327654654955,29,0.206896551724138,0.412250820394885,6,"Lrp2, Nrp1, Tgfbr3, Zfpm2, Sgcd, Setd2","black","liver",0.206896551724138
"GO:0001758","retinal dehydrogenase activity",1.30131552891211e-05,0.00048906701602266,4.35988375725241,15,0.266666666666667,0.457737708217063,4,"Aldh1a1, Akr1c13, Akr1c6, Akr1c12","black","liver",0.266666666666667
"GO:0060976","coronary vasculature development",7.3242913314342e-05,0.00269920283290314,3.96549784764693,64,0.140625,0.350382444113368,9,"Lrp2, Nrp1, Tgfbr3, Zfpm2, Sgcd, Sufu, Vangl2, Dync2h1, Setd2","black","liver",0.140625
"GO:0015020","glucuronosyltransferase activity",7.4419397904979e-05,0.00274034242083411,3.96169554278697,25,0.2,0.408248290463863,5,"Ugt2b5, Ugt2b1, Ugt2b38, Ugt2b37, Ugt2b36","black","liver",0.2
"GO:0060080","inhibitory postsynaptic potential",0.000230715361585476,0.0084614208697411,3.68276772496868,19,0.210526315789474,0.418853908291695,4,"Bdnf, Cx3cl1, Igsf9b, Nlgn3","black","liver",0.210526315789474
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",0.000302368310246326,0.0110183012253761,3.61326250358002,59,0.135593220338983,0.345294832472996,8,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp4a12b, Cyp7b1, Cyp2u1, Cyp2d34, Cyp2d11","black","liver",0.135593220338983
"GO:0004497","monooxygenase activity",0.000417335654562478,0.0149800150238935,3.52887154373353,124,0.104838709677419,0.307588268436269,13,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp27b1, Cyp4a12b, Cyp7b1, Akr1c13, Cyp2u1, Akr1c6, Cyp2d34, Agmo, Cyp2d11, Akr1c12","black","liver",0.104838709677419
"GO:0045211","postsynaptic membrane",0.00047443656969226,0.016989454205568,3.49478905216615,308,0.0811688311688312,0.273538635450226,25,"Actn2, Cacna1e, Cacng2, Cdh9, Dmd, Hspb1, Nrp1, Oprk1, Ptprz1, Slc8a1, Tenm2, Nbea, Syne1, Nrgn, Chrnb3, Grm6, Lzts1, Lrrtm3, Farp1, Igsf9b, Grin3a, Slc1a7, Kctd8, Nlgn3, Prr7","black","liver",0.0811688311688312
"GO:0048668","collateral sprouting",0.000611548111594473,0.0218650050887977,3.42644032986325,30,0.166666666666667,0.379049021789452,5,"Bdnf, Crabp2, Bcl11a, Prkg1, Ulk2","black","liver",0.166666666666667
"GO:0070330","aromatase activity",0.000858165749870743,0.0305147930574647,3.33331871782637,31,0.161290322580645,0.373878250552983,5,"Cyp2b19, Cyp2d10, Cyp2d9, Cyp4a12b, Cyp2d11","black","liver",0.161290322580645
"GO:0007413","axonal fasciculation",0.00100452436303344,0.0355801592038673,3.28925649179222,22,0.181818181818182,0.394771016975861,4,"Casp6, Nrp1, Ptprz1, Crtac1","black","liver",0.181818181818182
"GO:0048670","regulation of collateral sprouting",0.00100452436303344,0.0355801592038673,3.28925649179222,22,0.181818181818182,0.394771016975861,4,"Bdnf, Crabp2, Bcl11a, Ulk2","black","liver",0.181818181818182
"GO:0106030","neuron projection fasciculation",0.00100452436303344,0.0355801592038673,3.28925649179222,22,0.181818181818182,0.394771016975861,4,"Casp6, Nrp1, Ptprz1, Crtac1","black","liver",0.181818181818182
"GO:0005978","glycogen biosynthetic process",0.00102757253482966,0.0363400069576793,3.2828666710528,42,0.142857142857143,0.354168801660573,6,"Irs1, Sorbs1, Gbe1, Nhlrc1, Gys2, Prkag3","black","liver",0.142857142857143
"GO:0009250","glucan biosynthetic process",0.00102757253482966,0.0363400069576793,3.2828666710528,42,0.142857142857143,0.354168801660573,6,"Irs1, Sorbs1, Gbe1, Nhlrc1, Gys2, Prkag3","black","liver",0.142857142857143
