"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0014016","neuroblast differentiation",3.0434814934921e-07,6.28061761646161e-05,5.12073433975779,7,0.428571428571429,0.534522483824849,3,"Ascl1, Notch3, Six3","black","liver"
"GO:0047743","chlordecone reductase activity",3.0434814934921e-07,6.28061761646161e-05,5.12073433975779,7,0.428571428571429,0.534522483824849,3,"Akr1c13, Akr1c6, Akr1c12","black","liver"
"GO:0004468","lysine N-acetyltransferase activity, acting on acetyl phosphate as donor",1.20205170126564e-05,0.000452134227850122,4.3772153929448,9,0.333333333333333,0.5,3,"Nat8, Nat8f5, Nat8f6","black","liver"
"GO:2000172","regulation of branching morphogenesis of a nerve",1.20205170126564e-05,0.000452134227850122,4.3772153929448,9,0.333333333333333,0.5,3,"Bcl11a, Shox2, Map3k13","black","liver"
"GO:0008046","axon guidance receptor activity",4.37506553045974e-05,0.00162681008091789,4.08672427301827,10,0.3,0.483045891539648,3,"Palld, Ephb1, Hmcn2","black","liver"
"GO:0047086","ketosteroid monooxygenase activity",4.37506553045974e-05,0.00162681008091789,4.08672427301827,10,0.3,0.483045891539648,3,"Akr1c13, Akr1c6, Akr1c12","black","liver"
"GO:0010882","regulation of cardiac muscle contraction by calcium ion signaling",0.000305741974683471,0.0111234400533803,3.61038573346943,12,0.25,0.452267016866645,3,"Dmd, Slc8a1, Hdac4","black","liver"
"GO:0031994","insulin-like growth factor I binding",0.000305741974683471,0.0111234400533803,3.61038573346943,12,0.25,0.452267016866645,3,"Lrp2, Igf1r, Itgav","black","liver"
"GO:0003402","planar cell polarity pathway involved in axis elongation",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Sfrp5, Vangl2","black","liver"
"GO:0005021","vascular endothelial growth factor receptor activity",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Flt4, Nrp1","black","liver"
"GO:0021902","commitment of neuronal cell to specific neuron type in forebrain",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Ascl1, Tbr1","black","liver"
"GO:0032394","MHC class Ib receptor activity",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Cd160, Kir3dl2","black","liver"
"GO:0038089","positive regulation of cell migration by vascular endothelial growth factor signaling pathway",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Hspb1, Prkd1","black","liver"
"GO:0046668","regulation of retinal cell programmed cell death",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Bdnf, Casp6","black","liver"
"GO:0071947","protein deubiquitination involved in ubiquitin-dependent protein catabolic process",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Usp9x, Zranb1","black","liver"
"GO:0097267","omega-hydroxylase P450 pathway",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Cyp4a12b, Cyp2u1","black","liver"
"GO:0097539","ciliary transition fiber",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Cep83, Cep164","black","liver"
"GO:0097577","sequestering of iron ion",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Ftmt, Ftdc1","black","liver"
"GO:1990430","extracellular matrix protein binding",0.000352000202983538,0.0126747899177076,3.57367915862109,6,0.333333333333333,0.516397779494322,2,"Itgav, Cd248","black","liver"
