,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
0,10002942937.Gm28173,antiquewhite4,liver,,NO,Gm28173,,1,UNSIGNED
1,10002915709.Kdm5d,antiquewhite4,liver,,NO,Kdm5d,,1,UNSIGNED
2,508181.Gm28356,antiquewhite4,liver,,NO,Gm28356,,1,UNSIGNED
3,10002897002.Ddx3y,antiquewhite4,liver,,NO,Ddx3y,,1,UNSIGNED
4,1365854.Uty,antiquewhite4,liver,,NO,Uty,,1,UNSIGNED
5,10004036990.Uty,antiquewhite4,liver,,NO,Uty,,1,UNSIGNED
6,10004036778.Ddx3y,antiquewhite4,liver,,NO,Ddx3y,,1,UNSIGNED
7,10004034679.Gm29089,antiquewhite4,liver,,NO,Gm29089,,1,UNSIGNED
8,10004037837.Gm29089,antiquewhite4,liver,,NO,Gm29089,,1,UNSIGNED
9,10004036613.Gm29089,antiquewhite4,liver,,NO,Gm29089,,1,UNSIGNED
10,10004036745.Gm21661,antiquewhite4,liver,,NO,Gm21661,,1,UNSIGNED
11,516794.Gm29089,antiquewhite4,liver,,NO,Gm29089,,1,UNSIGNED
12,10003844598.Gm31335,antiquewhite4,liver,,NO,Gm31335,,1,UNSIGNED
13,10003843556.Gm29277,antiquewhite4,liver,,NO,Gm29277,,1,UNSIGNED
14,10004035420.Pbdc1,antiquewhite4,liver,,NO,Pbdc1,,1,UNSIGNED
15,1011319.Xist,antiquewhite4,liver,,NO,Xist,,1,UNSIGNED
16,10004034596.Gm20481,bisque4,liver,,NO,Gm20481,,1,UNSIGNED
17,10003843519.Rack1,bisque4,liver,,NO,Rack1,,1,UNSIGNED
18,10003842931.B020004C17Rik,bisque4,liver,,NO,B020004C17Rik,,1,UNSIGNED
19,515826.Gm49322,bisque4,liver,,NO,Gm49322,,1,UNSIGNED
20,10004033532.Gng8,bisque4,liver,,NO,Gng8,,1,UNSIGNED
21,10003836567.Gm5329,bisque4,liver,,NO,Gm5329,,1,UNSIGNED
22,10002903366.Platr4,bisque4,liver,,NO,Platr4,,1,UNSIGNED
23,518860.Adrb3,bisque4,liver,,NO,Adrb3,,1,UNSIGNED
24,512887.2610037D02Rik,bisque4,liver,,NO,2610037D02Rik,,1,UNSIGNED
25,10002899883.Colq,bisque4,liver,,NO,Colq,,1,UNSIGNED
26,10002678687.Mchr1,bisque4,liver,,NO,Mchr1,,1,UNSIGNED
27,10002913609.Gm9195,bisque4,liver,,NO,Gm9195,,1,UNSIGNED
28,10002927212.Macrod2os1,bisque4,liver,,NO,Macrod2os1,,1,UNSIGNED
29,10002919285.Setd7,bisque4,liver,,NO,Setd7,,1,UNSIGNED
30,10004033952.Ifnz,bisque4,liver,,NO,Ifnz,,1,UNSIGNED
31,10003842449.Eif4g2,bisque4,liver,,NO,Eif4g2,,1,UNSIGNED
32,10003841845.Hecw2,bisque4,liver,,NO,Hecw2,,1,UNSIGNED
33,519867.Mir9-3hg,bisque4,liver,,NO,Mir9-3hg,,1,UNSIGNED
34,10003842041.Gm9925,bisque4,liver,,NO,Gm9925,,1,UNSIGNED
35,10002935133.Gm14267,bisque4,liver,,NO,Gm14267,,1,UNSIGNED
36,10004037075.Cd300lf,bisque4,liver,,NO,Cd300lf,,1,UNSIGNED
37,10002950699.Ephb2,bisque4,liver,,NO,Ephb2,,1,UNSIGNED
38,511435.Ly6m,bisque4,liver,,NO,Ly6m,,1,UNSIGNED
39,10003119127.Gm2379,bisque4,liver,,NO,Gm2379,,1,UNSIGNED
40,10003844515.A330033J07Rik,bisque4,liver,,NO,A330033J07Rik,,1,UNSIGNED
41,10002910072.Rac2,black,liver,,NO,Rac2,,1,UNSIGNED
42,10002913371.Aif1,black,liver,,NO,Aif1,,1,UNSIGNED
43,1015779.Adgre1,black,liver,,NO,Adgre1,,1,UNSIGNED
44,499185.Ptprc,black,liver,,NO,Ptprc,,1,UNSIGNED
45,511198.Slc15a3,black,liver,,NO,Slc15a3,,1,UNSIGNED
46,1008835.Apbb1ip,black,liver,,NO,Apbb1ip,,1,UNSIGNED
47,10002910872.Itgal,black,liver,,NO,Itgal,,1,UNSIGNED
48,10002951076.Gm49792,black,liver,,NO,Gm49792,,1,UNSIGNED
49,10003839411.Cd300c2,black,liver,,NO,Cd300c2,,1,UNSIGNED
50,510594.Lcp2,black,liver,,NO,Lcp2,,1,UNSIGNED
51,10002909411.Nckap1l,black,liver,,NO,Nckap1l,,1,UNSIGNED
52,10002897482.Themis2,black,liver,,NO,Themis2,,1,UNSIGNED
53,503753.Gbp3,black,liver,,NO,Gbp3,,1,UNSIGNED
54,517650.Ptpn18,black,liver,,NO,Ptpn18,,1,UNSIGNED
55,10004038178.Cd300c2,black,liver,,NO,Cd300c2,,1,UNSIGNED
56,516643.Cd53,black,liver,,NO,Cd53,,1,UNSIGNED
57,1364805.Tbxas1,black,liver,,NO,Tbxas1,,1,UNSIGNED
58,515919.Il10ra,black,liver,,NO,Il10ra,,1,UNSIGNED
59,1015419.Axl,black,liver,,NO,Axl,,1,UNSIGNED
60,1011480.Mpeg1,black,liver,,NO,Mpeg1,,1,UNSIGNED
61,10002943502.Il2rg,black,liver,,NO,Il2rg,,1,UNSIGNED
62,518418.C1qc,black,liver,,NO,C1qc,,1,UNSIGNED
63,505903.Inpp5d,black,liver,,NO,Inpp5d,,1,UNSIGNED
64,506317.Irf8,black,liver,,NO,Irf8,,1,UNSIGNED
65,10004035375.Sirpa,black,liver,,NO,Sirpa,,1,UNSIGNED
66,10002678112.Rgs19,black,liver,,NO,Rgs19,,1,UNSIGNED
67,510054.Evl,black,liver,,NO,Evl,,1,UNSIGNED
68,518339.H2-M3,black,liver,,NO,H2-M3,,1,UNSIGNED
69,515879.Tyrobp,black,liver,,NO,Tyrobp,,1,UNSIGNED
70,10002919312.C1qa,black,liver,,NO,C1qa,,1,UNSIGNED
71,512599.C1qb,black,liver,,NO,C1qb,,1,UNSIGNED
72,10002912119.Cfp,black,liver,,NO,Cfp,,1,UNSIGNED
73,512545.Gngt2,black,liver,,NO,Gngt2,,1,UNSIGNED
74,507810.Plac8,black,liver,,NO,Plac8,,1,UNSIGNED
75,502070.Soat1,black,liver,,NO,Soat1,,1,UNSIGNED
76,498692.Coro1a,black,liver,,NO,Coro1a,,1,UNSIGNED
77,1008690.Lst1,black,liver,,NO,Lst1,,1,UNSIGNED
78,508883.Uba7,black,liver,,NO,Uba7,,1,UNSIGNED
79,10002911719.Fermt3,black,liver,,NO,Fermt3,,1,UNSIGNED
80,502449.Ms4a6b,black,liver,,NO,Ms4a6b,,1,UNSIGNED
81,498629.Fcgr1,black,liver,,NO,Fcgr1,,1,UNSIGNED
82,10002948729.Cd86,black,liver,,NO,Cd86,,1,UNSIGNED
83,511359.Cd44,black,liver,,NO,Cd44,,1,UNSIGNED
84,503508.Sdc3,black,liver,,NO,Sdc3,,1,UNSIGNED
85,10002919118.Evi2,black,liver,,NO,Evi2,,1,UNSIGNED
86,10002898751.Bcl2a1d,black,liver,,NO,Bcl2a1d,,1,UNSIGNED
87,10002914503.Batf3,black,liver,,NO,Batf3,,1,UNSIGNED
88,497955.Phf11a,black,liver,,NO,Phf11a,,1,UNSIGNED
89,10002945762.Lair1,black,liver,,NO,Lair1,,1,UNSIGNED
90,10004037852.H2-Q5,black,liver,,NO,H2-Q5,,1,UNSIGNED
91,504538.Ifit2,black,liver,,NO,Ifit2,,1,UNSIGNED
92,10002908408.Dock10,black,liver,,NO,Dock10,,1,UNSIGNED
93,10004036771.Bcl2a1a,black,liver,,NO,Bcl2a1a,,1,UNSIGNED
94,10004034561.Hk3,black,liver,,NO,Hk3,,1,UNSIGNED
95,10002948672.Msn,black,liver,,NO,Msn,,1,UNSIGNED
96,10002914071.Parp14,black,liver,,NO,Parp14,,1,UNSIGNED
97,10002897553.Clec1b,black,liver,,NO,Clec1b,,1,UNSIGNED
98,498767.Igsf6,black,liver,,NO,Igsf6,,1,UNSIGNED
99,517933.Ctss,black,liver,,NO,Ctss,,1,UNSIGNED
100,515842.Sh3kbp1,black,liver,,NO,Sh3kbp1,,1,UNSIGNED
101,504602.Adgre5,black,liver,,NO,Adgre5,,1,UNSIGNED
102,10002917155.Shisa5,black,liver,,NO,Shisa5,,1,UNSIGNED
103,1010838.Ccr5,black,liver,,NO,Ccr5,,1,UNSIGNED
104,10002172894.Trpm2,black,liver,,NO,Trpm2,,1,UNSIGNED
105,513066.Rnase6,black,liver,,NO,Rnase6,,1,UNSIGNED
106,10002896248.Adgre4,black,liver,,NO,Adgre4,,1,UNSIGNED
107,501761.Clec7a,black,liver,,NO,Clec7a,,1,UNSIGNED
108,10002919018.Vsig4,black,liver,,NO,Vsig4,,1,UNSIGNED
109,509324.Il10rb,black,liver,,NO,Il10rb,,1,UNSIGNED
110,10002913583.Dse,black,liver,,NO,Dse,,1,UNSIGNED
111,501419.Tlr2,black,liver,,NO,Tlr2,,1,UNSIGNED
112,10002172529.Ccl5,black,liver,,NO,Ccl5,,1,UNSIGNED
113,518083.Cd48,black,liver,,NO,Cd48,,1,UNSIGNED
114,10002678138.P2ry6,black,liver,,NO,P2ry6,,1,UNSIGNED
115,503314.Clec4f,black,liver,,NO,Clec4f,,1,UNSIGNED
116,10002915812.Was,black,liver,,NO,Was,,1,UNSIGNED
117,10004035839.Oas1g,black,liver,,NO,Oas1g,,1,UNSIGNED
118,503034.Abcg1,black,liver,,NO,Abcg1,,1,UNSIGNED
119,10002901720.Il18bp,black,liver,,NO,Il18bp,,1,UNSIGNED
120,10002905284.Fcgr4,black,liver,,NO,Fcgr4,,1,UNSIGNED
121,1012063.Ptgs1,black,liver,,NO,Ptgs1,,1,UNSIGNED
