"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue"
"GO:0000803","sex chromosome",0,0,9.70237692204715,37,0.027027027027027,0.164398987305357,1,"Xist","antiquewhite4","liver"
"GO:0000805","X chromosome",0,0,18.7920599820307,10,0.1,0.316227766016838,1,"Xist","antiquewhite4","liver"
"GO:0006349","regulation of gene expression by genomic imprinting",0,0,13.9782632864261,18,0.0555555555555556,0.235702260395516,1,"Xist","antiquewhite4","liver"
"GO:0006482","protein demethylation",0,0,12.6309160614653,22,0.0454545454545455,0.21320071635561,1,"Uty","antiquewhite4","liver"
"GO:0007549","dosage compensation",0,0,10.9817141026987,29,0.0344827586206897,0.185695338177052,1,"Xist","antiquewhite4","liver"
"GO:0008214","protein dealkylation",0,0,12.6309160614653,22,0.0454545454545455,0.21320071635561,1,"Uty","antiquewhite4","liver"
"GO:0009048","dosage compensation by inactivation of X chromosome",0,0,11.3870030744553,27,0.037037037037037,0.192450089729875,1,"Xist","antiquewhite4","liver"
"GO:0016577","histone demethylation",0,0,14.8337485292812,16,0.0625,0.25,1,"Uty","antiquewhite4","liver"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0,0,8.48165206304288,189,0.0105820105820106,0.102594947690813,2,"Kdm5d, Uty","antiquewhite4","liver"
"GO:0016706","2-oxoglutarate-dependent dioxygenase activity",0,0,16.5888208156425,51,0.0392156862745098,0.196039211763921,2,"Kdm5d, Uty","antiquewhite4","liver"
"GO:0030521","androgen receptor signaling pathway",0,0,9.98085441448768,35,0.0285714285714286,0.169030850945703,1,"Kdm5d","antiquewhite4","liver"
"GO:0032451","demethylase activity",0,0,18.9959066276004,39,0.0512820512820513,0.223455865030959,2,"Kdm5d, Uty","antiquewhite4","liver"
"GO:0032452","histone demethylase activity",0,0,24.2563103929099,24,0.0833333333333333,0.28232985128664,2,"Kdm5d, Uty","antiquewhite4","liver"
"GO:0032453","histone H3K4 demethylase activity",0,0,22.4779475779768,7,0.142857142857143,0.377964473009227,1,"Kdm5d","antiquewhite4","liver"
"GO:0040029","epigenetic regulation of gene expression",0,0,9.07436914585755,166,0.0120481927710843,0.109431135518903,2,"Uty, Xist","antiquewhite4","liver"
"GO:0043186","P granule",0,0,12.6309160614653,22,0.0454545454545455,0.21320071635561,1,"Ddx3y","antiquewhite4","liver"
"GO:0044666","MLL3/4 complex",0,0,17.9129680563506,11,0.0909090909090909,0.301511344577764,1,"Uty","antiquewhite4","liver"
"GO:0045495","pole plasm",0,0,12.6309160614653,22,0.0454545454545455,0.21320071635561,1,"Ddx3y","antiquewhite4","liver"
"GO:0050681","nuclear androgen receptor binding",0,0,11.6068851858553,26,0.0384615384615385,0.196116135138184,1,"Kdm5d","antiquewhite4","liver"
"GO:0051213","dioxygenase activity",0,0,13.4607477588235,77,0.025974025974026,0.160100788487652,2,"Kdm5d, Uty","antiquewhite4","liver"
"GO:0051864","histone H3K36 demethylase activity",0,0,18.7920599820307,10,0.1,0.316227766016838,1,"Uty","antiquewhite4","liver"
"GO:0060293","germ plasm",0,0,12.6309160614653,22,0.0454545454545455,0.21320071635561,1,"Ddx3y","antiquewhite4","liver"
"GO:0060706","cell differentiation involved in embryonic placenta development",0,0,10.9817141026987,29,0.0344827586206897,0.185695338177052,1,"Xist","antiquewhite4","liver"
"GO:0060712","spongiotrophoblast layer development",0,0,14.3871821692065,17,0.0588235294117647,0.242535625036333,1,"Xist","antiquewhite4","liver"
"GO:0060765","regulation of androgen receptor signaling pathway",0,0,12.3501253645785,23,0.0434782608695652,0.208514414057075,1,"Kdm5d","antiquewhite4","liver"
"GO:0070076","histone lysine demethylation",0,0,15.3241339774739,15,0.0666666666666667,0.258198889747161,1,"Uty","antiquewhite4","liver"
"GO:0140457","protein demethylase activity",0,0,24.2563103929099,24,0.0833333333333333,0.28232985128664,2,"Kdm5d, Uty","antiquewhite4","liver"
"GO:0003724","RNA helicase activity",1.33226762955019e-15,1.34855090057802e-12,7.99619274612551,54,0.0185185185185185,0.136082763487954,1,"Ddx3y","antiquewhite4","liver"
"GO:0008186","ATP-dependent activity, acting on RNA",4.21884749357559e-15,4.17757615939931e-12,7.84805546199225,56,0.0178571428571429,0.133630620956212,1,"Ddx3y","antiquewhite4","liver"
"GO:0070988","demethylation",7.32747196252603e-15,7.10141165729917e-12,7.776900962902,57,0.0175438596491228,0.132453235706504,1,"Uty","antiquewhite4","liver"
"GO:0086003","cardiac muscle cell contraction",5.92859095149834e-14,5.51116975185202e-11,7.50983518469195,61,0.0163934426229508,0.128036879932896,1,"Uty","antiquewhite4","liver"
"GO:0035097","histone methyltransferase complex",2.37143638059933e-13,2.16037854272599e-10,7.32602614439744,64,0.015625,0.125,1,"Uty","antiquewhite4","liver"
"GO:0033143","regulation of intracellular steroid hormone receptor signaling pathway",3.65929508916452e-13,3.26825277081262e-10,7.2675731549703,65,0.0153846153846154,0.124034734589208,1,"Kdm5d","antiquewhite4","liver"
"GO:0006338","chromatin remodeling",5.26161336722453e-11,4.60897093994379e-08,6.56333846623995,307,0.00651465798045603,0.0805814386102268,2,"Kdm5d, Uty","antiquewhite4","liver"
"GO:0070252","actin-mediated cell contraction",1.17875487148922e-10,1.01306196974215e-07,6.44204337932281,82,0.0121951219512195,0.110431526074847,1,"Uty","antiquewhite4","liver"
"GO:0019882","antigen processing and presentation",4.20956380864368e-10,3.55084502747629e-07,6.24605224022473,87,0.0114942528735632,0.107211253483779,1,"Kdm5d","antiquewhite4","liver"
"GO:0034708","methyltransferase complex",5.33758592879963e-10,4.42049161921496e-07,6.20884373205225,88,0.0113636363636364,0.106600358177805,1,"Uty","antiquewhite4","liver"
"GO:0030518","intracellular steroid hormone receptor signaling pathway",1.31104394007764e-09,1.06639377625958e-06,6.0660376804905,92,0.0108695652173913,0.104257207028537,1,"Kdm5d","antiquewhite4","liver"
"GO:0031507","heterochromatin formation",1.62181579277387e-09,1.29602998878684e-06,6.03176193195885,93,0.010752688172043,0.103695169473043,1,"Uty","antiquewhite4","liver"
"GO:0031490","chromatin DNA binding",2.99051539087714e-09,2.3485857940423e-06,5.93211801480606,96,0.0104166666666667,0.102062072615966,1,"Uty","antiquewhite4","liver"
"GO:0043401","steroid hormone mediated signaling pathway",3.63680419113166e-09,2.80773611705165e-06,5.89991884554724,97,0.0103092783505155,0.101534616513362,1,"Kdm5d","antiquewhite4","liver"
"GO:0070828","heterochromatin organization",1.08728936965008e-08,8.25433846459352e-06,5.7165180323646,103,0.00970873786407767,0.0985329278164293,1,"Uty","antiquewhite4","liver"
"GO:0030048","actin filament-based movement",1.28928749898449e-08,9.47210412560381e-06,5.68747860413752,104,0.00961538461538462,0.098058067569092,1,"Uty","antiquewhite4","liver"
"GO:0045814","negative regulation of gene expression, epigenetic",1.28928749898449e-08,9.47210412560381e-06,5.68747860413752,104,0.00961538461538462,0.098058067569092,1,"Uty","antiquewhite4","liver"
"GO:0001892","embryonic placenta development",2.109481522794e-08,1.50135755255104e-05,5.60277403602947,107,0.00934579439252336,0.0966736489045664,1,"Xist","antiquewhite4","liver"
"GO:0060048","cardiac muscle contraction",2.109481522794e-08,1.50135755255104e-05,5.60277403602947,107,0.00934579439252336,0.0966736489045664,1,"Uty","antiquewhite4","liver"
"GO:0002456","T cell mediated immunity",6.02458964937824e-08,4.22184705429506e-05,5.41806980240368,114,0.0087719298245614,0.0936585811581694,1,"Kdm5d","antiquewhite4","liver"
"GO:0048568","embryonic organ development",1.45757510949807e-07,0.000100594767026723,5.25783966620767,461,0.00433839479392625,0.0657948592284836,2,"Uty, Xist","antiquewhite4","liver"
"GO:0004386","helicase activity",1.52646223661179e-07,0.000103776649071145,5.2493386604415,121,0.00826446280991736,0.0909090909090909,1,"Ddx3y","antiquewhite4","liver"
"GO:0001650","fibrillar center",1.95313344386605e-07,0.00013083121818838,5.20374368872592,123,0.00813008130081301,0.0901669634667432,1,"Kdm5d","antiquewhite4","liver"
"GO:0001701","in utero embryonic development",2.04291296101999e-07,0.000134861862861537,5.19538982573469,471,0.00424628450106157,0.0650941614370058,2,"Uty, Xist","antiquewhite4","liver"
"GO:0016922","nuclear receptor binding",4.36372013412623e-07,0.000283953503013499,5.05236533340358,130,0.00769230769230769,0.0877058019307029,1,"Kdm5d","antiquewhite4","liver"
"GO:0071383","cellular response to steroid hormone stimulus",7.36920392263585e-07,0.00047277075869868,4.95137211555971,135,0.00740740740740741,0.086066296582387,1,"Kdm5d","antiquewhite4","liver"
"GO:0009755","hormone-mediated signaling pathway",8.14628263734463e-07,0.000515365519626455,4.9318299379295,136,0.00735294117647059,0.0857492925712544,1,"Kdm5d","antiquewhite4","liver"
"GO:0043021","ribonucleoprotein complex binding",9.91236246639104e-07,0.000618504260745359,4.89337034596986,138,0.0072463768115942,0.0851256530758749,1,"Xist","antiquewhite4","liver"
"GO:0006941","striated muscle contraction",1.58115409210069e-06,0.000973264444529546,4.80069565609875,143,0.00699300699300699,0.0836242010007091,1,"Uty","antiquewhite4","liver"
"GO:0001890","placenta development",6.24184925279714e-06,0.00374100307190671,4.51802711496565,160,0.00625,0.0790569415042095,1,"Xist","antiquewhite4","liver"
"GO:0048545","response to steroid hormone",3.90834001009477e-05,0.0231201152545217,4.11283247888953,190,0.00526315789473684,0.0725476250110012,1,"Kdm5d","antiquewhite4","liver"
"GO:0060047","heart contraction",7.67813088766722e-05,0.0437173577416552,3.95423066533375,204,0.00490196078431373,0.0700140042014005,1,"Uty","antiquewhite4","liver"
"GO:0001941","postsynaptic membrane organization",0,0,8.98975336450117,42,0.0476190476190476,0.215540268704521,2,"Ephb2, Colq","bisque4","liver"
"GO:0001993","regulation of systemic arterial blood pressure by norepinephrine-epinephrine",0,0,12.085982283779,6,0.166666666666667,0.408248290463863,1,"Adrb3","bisque4","liver"
"GO:0002756","MyD88-independent toll-like receptor signaling pathway",0,0,8.48932655970025,12,0.0833333333333333,0.288675134594813,1,"Cd300lf","bisque4","liver"
"GO:0004935","adrenergic receptor activity",0,0,11.1770624247127,7,0.142857142857143,0.377964473009227,1,"Adrb3","bisque4","liver"
"GO:0005005","transmembrane-ephrin receptor activity",0,0,8.87669329513058,11,0.0909090909090909,0.301511344577764,1,"Ephb2","bisque4","liver"
"GO:0005132","type I interferon receptor binding",0,0,8.48932655970025,12,0.0833333333333333,0.288675134594813,1,"Ifnz","bisque4","liver"
