"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue","fraction_overlap"
"GO:0001562","response to protozoan",0,0,8.50694509040818,32,0.1875,0.396557769456266,6,"Gbp2, Irf8, Irgm2, Gbp3, Iigp1, Gbp9","black","liver",0.1875
"GO:0001776","leukocyte homeostasis",0,0,8.99526838339179,104,0.115384615384615,0.321032687677022,12,"Bcl2a1a, Cd44, Coro1a, Csf1, Ccl2, Axl, Ripk3, Pmaip1, Sash3, Dock11, Nckap1l, Dock10","black","liver",0.115384615384615
"GO:0001819","positive regulation of cytokine production",0,0,13.701259576343,404,0.0915841584158416,0.288795677377614,37,"Aif1, Casp4, Cd14, Cd2, Ccr5, Cyba, Fcgr3, H2-M3, Hk1, Irf8, Ifngr1, Irf1, Ltb, Ptpn22, Ptprc, Ccl2, Ccl5, Stat1, Tlr1, Tyrobp, Oas1g, Ccl19, Tlr2, Irf7, Unc93b1, Clec7a, Rsad2, Cd274, Pycard, Sash3, Zc3hav1, Nod1, Cd300c2, Tlr7, Tmem106a, Rab7b, Isg15","black","liver",0.0915841584158416
"GO:0001906","cell killing",0,0,10.2155361316013,176,0.102272727272727,0.303871127844786,18,"Cd5l, Cd2, Coro1a, Fcgr1, Fcgr3, H2-M3, H2-Q7, H2-T22, Cxcl10, Lgals3, Cxcl9, Ptprc, Ccl2, Tyrobp, Ccl19, Ripk3, Clec7a, Nckap1l","black","liver",0.102272727272727
"GO:0001959","regulation of cytokine-mediated signaling pathway",0,0,11.256936240793,122,0.131147540983607,0.338953656651672,16,"Casp4, Csf1, Il1rn, Ptprc, Stat2, Oas1g, Axl, Irf7, Irgm2, Samhd1, Adar, Pycard, Parp9, Nlrc5, Parp14, Isg15","black","liver",0.131147540983607
"GO:0001960","negative regulation of cytokine-mediated signaling pathway",0,0,8.88013872741642,63,0.142857142857143,0.352737810751329,9,"Il1rn, Ptprc, Stat2, Oas1g, Samhd1, Adar, Nlrc5, Parp14, Isg15","black","liver",0.142857142857143
"GO:0001961","positive regulation of cytokine-mediated signaling pathway",0,0,9.06429456845294,49,0.163265306122449,0.373437789079955,8,"Casp4, Csf1, Axl, Irf7, Irgm2, Parp9, Nlrc5, Parp14","black","liver",0.163265306122449
"GO:0002218","activation of innate immune response",0,0,13.9505953724313,180,0.133333333333333,0.340882849844981,24,"Cd14, Cd86, Cyba, Irf1, Acod1, Ptpn22, Trim30a, Tlr1, Tyrobp, Oas1g, Tlr2, Irf7, Irgm2, Unc93b1, Clec7a, Rsad2, Slc15a3, Pycard, Zc3hav1, Znfx1, Nod1, Tlr7, Rab7b, Ddx60","black","liver",0.133333333333333
"GO:0002220","innate immune response activating cell surface receptor signaling pathway",0,0,9.69866447913851,66,0.151515151515152,0.361297841864756,10,"Cd14, Cyba, Acod1, Ptpn22, Tlr1, Tyrobp, Oas1g, Tlr2, Clec7a, Rab7b","black","liver",0.151515151515152
"GO:0002221","pattern recognition receptor signaling pathway",0,0,13.9742598951867,153,0.143790849673203,0.352029840496415,22,"Cd14, Cd86, Cyba, Irf1, Acod1, Ptpn22, Trim30a, Tlr1, Oas1g, Tlr2, Irf7, Irgm2, Unc93b1, Clec7a, Rsad2, Slc15a3, Pycard, Zc3hav1, Nod1, Tlr7, Rab7b, Ddx60","black","liver",0.143790849673203
