,tissue,network,module,glucose,weight,insulin,triglyceride,mean
0,adipose,SIGNED,all,18.937312,7.528015,59.94393,33.808712,30.054493
1,adipose,SIGNED,bisque4,20.783135,9.350573,102.532074,33.894079,41.639965
2,adipose,SIGNED,black,22.603489,8.703497,99.187634,32.135539,40.65754
3,adipose,SIGNED,blue,19.90593,7.986153,109.722143,36.1405,43.438682
4,adipose,SIGNED,brown4,22.937617,8.713896,134.128023,37.952208,50.932936
5,adipose,SIGNED,brown,20.126417,6.470613,72.245664,29.617486,32.115045
6,adipose,SIGNED,cyan,19.163537,6.823263,82.034744,27.325438,33.836745
7,adipose,SIGNED,darkgreen,19.520001,8.367709,92.0096,35.872563,38.942468
8,adipose,SIGNED,darkgrey,24.996016,11.239141,170.233261,46.797302,63.31643
9,adipose,SIGNED,darkmagenta,22.504485,9.022401,108.742986,33.905384,43.543814
10,adipose,SIGNED,darkolivegreen,20.825615,7.637124,94.23032,36.936441,39.907375
11,adipose,SIGNED,darkorange2,27.105186,9.289393,157.875263,46.022975,60.073204
12,adipose,SIGNED,darkorange,26.144449,9.625781,134.388855,43.232653,53.347934
13,adipose,SIGNED,darkred,18.910937,7.79867,106.318927,32.745843,41.443595
14,adipose,SIGNED,darkslateblue,24.469321,11.126703,134.012124,39.66661,52.31869
15,adipose,SIGNED,darkturquoise,20.637221,7.99095,86.757443,29.929508,36.32878
16,adipose,SIGNED,floralwhite,22.922092,9.893146,104.868694,35.733342,43.354318
17,adipose,SIGNED,greenyellow,19.228367,8.153947,77.776382,26.277735,32.859108
18,adipose,SIGNED,green,20.864881,7.401168,78.436069,32.264818,34.741734
19,adipose,SIGNED,grey60,23.43742,8.605771,95.294076,39.166687,41.625989
20,adipose,SIGNED,grey,23.397452,9.40732,101.464336,44.216967,44.621518
21,adipose,SIGNED,ivory,25.53106,10.64451,140.812618,44.187828,55.294004
22,adipose,SIGNED,lavenderblush3,27.027146,10.900042,161.597586,46.957521,61.620574
23,adipose,SIGNED,lightcyan1,25.829668,11.227814,179.638698,47.480652,66.044208
24,adipose,SIGNED,lightcyan,26.169417,10.392233,148.118589,41.187943,56.467045
25,adipose,SIGNED,lightgreen,24.895961,10.331863,151.224845,45.771331,58.056
26,adipose,SIGNED,lightpink4,23.74256,10.725716,130.708163,47.273547,53.112496
27,adipose,SIGNED,lightsteelblue1,23.619362,9.627295,125.724683,39.596459,49.64195
28,adipose,SIGNED,lightyellow,20.132877,8.313931,106.030919,28.450586,40.732078
29,adipose,SIGNED,magenta,18.383443,6.931821,61.596487,28.374064,28.821454
30,adipose,SIGNED,maroon,24.996029,10.460628,127.582984,45.223043,52.065671
31,adipose,SIGNED,mediumpurple3,24.97729,9.805555,157.371991,44.115457,59.067573
32,adipose,SIGNED,midnightblue,20.576363,7.328258,69.267313,31.503222,32.168789
33,adipose,SIGNED,navajowhite2,26.265478,10.573481,155.556864,42.361543,58.689341
34,adipose,SIGNED,orangered4,22.449193,8.683325,121.828255,33.934129,46.723725
35,adipose,SIGNED,orange,18.847247,7.777553,76.888053,34.682412,34.548816
36,adipose,SIGNED,paleturquoise,19.729613,7.674859,92.021217,34.520406,38.486524
37,adipose,SIGNED,palevioletred3,25.212651,10.992475,178.33691,50.270102,66.203035
38,adipose,SIGNED,pink,17.939281,7.535694,75.029881,36.796446,34.325325
39,adipose,SIGNED,plum1,25.347281,9.473936,132.881005,50.121686,54.455977
40,adipose,SIGNED,plum2,26.127338,11.550621,171.000604,45.861311,63.634968
41,adipose,SIGNED,purple,19.581084,7.601603,86.396657,33.505613,36.771239
42,adipose,SIGNED,red,18.572078,7.432732,72.895848,31.261861,32.54063
43,adipose,SIGNED,royalblue,19.202211,7.93899,82.62711,35.116143,36.221114
44,adipose,SIGNED,saddlebrown,21.831149,10.214285,127.274703,38.27313,49.398317
45,adipose,SIGNED,salmon4,20.497378,11.731837,135.473993,35.224451,50.731915
46,adipose,SIGNED,salmon,22.927915,9.500649,123.797442,41.703021,49.482257
47,adipose,SIGNED,sienna3,20.038859,8.780268,99.718721,37.589684,41.531883
48,adipose,SIGNED,skyblue3,26.63907,10.650196,151.032676,47.640178,58.99053
49,adipose,SIGNED,skyblue,23.144001,9.26741,121.437407,39.00731,48.214032
50,adipose,SIGNED,steelblue,22.032168,7.940171,108.199856,40.865989,44.759546
51,adipose,SIGNED,tan,17.598067,7.850156,68.81319,33.110547,31.84299
52,adipose,SIGNED,thistle1,26.849875,11.206782,167.717154,50.088574,63.965596
53,adipose,SIGNED,thistle2,26.26849,10.285539,147.268661,48.14996,57.993163
54,adipose,SIGNED,turquoise,20.029326,7.422417,81.793487,33.09971,35.586235
55,adipose,SIGNED,violet,24.021482,8.942006,112.945915,42.236278,47.03642
56,adipose,SIGNED,white,17.268852,8.312365,98.322534,29.588204,38.372989
57,adipose,SIGNED,yellowgreen,24.358032,9.447155,141.884431,43.76577,54.863847
58,adipose,SIGNED,yellow,16.793617,5.885839,81.663174,31.682687,34.006329
59,adipose,UNSIGNED,antiquewhite4,27.797216,9.811123,136.960924,42.182976,54.18806
60,adipose,UNSIGNED,bisque4,19.678456,11.493469,138.447914,34.989619,51.152364
61,adipose,UNSIGNED,black,19.669823,8.309762,105.435784,34.838384,42.063439
62,adipose,UNSIGNED,blue,20.236353,7.395582,72.023308,30.570441,32.556421
63,adipose,UNSIGNED,brown4,25.376069,10.306726,146.902226,42.947758,56.383195
64,adipose,UNSIGNED,brown,23.455657,9.342806,128.033091,36.103605,49.23379
65,adipose,UNSIGNED,coral1,24.259853,10.5452,146.046522,49.337941,57.547379
66,adipose,UNSIGNED,coral2,24.965298,10.900967,158.51974,46.291568,60.169393
67,adipose,UNSIGNED,cyan,19.788384,8.303544,96.303502,33.664718,39.515037
68,adipose,UNSIGNED,darkgreen,22.59733,9.376048,102.041981,34.423192,42.109638
69,adipose,UNSIGNED,darkgrey,20.380788,8.410645,84.166009,31.151135,36.027144
70,adipose,UNSIGNED,darkmagenta,26.952234,11.182288,172.614712,50.270699,65.254983
71,adipose,UNSIGNED,darkolivegreen,25.30937,9.775698,118.750194,34.598792,47.108513
72,adipose,UNSIGNED,darkorange2,25.75532,10.637727,128.246958,38.808887,50.862223
73,adipose,UNSIGNED,darkorange,26.641166,10.672514,151.345896,47.665157,59.081183
74,adipose,UNSIGNED,darkred,24.553884,10.112775,141.903077,43.705592,55.068832
75,adipose,UNSIGNED,darkseagreen4,23.53539,11.187981,144.924909,49.225732,57.218503
76,adipose,UNSIGNED,darkslateblue,25.194147,10.130235,150.27657,42.262178,56.965783
77,adipose,UNSIGNED,darkturquoise,24.36987,10.125897,139.542763,40.266941,53.576368
78,adipose,UNSIGNED,floralwhite,24.706441,10.356964,156.848005,47.088777,59.750047
79,adipose,UNSIGNED,greenyellow,21.031482,8.412937,98.147557,31.606214,39.799548
80,adipose,UNSIGNED,green,17.876563,7.271584,85.444464,37.308638,36.975312
81,adipose,UNSIGNED,grey60,25.238216,10.568583,144.255319,48.092667,57.038696
82,adipose,UNSIGNED,grey,20.326313,7.80015,63.672386,36.531052,32.082475
83,adipose,UNSIGNED,honeydew1,25.647237,10.071754,170.410973,40.118949,61.562228
84,adipose,UNSIGNED,indianred4,26.967637,11.178267,171.828421,50.352628,65.081738
85,adipose,UNSIGNED,ivory,25.921395,11.410583,168.685356,44.619975,62.659327
86,adipose,UNSIGNED,lavenderblush3,19.784561,11.25129,134.643081,37.311732,50.747666
87,adipose,UNSIGNED,lightcoral,27.858935,10.741161,136.428723,41.611325,54.160036
88,adipose,UNSIGNED,lightcyan1,23.600671,9.613921,115.831157,34.723053,45.9422
89,adipose,UNSIGNED,lightcyan,23.039441,9.584777,143.955275,40.365932,54.236356
90,adipose,UNSIGNED,lightgreen,24.515,8.107928,112.253387,39.991321,46.216909
91,adipose,UNSIGNED,lightpink4,26.904488,10.867035,150.05458,42.296318,57.530605
92,adipose,UNSIGNED,lightsteelblue1,26.340521,10.073838,124.981779,44.819292,51.553857
93,adipose,UNSIGNED,lightsteelblue,25.530979,10.128393,139.682839,44.722972,55.016296
94,adipose,UNSIGNED,lightyellow,25.466439,10.208161,135.247211,40.645021,52.891708
95,adipose,UNSIGNED,magenta,18.479299,8.012288,65.401334,30.838135,30.682764
96,adipose,UNSIGNED,maroon,25.383896,11.04996,178.786331,49.345861,66.141512
97,adipose,UNSIGNED,mediumorchid,25.288269,11.864881,161.614239,42.306523,60.268478
98,adipose,UNSIGNED,mediumpurple2,26.218965,9.613805,144.533223,44.965492,56.332871
99,adipose,UNSIGNED,mediumpurple3,26.746618,8.954899,156.443964,45.033897,59.294844
100,adipose,UNSIGNED,midnightblue,18.789607,9.791157,109.826585,34.14346,43.137702
101,adipose,UNSIGNED,navajowhite2,26.150554,10.555724,164.519505,46.833563,62.014836
102,adipose,UNSIGNED,orangered3,27.639045,11.058884,128.607805,44.77845,53.021046
103,adipose,UNSIGNED,orangered4,23.494933,10.011094,148.516013,36.63315,54.663798
104,adipose,UNSIGNED,orange,18.291397,10.363817,94.075218,33.864829,39.148815
105,adipose,UNSIGNED,paleturquoise,22.203363,9.583996,110.467868,36.510318,44.691386
106,adipose,UNSIGNED,palevioletred3,25.025319,10.783172,137.577956,45.4338,54.705062
107,adipose,UNSIGNED,pink,17.36869,7.258098,72.349797,32.223086,32.299917
108,adipose,UNSIGNED,plum1,23.595487,8.502942,134.120036,35.906943,50.531352
109,adipose,UNSIGNED,plum2,22.852895,10.147945,145.335759,36.801906,53.784626
