,tissue,network,module,glucose,weight,insulin,triglyceride,mean
0,adipose,SIGNED,bisque4,21.933643556281332,8.79803244378278,116.1844635501388,38.606048272937855,46.38054695578519
1,adipose,SIGNED,black,22.667436675332837,9.288438273852197,131.23086779186548,34.43910941290903,49.40646303848989
2,adipose,SIGNED,blue,21.927333329895834,8.376819603518154,109.97489764440755,36.103412635969356,44.09561580344772
3,adipose,SIGNED,brown4,22.86923147948782,9.439657007955125,156.86507582921806,41.40530997628312,57.64481857323603
4,adipose,SIGNED,cyan,22.521282993020275,8.73318743544162,112.23387177968877,30.224050725009064,43.42809823328993
5,adipose,SIGNED,darkgreen,21.51274959453266,8.258735527339885,73.35095238051956,36.823220424768024,34.986414481790035
6,adipose,SIGNED,darkgrey,26.553618990908674,10.97190195770467,188.7836444690212,47.71701732184952,68.50654568487101
7,adipose,SIGNED,darkmagenta,25.59087937822657,9.51675051141466,149.69573240942032,37.16590369465238,55.49231649842848
8,adipose,SIGNED,darkolivegreen,24.72691388137182,8.76619838505421,135.74491007884774,43.80221224879614,53.26005864851748
9,adipose,SIGNED,darkorange2,28.621623332363725,9.563834867353888,167.37727009010854,46.733906173672544,63.07415861587468
10,adipose,SIGNED,darkorange,26.350290747627213,9.836712870781392,155.5892842882391,43.32390257250063,58.77504761978708
11,adipose,SIGNED,darkred,22.38171987401776,8.215429750069603,107.08573008327996,38.257160844401504,43.985010137942204
12,adipose,SIGNED,darkslateblue,24.748910842189716,10.727909209329239,137.68884733531098,42.427521321377704,53.89829717705191
13,adipose,SIGNED,darkturquoise,20.74590238599298,8.981712858448535,93.84382603938778,31.745978329281225,38.82935490327763
14,adipose,SIGNED,floralwhite,21.84569501394488,10.239359108929072,108.80489930420036,42.50036179847171,45.84757880638651
15,adipose,SIGNED,greenyellow,23.21493985288272,9.464806057559391,109.76780657858033,33.06415347342344,43.877926490611465
16,adipose,SIGNED,green,21.410370108864182,8.652501272625829,103.50401077058416,36.81315656036194,42.59500967810903
17,adipose,SIGNED,grey60,23.94203647523361,8.898380140139336,124.28628622085121,44.06014653736238,50.296712343396635
18,adipose,SIGNED,ivory,27.17545725780234,10.905484913659322,139.37275354460988,47.20212426792053,56.16395499599802
19,adipose,SIGNED,lavenderblush3,27.46670739586638,10.791670085727237,182.41285904492253,52.27450351788705,68.2364350111008
20,adipose,SIGNED,lightcyan1,26.75069661066565,11.595887771317024,173.87307576371342,50.21582940870793,65.608872388601
21,adipose,SIGNED,lightcyan,26.45910422561546,9.46043507458639,148.10575123085817,45.325006374494116,57.33757422638853
22,adipose,SIGNED,lightgreen,24.734000640694145,10.312501500877843,156.24747323707697,47.65261100933363,59.73664659699565
23,adipose,SIGNED,lightpink4,23.93185838991731,10.925739451772749,146.9070964726708,48.47626858921988,57.56024072589518
24,adipose,SIGNED,lightsteelblue1,27.096637462433605,10.416069755734897,156.9926434339251,38.92615469349659,58.35787633639755
25,adipose,SIGNED,lightyellow,23.435714675796746,8.824962393826974,122.14221210874237,34.37160316344021,47.19362308545158
26,adipose,SIGNED,magenta,20.83987065763401,8.856593308683644,65.8604707851757,31.129819379892137,31.671688532846375
27,adipose,SIGNED,maroon,26.224456677835022,11.265958975634256,146.61640395661993,44.76061720897588,57.21685920476627
28,adipose,SIGNED,mediumpurple3,26.191580967823413,10.008607526828396,162.5718955270768,42.50206032957306,60.31853608782542
29,adipose,SIGNED,midnightblue,21.716713777184882,8.170837302468101,98.8188066039717,32.24071583831988,40.23676838048614
30,adipose,SIGNED,navajowhite2,25.69173812749714,10.38192394166568,150.10033502909533,44.08767535629837,57.56541811363913
