,tissue,network,module,glucose,weight,insulin,triglyceride,mean
0,islet,SIGNED,darkgrey,25.4,10.3,134.3,39.9,52.5
1,islet,SIGNED,darkmagenta,27.5,10.6,158.6,51.9,62.1
2,islet,SIGNED,darkorange,24.4,10,133.3,49.8,54.4
3,islet,SIGNED,darkolivegreen,25.9,9.9,164.9,42.4,60.8
4,islet,SIGNED,lightcyan,23.1,10.4,150.4,45.9,57.5
5,islet,SIGNED,darkgreen,26.1,10.6,160.3,47,61
6,islet,SIGNED,grey60,23.9,10.4,125.9,42.1,50.6
7,islet,SIGNED,cyan,24.8,11.4,152.2,42.7,57.8
8,islet,SIGNED,darkred,23.2,9.8,120.9,41.4,48.8
9,islet,SIGNED,midnightblue,24.8,10.7,89.9,45.6,42.7
10,islet,SIGNED,orange,24.3,11.2,145.7,44.1,56.3
11,islet,SIGNED,darkturquoise,26.1,10.6,140.2,43.4,55.1
12,islet,SIGNED,lightgreen,19.9,10.4,107,32.5,42.5
13,islet,SIGNED,black,21.9,9,110,36.6,44.4
14,islet,SIGNED,lightyellow,23.3,9.3,131.1,42.1,51.4
15,islet,SIGNED,greenyellow,23,10.1,131.4,40.4,51.3
16,islet,SIGNED,magenta,29.1,10.2,113.7,47.4,50.1
17,islet,SIGNED,green,21.7,9.1,111,39.5,45.3
18,islet,SIGNED,brown,22.8,9.6,111.2,43.6,46.8
19,islet,SIGNED,blue,19.1,8.7,105,37.4,42.6
20,islet,SIGNED,salmon,22.8,8.9,103.6,40.7,44
21,islet,SIGNED,saddlebrown,25.5,10.2,136.7,46.6,54.8
22,islet,SIGNED,paleturquoise,25.4,11.4,166.2,47.3,62.6
23,islet,SIGNED,royalblue,23.1,11.1,152,41.5,56.9
24,islet,SIGNED,yellowgreen,26.7,10.7,156.4,46.8,60.1
25,islet,SIGNED,plum1,27.4,10.9,147.7,49.4,58.9
26,islet,SIGNED,steelblue,23.1,11.4,166,41.7,60.6
27,islet,SIGNED,violet,22.6,8.5,120.3,44.3,48.9
28,islet,SIGNED,sienna3,25.4,9.8,162.8,45.2,60.8
29,islet,SIGNED,skyblue,23.6,8.8,126.9,42.5,50.5
30,islet,SIGNED,tan,22.4,8.8,113.7,43.9,47.2
31,islet,SIGNED,skyblue3,26.3,11.4,146.4,42.8,56.7
32,islet,SIGNED,purple,24.8,11,173.1,53.9,65.7
33,islet,SIGNED,white,26.1,11,181.5,47.5,66.5
34,islet,SIGNED,pink,24.3,9.2,111.6,42.9,47
35,islet,SIGNED,red,18.9,8.3,114.3,37.8,44.8
36,islet,SIGNED,yellow,19.6,9.9,81.5,33,36
37,islet,SIGNED,turquoise,17.9,9.6,96.5,35.8,40
38,islet,SIGNED,grey,24.7,10.5,136.9,44.3,54.1
39,islet,SIGNED,all,19.9,9.2,99,37.1,41.3
40,islet,UNSIGNED,darkseagreen4,26.5,11.6,168.8,47.9,63.7
41,islet,UNSIGNED,antiquewhite4,27.1,10.4,115.5,47.8,50.2
42,islet,UNSIGNED,coral2,25.4,11.4,154.4,49.6,60.2
43,islet,UNSIGNED,bisque4,22.8,10.9,117.7,39.8,47.8
44,islet,UNSIGNED,darkmagenta,24.4,10.3,118.1,44.1,49.2
45,islet,UNSIGNED,darkorange,22.2,10.1,154.9,43.1,57.6
46,islet,UNSIGNED,darkolivegreen,23.8,9.6,129.2,44.5,51.8
47,islet,UNSIGNED,coral1,26.5,9.9,171.1,46.3,63.5
48,islet,UNSIGNED,darkred,23,10,144.3,40.6,54.5
49,islet,UNSIGNED,darkorange2,26.4,10.6,133.9,48.8,54.9
50,islet,UNSIGNED,darkslateblue,25.8,9.7,139.6,45,55
51,islet,UNSIGNED,floralwhite,27.8,9,92.6,49.9,44.8
52,islet,UNSIGNED,darkgrey,25.1,10.4,113.5,42.3,47.8
53,islet,UNSIGNED,darkturquoise,24.4,11.4,154.8,46.6,59.3
54,islet,UNSIGNED,black,25.6,10.5,149.4,38.5,56
55,islet,UNSIGNED,brown4,26,11.7,130.4,46.1,53.5
56,islet,UNSIGNED,darkgreen,27,11.9,133.9,48.2,55.3
57,islet,UNSIGNED,cyan,24.9,9.7,146.2,46.4,56.8
58,islet,UNSIGNED,blue,22.9,9.7,107.9,46.4,46.7
59,islet,UNSIGNED,brown,22.8,9.4,110.3,39.4,45.5
60,islet,UNSIGNED,honeydew1,27.7,10.5,120.1,49.9,52
61,islet,UNSIGNED,mediumorchid,27.7,11,168.8,48,63.8
62,islet,UNSIGNED,lavenderblush3,27,11.2,128.4,44.6,52.8
63,islet,UNSIGNED,navajowhite2,26.3,11,131.4,46.5,53.8
64,islet,UNSIGNED,magenta,24.4,10.8,90.8,44.6,42.7
65,islet,UNSIGNED,mediumpurple3,22.2,11.5,125.1,42.9,50.4
66,islet,UNSIGNED,lightgreen,25.7,10.9,158.7,47.3,60.7
67,islet,UNSIGNED,mediumpurple2,25,11.2,171.6,48.4,64
68,islet,UNSIGNED,grey60,22,10.6,98.5,40.1,42.8
69,islet,UNSIGNED,lightyellow,26.6,10.3,126.8,41.6,51.3
70,islet,UNSIGNED,lightpink4,26.3,10.5,163.9,49.9,62.7
71,islet,UNSIGNED,lightcyan,26.9,11.1,158.4,51.6,62
72,islet,UNSIGNED,green,25.3,11.5,185.8,50,68.2
73,islet,UNSIGNED,midnightblue,22.5,11.1,137.8,37.9,52.3
74,islet,UNSIGNED,lightsteelblue,24.6,10.9,156.1,46,59.4
75,islet,UNSIGNED,ivory,23.3,11.2,132.5,42,52.2
76,islet,UNSIGNED,greenyellow,24.5,11.5,147.1,42.4,56.4
77,islet,UNSIGNED,maroon,25.5,11.1,123.5,45.3,51.4
78,islet,UNSIGNED,lightcyan1,25.8,10.1,121.2,46,50.8
79,islet,UNSIGNED,lightsteelblue1,23.8,11.6,142.6,44.9,55.7
80,islet,UNSIGNED,skyblue1,26.1,11.1,148,47.8,58.2
81,islet,UNSIGNED,salmon4,26.4,10.7,146.3,46.7,57.5
82,islet,UNSIGNED,saddlebrown,27,9.9,118.7,42.1,49.4
83,islet,UNSIGNED,plum,26.9,11.3,176.9,54,67.3
84,islet,UNSIGNED,plum2,26.4,10.1,137.3,45.3,54.8
85,islet,UNSIGNED,skyblue3,25,10.3,153.4,41.2,57.5
86,islet,UNSIGNED,orange,23.4,9.9,77.1,40.1,37.6
87,islet,UNSIGNED,plum1,24.9,10.2,131.9,44.4,52.8
88,islet,UNSIGNED,palevioletred3,24.5,10.1,151.7,40.3,56.7
89,islet,UNSIGNED,purple,22,9.9,109.6,39.7,45.3
