,tissue,network,module,glucose,weight,insulin,triglyceride,mean
0,islet,SIGNED,darkorange,23.65,11.19,146.13,46.09,56.76
1,islet,SIGNED,darkolivegreen,22.46,11.08,156.18,36.61,56.58
2,islet,SIGNED,darkgreen,26.57,11.19,170.27,46.59,63.65
3,islet,SIGNED,midnightblue,18.32,10.98,91.35,37.63,39.57
4,islet,SIGNED,darkturquoise,19.48,10.65,158.03,37.82,56.5
5,islet,SIGNED,darkmagenta,26.11,11.09,168.55,50.49,64.06
6,islet,SIGNED,lightyellow,18.73,10.35,114.44,36.31,44.96
7,islet,SIGNED,darkred,17.15,10.45,107.32,42.59,44.38
8,islet,SIGNED,orange,22.12,10.75,124.38,37.82,48.77
9,islet,SIGNED,lightgreen,19.26,10.48,108.82,43.47,45.51
10,islet,SIGNED,grey60,18.41,10.97,113.88,32.77,44.01
11,islet,SIGNED,lightcyan,17.61,11.22,161.23,36.98,56.76
12,islet,SIGNED,greenyellow,18.36,9.83,135.1,40.29,50.9
13,islet,SIGNED,magenta,21.71,10.14,91.12,49.73,43.18
14,islet,SIGNED,cyan,18.08,11.87,112.11,45.07,46.78
15,islet,SIGNED,darkgrey,20.97,10.81,147.33,38.98,54.52
16,islet,SIGNED,black,15.3,9.42,97.25,27.58,37.39
17,islet,SIGNED,green,14.85,9.42,123.96,31.93,45.04
18,islet,SIGNED,blue,16.83,9.68,94.91,31.5,38.23
19,islet,SIGNED,brown,17.92,10.03,86.7,37.55,38.05
20,islet,SIGNED,yellowgreen,22.89,10.62,157.32,38.83,57.42
21,islet,SIGNED,steelblue,22.08,11.1,171.23,43.61,62.01
22,islet,SIGNED,violet,19.56,10.02,123.09,35.19,46.96
23,islet,SIGNED,skyblue,20.07,11.18,110.76,39.83,45.46
24,islet,SIGNED,plum1,27.51,10.64,148.13,50.44,59.18
25,islet,SIGNED,salmon,15.82,9.16,86.99,35.71,36.92
26,islet,SIGNED,tan,15.63,10.09,117.31,37.57,45.15
27,islet,SIGNED,royalblue,19.8,10.8,116.87,36,45.87
28,islet,SIGNED,skyblue3,25.13,11.2,150.71,38.17,56.3
29,islet,SIGNED,sienna3,22.19,10.66,167.14,41.75,60.44
30,islet,SIGNED,white,26.96,11.19,172.36,50.46,65.24
31,islet,SIGNED,purple,17.81,11.18,176.25,36.94,60.55
32,islet,SIGNED,pink,17.68,9.54,134.3,36.92,49.61
33,islet,SIGNED,saddlebrown,23.85,10.71,142.12,42.52,54.8
34,islet,SIGNED,paleturquoise,22.87,11.19,170.84,40.8,61.43
35,islet,SIGNED,red,14.74,9.63,104.86,33.09,40.58
36,islet,SIGNED,yellow,15.55,9.4,88.37,32.43,36.44
37,islet,SIGNED,turquoise,15.11,8.52,90.84,33.52,37
38,islet,SIGNED,grey,22.32,8.98,123.89,49.73,51.23
39,islet,SIGNED,all,23.13,8.1,122.15,44.43,49.45
40,islet,UNSIGNED,darkslateblue,25.72,9.72,149.55,47.32,58.08
41,islet,UNSIGNED,darkolivegreen,22.81,11.18,141.15,42.91,54.51
42,islet,UNSIGNED,darkmagenta,21.55,10.63,91.38,44.04,41.9
43,islet,UNSIGNED,darkturquoise,22.85,11.19,168.93,41.85,61.2
44,islet,UNSIGNED,darkseagreen4,26.68,11.11,143.3,47.79,57.22
45,islet,UNSIGNED,darkred,21.72,10.22,107.49,36.27,43.92
46,islet,UNSIGNED,cyan,19.28,10.69,155.96,35.71,55.41
47,islet,UNSIGNED,bisque4,22.16,11.19,164.96,38.71,59.25
48,islet,UNSIGNED,brown4,25.42,11.57,125.64,41.19,50.95
