X,gene.id,symbol,entrez_id,chr,start,end,middle,strand
1,497628,9330185C12Rik,,,,,,
2,497629,Csf1,,,,,,
3,497630,Gm30674,,,,,,
4,497632,Slc2a2,,,,,,
5,497637,Ppp1r3g,,,,,,
6,497638,Dnajc30,,,,,,
7,497639,Ifi44,,,,,,
8,497641,Dkk3,,,,,,
9,497642,Ctla2a,,,,,,
10,497643,Cdkn3,,,,,,
11,497649,1700017G19Rik,,,,,,
12,497650,Usp5,,,,,,
13,497652,Tle2,,,,,,
14,497654,Gskip,,,,,,
15,497656,Trp53,,,,,,
16,497657,Dnaja1,,,,,,
17,497659,Rab38,,,,,,
18,497661,Hlf,,,,,,
19,497662,Wbp2nl,,,,,,
20,497665,Tm9sf3,,,,,,
21,497666,Mir205hg,,,,,,
22,497667,Tctn2,,,,,,
23,497668,Csmd1,,,,,,
24,497671,Cx3cl1,,,,,,
25,497675,Sec22a,,,,,,
26,497677,Plod2,,,,,,
27,497680,Cartpt,,,,,,
28,497682,C1d,,,,,,
29,497684,BC002059,,,,,,
30,497692,Dnase1l3,,,,,,
31,497693,Slc25a18,,,,,,
32,497697,Peg12,,,,,,
33,497700,Btbd35f23,,,,,,
34,497704,Kif5a,,,,,,
35,497706,Krtap1-5,,,,,,
36,497707,Ppp1r9a,,,,,,
37,497710,Ptch1,,,,,,
38,497711,Cilk1,,,,,,
39,497718,Sh3d19,,,,,,
40,497719,Vmn1r2,,,,,,
41,497722,2700054A10Rik,,,,,,
42,497725,Cldn22,,,,,,
43,497726,Antxrl,,,,,,
44,497727,Krt25,,,,,,
45,497729,Adnp2,,,,,,
46,497733,Zfp30,,,,,,
47,497736,Ptprd,,,,,,
48,497737,Gm10359,,,,,,
49,497738,Slc26a4,,,,,,
50,497739,Bhlhb9,,,,,,
51,497741,Pcsk5,,,,,,
52,497743,Jrk,,,,,,
53,497744,Mblac2,,,,,,
54,497748,Tlcd2,,,,,,
55,497751,Cop1,,,,,,
56,497756,Hps3,,,,,,
57,497760,1810013L24Rik,,,,,,
58,497764,Gm10722,,,,,,
59,497766,Mrps5,,,,,,
60,497767,Srrm4,,,,,,
61,497771,4930405D11Rik,,,,,,
62,497774,Dock11,,,,,,
63,497776,Mtm1,,,,,,
64,497779,Sh3bgr,,,,,,
65,497780,Il9,,,,,,
66,497781,Cpa3,,,,,,
67,497782,Pts,,,,,,
68,497783,Pisd-ps1,,,,,,
69,497786,Calhm6,,,,,,
70,497788,Rsph3b,,,,,,
71,497789,Igf2bp3,,,,,,
72,497790,Platr9,,,,,,
73,497791,Hivep3,,,,,,
74,497793,Gsto1,,,,,,
75,497797,Hif1an,,,,,,
76,497801,Cdh6,,,,,,
77,497802,Cpne8,,,,,,
78,497803,St14,,,,,,
79,497804,Ptprn2,,,,,,
80,497808,Aldh3b1,,,,,,
81,497809,9430085M18Rik,,,,,,
82,497813,Brap,,,,,,
83,497814,Hrnr,,,,,,
84,497817,Gm42947,,,,,,
85,497821,Gm5611,,,,,,
86,497822,Morn5,,,,,,
87,497823,Pisd-ps1,,,,,,
88,497826,Agbl1,,,,,,
89,497827,Spata16,,,,,,
90,497829,Rara,,,,,,
91,497831,4930579H20Rik,,,,,,
92,497832,Egf,,,,,,
93,497835,Kcnk3,,,,,,
